"Scrambling_RANKTHISWEEK_2014","Scrambling_RANKLASTWEEK_2014","Scrambling_PLAYERNAME_2014","Scrambling_ROUNDS_2014","Scrambling_Pct_2014","Scrambling_PARORBETTER_2014","Scrambling_MISSEDGIR_2014","stat_name","year"
89,89,"JB Holmes",86,58.51,354,605,"Scrambling",2014
90,90,"Michael Thompson",74,58.42,267,457,"Scrambling",2014
91,91,"Jimmy Walker",98,58.39,327,560,"Scrambling",2014
92,92,"Johnson Wagner",69,58.33,245,420,"Scrambling",2014
93,93,"Jeff Maggert",54,58.26,194,333,"Scrambling",2014
94,94,"Tyrone Van Aswegen",79,58.25,293,503,"Scrambling",2014
95,95,"Ryan Palmer",85,58.24,297,510,"Scrambling",2014
96,96,"Daniel Summerhays",98,58.22,340,584,"Scrambling",2014
97,97,"George McNeill",79,58.21,280,481,"Scrambling",2014
98,98,"Ian Poulter",57,58.05,220,379,"Scrambling",2014
99,99,"Jonathan Byrd",76,58.02,264,455,"Scrambling",2014
100,100,"Gonzalo Fdez Castano",83,57.79,334,578,"Scrambling",2014
101,101,"Bo Van Pelt",83,57.78,271,469,"Scrambling",2014
102,102,"Josh Teater",90,57.69,319,553,"Scrambling",2014
103,103,"Ryan Moore",86,57.64,279,484,"Scrambling",2014
103,103,"Wes Roach",67,57.64,234,406,"Scrambling",2014
105,105,"Danny Lee",84,57.62,295,512,"Scrambling",2014
106,106,"Morgan Hoffmann",103,57.53,382,664,"Scrambling",2014
107,107,"John Huh",87,57.52,306,532,"Scrambling",2014
108,108,"Brooks Koepka",56,57.51,203,353,"Scrambling",2014
109,109,"Ken Duke",80,57.48,265,461,"Scrambling",2014
110,110,"Harris English",95,57.44,301,524,"Scrambling",2014
111,111,"Martin Flores",85,57.42,294,512,"Scrambling",2014
112,112,"Sangmoon Bae",76,57.4,291,507,"Scrambling",2014
113,113,"Carl Pettersson",91,57.33,313,546,"Scrambling",2014
114,114,"Kevin Chappell",100,57.32,321,560,"Scrambling",2014
115,115,"Marc Leishman",81,57.29,287,501,"Scrambling",2014
116,116,"Robert Garrigus",80,57.17,287,502,"Scrambling",2014
117,117,"Brendon de Jonge",109,57.1,398,697,"Scrambling",2014
118,118,"Briny Baird",50,56.84,187,329,"Scrambling",2014
119,119,"KJ Choi",80,56.78,310,546,"Scrambling",2014
120,120,"Steven Bowditch",93,56.77,348,613,"Scrambling",2014
121,121,"JJ Henry",91,56.72,270,476,"Scrambling",2014
122,122,"Kevin Kisner",85,56.69,301,531,"Scrambling",2014
122,122,"Michael Putnam",106,56.69,343,605,"Scrambling",2014
122,122,"YE Yang",79,56.69,305,538,"Scrambling",2014
125,125,"Camilo Villegas",95,56.64,320,565,"Scrambling",2014
126,126,"Ben Curtis",77,56.62,278,491,"Scrambling",2014
127,127,"Lee Westwood",57,56.28,206,366,"Scrambling",2014
128,128,"Paul Casey",56,56.23,194,345,"Scrambling",2014
129,129,"Jamie Lovemark",64,56.2,213,379,"Scrambling",2014
130,130,"Troy Merritt",62,56.15,219,390,"Scrambling",2014
131,131,"Jason Bohn",81,56.03,288,514,"Scrambling",2014
132,132,"Nick Watney",80,56.01,247,441,"Scrambling",2014
133,133,"Matt Jones",83,55.92,307,549,"Scrambling",2014
134,134,"Will Ma Kenzie",82,55.91,284,508,"Scrambling",2014
134,134,"John Peterson",62,55.91,208,372,"Scrambling",2014
136,136,"Roberto Castro",76,55.79,294,527,"Scrambling",2014
137,137,"Geoff Ogilvy",84,55.77,285,511,"Scrambling",2014
138,138,"Mark Wilson",69,55.58,239,430,"Scrambling",2014
