"LeftRoughProximity_RANKTHISWEEK_2005","LeftRoughProximity_RANKLASTWEEK_2005","LeftRoughProximity_PLAYERNAME_2005","LeftRoughProximity_ROUNDS_2005","LeftRoughProximity_AVG_2005","LeftRoughProximity_ATTEMPTS_2005","LeftRoughProximity_TOTALDISTANCEFEET_2005","LeftRoughProximity_RELATIVETOPAR_2005","stat_name","year"
40,40,"Chris DiMarco",83,NA,105,4287.75,21,"LeftRoughProximity",2005
40,40,"Luke Donald",67,NA,73,2979.167,5,"LeftRoughProximity",2005
40,40,"Phillip Price",77,NA,96,3919,6,"LeftRoughProximity",2005
44,44,"Charles Howell III",95,NA,123,5029.5,1,"LeftRoughProximity",2005
44,44,"Heath Slocum",103,NA,130,5315.833,-1,"LeftRoughProximity",2005
46,46,"John Daly",78,NA,117,4801.417,16,"LeftRoughProximity",2005
47,47,"Tommy Armour III",103,NA,152,6250.083,28,"LeftRoughProximity",2005
48,48,"Lee Janzen",75,NA,117,4815.833,9,"LeftRoughProximity",2005
49,49,"Ryan Palmer",101,NA,136,5604.667,16,"LeftRoughProximity",2005
50,50,"Daniel Chopra",108,NA,186,7686.583,-2,"LeftRoughProximity",2005
50,50,"JJ Henry",102,NA,144,5947.5,7,"LeftRoughProximity",2005
50,50,"Ryuji Imada",78,NA,141,5830.583,11,"LeftRoughProximity",2005
50,50,"John Rollins",97,NA,136,5625.167,13,"LeftRoughProximity",2005
50,50,"Nick Watney",91,NA,141,5823.917,9,"LeftRoughProximity",2005
55,55,"Arjun Atwal",65,NA,103,4263.75,5,"LeftRoughProximity",2005
55,55,"Adam Scott",72,NA,95,3932.333,14,"LeftRoughProximity",2005
57,57,"Justin Bolli",65,NA,97,4028.833,9,"LeftRoughProximity",2005
57,57,"Brandt Jobe",96,NA,125,5190.5,8,"LeftRoughProximity",2005
57,57,"Geoff Ogilvy",97,NA,123,5102.083,6,"LeftRoughProximity",2005
60,60,"Jeff Brehaut",71,NA,70,2909.083,16,"LeftRoughProximity",2005
60,60,"Brenden Pappas",51,NA,106,4412,15,"LeftRoughProximity",2005
62,62,"Michael Allen",90,NA,144,5998.917,19,"LeftRoughProximity",2005
62,62,"Steve Lowery",100,NA,140,5830.5,18,"LeftRoughProximity",2005
62,62,"Rocco Mediate",73,NA,96,4002.917,9,"LeftRoughProximity",2005
65,65,"Stewart Cink",98,NA,127,5313.417,10,"LeftRoughProximity",2005
65,65,"Carl Pettersson",109,NA,145,6067.5,12,"LeftRoughProximity",2005
65,65,"Roland Thatcher",75,NA,118,4940,15,"LeftRoughProximity",2005
65,65,"DJ Trahan",81,NA,121,5058.917,19,"LeftRoughProximity",2005
69,69,"Scott Verplank",87,NA,68,2857,16,"LeftRoughProximity",2005
70,70,"Dean Wilson",86,NA,126,5304.833,19,"LeftRoughProximity",2005
71,71,"Sergio Garcia",73,NA,121,5113,6,"LeftRoughProximity",2005
71,71,"Jose Maria Olazabal",55,NA,69,2914.833,9,"LeftRoughProximity",2005
73,73,"Chris Anderson",66,NA,95,4018.917,16,"LeftRoughProximity",2005
