"BirdieorBetterPercentage200yards_RANKTHISWEEK_2008","BirdieorBetterPercentage200yards_RANKLASTWEEK_2008","BirdieorBetterPercentage200yards_PLAYERNAME_2008","BirdieorBetterPercentage200yards_ROUNDS_2008","BirdieorBetterPercentage200yards_Pct_2008","BirdieorBetterPercentage200yards_TOTALBIRDIES_2008","BirdieorBetterPercentage200yards_TOTALHOLES_2008","stat_name","year"
119,119,"Zach Johnson",85,26.16,79,302,"BirdieorBetterPercentage200yards",2008
120,120,"Jim McGovern",75,26.09,54,207,"BirdieorBetterPercentage200yards",2008
121,121,"Justin Bolli",87,26.06,74,284,"BirdieorBetterPercentage200yards",2008
122,122,"Tom Lehman",51,25.87,37,143,"BirdieorBetterPercentage200yards",2008
123,123,"Patrick Sheehan",124,25.82,94,364,"BirdieorBetterPercentage200yards",2008
124,124,"John Mallinger",95,25.8,81,314,"BirdieorBetterPercentage200yards",2008
124,124,"Mark Wilson",107,25.8,97,376,"BirdieorBetterPercentage200yards",2008
126,126,"Ryuji Imada",80,25.71,72,280,"BirdieorBetterPercentage200yards",2008
127,127,"Will Ma Kenzie",62,25.5,51,200,"BirdieorBetterPercentage200yards",2008
128,128,"Rocco Mediate",87,25.44,73,287,"BirdieorBetterPercentage200yards",2008
129,129,"Ben Crane",86,25.35,73,288,"BirdieorBetterPercentage200yards",2008
130,130,"Doug LaBelle II",65,25.29,43,170,"BirdieorBetterPercentage200yards",2008
131,131,"JP Hayes",67,25.25,51,202,"BirdieorBetterPercentage200yards",2008
132,132,"Billy Mayfair",103,25.2,93,369,"BirdieorBetterPercentage200yards",2008
133,133,"Paul Casey",55,25.18,35,139,"BirdieorBetterPercentage200yards",2008
134,134,"Tim Wilkinson",95,25.17,74,294,"BirdieorBetterPercentage200yards",2008
135,135,"Brett Rumford",72,25.11,59,235,"BirdieorBetterPercentage200yards",2008
136,136,"Shane Bertsch",96,24.92,78,313,"BirdieorBetterPercentage200yards",2008
137,137,"Dudley Hart",74,24.91,66,265,"BirdieorBetterPercentage200yards",2008
138,138,"Trevor Immelman",70,24.88,51,205,"BirdieorBetterPercentage200yards",2008
139,139,"Lee Janzen",89,24.8,63,254,"BirdieorBetterPercentage200yards",2008
139,139,"Carl Pettersson",110,24.8,94,379,"BirdieorBetterPercentage200yards",2008
141,141,"Briny Baird",113,24.79,88,355,"BirdieorBetterPercentage200yards",2008
141,141,"JJ Henry",108,24.79,89,359,"BirdieorBetterPercentage200yards",2008
143,143,"John Riegger",73,24.78,56,226,"BirdieorBetterPercentage200yards",2008
144,144,"Brad Elder",67,24.72,44,178,"BirdieorBetterPercentage200yards",2008
145,145,"Jim Furyk",95,24.68,78,316,"BirdieorBetterPercentage200yards",2008
146,146,"Robert Gamez",79,24.63,67,272,"BirdieorBetterPercentage200yards",2008
147,147,"Tom Pernice Jr",104,24.46,90,368,"BirdieorBetterPercentage200yards",2008
148,148,"Ryan Armour",87,24.4,61,250,"BirdieorBetterPercentage200yards",2008
149,149,"Jeff Gove",50,24.34,37,152,"BirdieorBetterPercentage200yards",2008
150,150,"Todd Hamilton",92,24.21,69,285,"BirdieorBetterPercentage200yards",2008
151,151,"Cliff Kresge",84,24.19,67,277,"BirdieorBetterPercentage200yards",2008
152,152,"Tommy Armour III",77,24.07,52,216,"BirdieorBetterPercentage200yards",2008
152,152,"Alejandro Canizares",52,24.07,39,162,"BirdieorBetterPercentage200yards",2008
154,154,"Greg Kraft",63,24,36,150,"BirdieorBetterPercentage200yards",2008
155,155,"Steve Elkington",84,23.99,65,271,"BirdieorBetterPercentage200yards",2008
156,156,"Charlie Wi",97,23.94,79,330,"BirdieorBetterPercentage200yards",2008
157,157,"Cody Freeman",66,23.78,44,185,"BirdieorBetterPercentage200yards",2008
158,158,"Brian Davis",108,23.72,97,409,"BirdieorBetterPercentage200yards",2008
159,159,"Chris Riley",51,23.53,36,153,"BirdieorBetterPercentage200yards",2008
160,160,"Jerry Kelly",89,23.08,66,286,"BirdieorBetterPercentage200yards",2008
161,161,"Geoff Ogilvy",65,22.99,43,187,"BirdieorBetterPercentage200yards",2008
162,162,"Chris Stroud",81,22.67,56,247,"BirdieorBetterPercentage200yards",2008
163,163,"Chris DiMarco",87,22.46,64,285,"BirdieorBetterPercentage200yards",2008
164,164,"Gavin Coles",54,22.22,34,153,"BirdieorBetterPercentage200yards",2008
164,164,"David Duval",51,22.22,32,144,"BirdieorBetterPercentage200yards",2008
164,164,"Freddie Jacobson",78,22.22,54,243,"BirdieorBetterPercentage200yards",2008
