"ScoringAverageActual_RANKTHISWEEK_2008","ScoringAverageActual_RANKLASTWEEK_2008","ScoringAverageActual_PLAYERNAME_2008","ScoringAverageActual_ROUNDS_2008","ScoringAverageActual_AVG_2008","ScoringAverageActual_TOTALSTROKES_2008","ScoringAverageActual_TOTALROUNDS_2008","stat_name","year"
95,95,"Charley Hoffman",94,71.16,6689,94,"ScoringAverageActual",2008
95,95,"Marc Turnesa",87,71.16,6191,87,"ScoringAverageActual",2008
98,98,"Steve Flesch",95,71.17,6761,95,"ScoringAverageActual",2008
98,98,"Heath Slocum",104,71.17,7402,104,"ScoringAverageActual",2008
100,100,"Davis Love III",78,71.21,5554,78,"ScoringAverageActual",2008
101,101,"Bart Bryant",81,71.22,5769,81,"ScoringAverageActual",2008
101,101,"Fred Couples",60,71.22,4273,60,"ScoringAverageActual",2008
101,101,"Frank Lickliter II",107,71.22,7621,107,"ScoringAverageActual",2008
101,101,"Scott McCarron",63,71.22,4487,63,"ScoringAverageActual",2008
105,105,"Tim Petrovic",97,71.23,6909,97,"ScoringAverageActual",2008
106,106,"Todd Demsey",80,71.24,5699,80,"ScoringAverageActual",2008
106,106,"Joe Durant",92,71.24,6554,92,"ScoringAverageActual",2008
108,108,"Brad Elder",67,71.25,4774,67,"ScoringAverageActual",2008
108,108,"Sean OHair",81,71.25,5771,81,"ScoringAverageActual",2008
108,108,"Jesper Parnevik",88,71.25,6270,88,"ScoringAverageActual",2008
111,111,"Freddie Jacobson",78,71.26,5558,78,"ScoringAverageActual",2008
112,112,"Alejandro Canizares",52,71.27,3706,52,"ScoringAverageActual",2008
112,112,"Brandt Snedeker",85,71.27,5987,84,"ScoringAverageActual",2008
114,114,"Brett Quigley",80,71.28,5702,80,"ScoringAverageActual",2008
115,115,"Jeff Maggert",86,71.29,6131,86,"ScoringAverageActual",2008
115,115,"Jeff Overton",103,71.29,7343,103,"ScoringAverageActual",2008
117,117,"Eric Axley",113,71.31,8058,113,"ScoringAverageActual",2008
118,118,"Nathan Green",95,71.33,6776,95,"ScoringAverageActual",2008
119,119,"Tag Ridings",88,71.34,6278,88,"ScoringAverageActual",2008
120,120,"Jonathan Byrd",88,71.36,6066,85,"ScoringAverageActual",2008
121,121,"Doug LaBelle II",65,71.37,4639,65,"ScoringAverageActual",2008
122,122,"Geoff Ogilvy",65,71.38,4568,64,"ScoringAverageActual",2008
122,122,"Nicholas Thompson",113,71.38,8066,113,"ScoringAverageActual",2008
124,124,"Rich Beem",90,71.39,6425,90,"ScoringAverageActual",2008
124,124,"JB Holmes",86,71.39,6068,85,"ScoringAverageActual",2008
124,124,"Rod Pampling",83,71.39,5711,80,"ScoringAverageActual",2008
124,124,"Jeff Quinney",87,71.39,6211,87,"ScoringAverageActual",2008
128,128,"Steve Allan",58,71.4,4141,58,"ScoringAverageActual",2008
128,128,"Matt Jones",95,71.4,6783,95,"ScoringAverageActual",2008
128,128,"Troy Matteson",94,71.4,6712,94,"ScoringAverageActual",2008
131,131,"Marco Dawson",64,71.42,4571,64,"ScoringAverageActual",2008
132,132,"Chad Collins",72,71.43,5143,72,"ScoringAverageActual",2008
133,133,"Ernie Els",51,71.44,3572,50,"ScoringAverageActual",2008
133,133,"Jim McGovern",75,71.44,5358,75,"ScoringAverageActual",2008
135,135,"Adam Scott",51,71.45,3501,49,"ScoringAverageActual",2008
135,135,"Jimmy Walker",73,71.45,5216,73,"ScoringAverageActual",2008
137,137,"Lee Janzen",89,71.46,6360,89,"ScoringAverageActual",2008
138,138,"Harrison Frazar",73,71.48,5218,73,"ScoringAverageActual",2008
138,138,"Brandt Jobe",52,71.48,3717,52,"ScoringAverageActual",2008
140,140,"Jerry Kelly",89,71.49,6291,88,"ScoringAverageActual",2008
141,141,"Dustin Johnson",92,71.5,6578,92,"ScoringAverageActual",2008
141,141,"Ryan Moore",72,71.5,5148,72,"ScoringAverageActual",2008
143,143,"Daniel Chopra",84,71.51,5935,83,"ScoringAverageActual",2008
144,144,"Jay Williamson",96,71.52,6866,96,"ScoringAverageActual",2008
145,145,"YE Yang",89,71.53,6366,89,"ScoringAverageActual",2008
146,146,"Jeff Gove",50,71.54,3577,50,"ScoringAverageActual",2008
146,146,"Cliff Kresge",84,71.54,6009,84,"ScoringAverageActual",2008
146,146,"John Rollins",94,71.54,6725,94,"ScoringAverageActual",2008
146,146,"Chris Stroud",81,71.54,5795,81,"ScoringAverageActual",2008
150,150,"Greg Kraft",63,71.56,4508,63,"ScoringAverageActual",2008
150,150,"Kevin Stadler",90,71.56,6440,90,"ScoringAverageActual",2008
152,152,"James Driscoll",85,71.6,6086,85,"ScoringAverageActual",2008
152,152,"Paul Goydos",78,71.6,5585,78,"ScoringAverageActual",2008
154,154,"Rocco Mediate",87,71.61,6230,87,"ScoringAverageActual",2008
155,155,"Jon Mills",95,71.62,6804,95,"ScoringAverageActual",2008
156,156,"Nick Flanagan",89,71.63,6375,89,"ScoringAverageActual",2008
156,156,"Will Ma Kenzie",62,71.63,4441,62,"ScoringAverageActual",2008
158,158,"Tom Scherrer",56,71.64,4012,56,"ScoringAverageActual",2008
159,159,"Johnson Wagner",83,71.65,5947,83,"ScoringAverageActual",2008
160,160,"Mathias Gronberg",87,71.68,6236,87,"ScoringAverageActual",2008
161,161,"Alex Cejka",75,71.69,5377,75,"ScoringAverageActual",2008
162,162,"Chris DiMarco",87,71.7,6238,87,"ScoringAverageActual",2008
162,162,"Robert Gamez",79,71.7,5664,79,"ScoringAverageActual",2008
162,162,"Ron Whittaker",54,71.7,3872,54,"ScoringAverageActual",2008
165,165,"Retief Goosen",59,71.71,4159,58,"ScoringAverageActual",2008
165,165,"Ted Purdy",68,71.71,4876,68,"ScoringAverageActual",2008
167,167,"Paul Casey",55,71.75,3731,52,"ScoringAverageActual",2008
168,168,"Ryan Armour",87,71.78,6245,87,"ScoringAverageActual",2008
168,168,"Paul Claxton",63,71.78,4522,63,"ScoringAverageActual",2008
168,168,"Shigeki Maruyama",50,71.78,3589,50,"ScoringAverageActual",2008
171,171,"Bob Sowards",61,71.79,4379,61,"ScoringAverageActual",2008
172,172,"Olin Browne",77,71.81,5529,77,"ScoringAverageActual",2008
172,172,"Kenneth Ferrie",72,71.81,5170,72,"ScoringAverageActual",2008
174,174,"Todd Hamilton",92,71.83,6608,92,"ScoringAverageActual",2008
175,175,"Ian Poulter",51,71.84,3520,49,"ScoringAverageActual",2008
176,176,"Mark Hensby",71,71.85,5101,71,"ScoringAverageActual",2008
176,176,"Trevor Immelman",70,71.85,4886,68,"ScoringAverageActual",2008
176,176,"Andres Romero",69,71.85,4814,67,"ScoringAverageActual",2008
179,179,"Mark Calcavecchia",67,71.86,4743,66,"ScoringAverageActual",2008
180,180,"Brett Rumford",72,71.89,5176,72,"ScoringAverageActual",2008
181,181,"Angel Cabrera",55,71.94,3669,51,"ScoringAverageActual",2008
182,182,"Tommy Gainey",60,71.95,4317,60,"ScoringAverageActual",2008
183,183,"Steve Lowery",74,71.96,5325,74,"ScoringAverageActual",2008
185,185,"Tom Lehman",51,71.98,3671,51,"ScoringAverageActual",2008
186,186,"Justin Bolli",87,72,6264,87,"ScoringAverageActual",2008
187,187,"Jin Park",85,72.07,6126,85,"ScoringAverageActual",2008
188,188,"Jason Allred",63,72.08,4541,63,"ScoringAverageActual",2008
188,188,"Charles Warren",79,72.08,5694,79,"ScoringAverageActual",2008
190,190,"JP Hayes",67,72.09,4830,67,"ScoringAverageActual",2008
191,191,"Billy Andrade",71,72.15,5123,71,"ScoringAverageActual",2008
192,192,"Stephen Leaney",53,72.23,3828,53,"ScoringAverageActual",2008
193,193,"David Lutterus",59,72.39,4271,59,"ScoringAverageActual",2008
194,194,"Kyle Thompson",70,72.4,5068,70,"ScoringAverageActual",2008
195,195,"Cody Freeman",66,72.52,4786,66,"ScoringAverageActual",2008
196,196,"Travis Perkins",53,73.13,3876,53,"ScoringAverageActual",2008
197,197,"David Duval",51,73.73,3760,51,"ScoringAverageActual",2008
