"TotalDrivingEfficiency_RANKTHISWEEK_2014","TotalDrivingEfficiency_RANKLASTWEEK_2014","TotalDrivingEfficiency_PLAYERNAME_2014","TotalDrivingEfficiency_ROUNDS_2014","TotalDrivingEfficiency_COMBINEDRANK_2014","TotalDrivingEfficiency_CARRYEFFICIENCYRANK_2014","TotalDrivingEfficiency_TOTALDISTEFFICRANK_2014","stat_name","year"
45,45,"Carl Pettersson",91,100,67,33,"TotalDrivingEfficiency",2014
46,46,"Richard Lee",80,103,40,63,"TotalDrivingEfficiency",2014
47,47,"David Lingmerth",80,104,31,73,"TotalDrivingEfficiency",2014
48,48,"Tim Clark",75,105,88,17,"TotalDrivingEfficiency",2014
49,49,"Brian Gay",81,108,86,22,"TotalDrivingEfficiency",2014
50,50,"Kevin Stadler",90,109,60,49,"TotalDrivingEfficiency",2014
51,51,"Roberto Castro",76,110,59,51,"TotalDrivingEfficiency",2014
51,51,"Louis Oosthuizen",50,110,75,35,"TotalDrivingEfficiency",2014
53,53,"Charley Hoffman",93,112,26,86,"TotalDrivingEfficiency",2014
54,54,"Tommy Gainey",73,113,60,53,"TotalDrivingEfficiency",2014
55,55,"Keegan Bradley",89,115,32,83,"TotalDrivingEfficiency",2014
55,55,"Bo Van Pelt",83,115,56,59,"TotalDrivingEfficiency",2014
57,57,"JJ Henry",91,116,43,73,"TotalDrivingEfficiency",2014
58,58,"Scott Brown",100,117,70,47,"TotalDrivingEfficiency",2014
58,58,"Russell Henley",92,117,14,103,"TotalDrivingEfficiency",2014
60,60,"James Hahn",82,118,40,78,"TotalDrivingEfficiency",2014
61,61,"Robert Allenby",83,119,84,35,"TotalDrivingEfficiency",2014
62,62,"Cameron Tringale",111,122,70,52,"TotalDrivingEfficiency",2014
63,63,"Rory McIlroy",66,125,64,61,"TotalDrivingEfficiency",2014
63,63,"Brendan Steele",89,125,47,78,"TotalDrivingEfficiency",2014
65,65,"KJ Choi",80,130,115,15,"TotalDrivingEfficiency",2014
66,66,"Tyrone Van Aswegen",79,134,56,78,"TotalDrivingEfficiency",2014
67,67,"Andres Romero",81,137,70,67,"TotalDrivingEfficiency",2014
68,68,"Chesson Hadley",84,141,74,67,"TotalDrivingEfficiency",2014
69,69,"Kyle Stanley",87,142,38,104,"TotalDrivingEfficiency",2014
70,70,"DH Lee",54,144,54,90,"TotalDrivingEfficiency",2014
71,71,"Graham DeLaet",80,145,36,109,"TotalDrivingEfficiency",2014
72,72,"Charles Howell III",106,147,69,78,"TotalDrivingEfficiency",2014
72,72,"David Toms",64,147,47,100,"TotalDrivingEfficiency",2014
74,74,"Matt Kuchar",91,149,92,57,"TotalDrivingEfficiency",2014
75,75,"Rickie Fowler",91,150,42,108,"TotalDrivingEfficiency",2014
75,75,"Justin Hicks",103,150,108,42,"TotalDrivingEfficiency",2014
77,77,"Troy Matteson",62,153,81,72,"TotalDrivingEfficiency",2014
78,78,"Brian Stuard",91,159,101,58,"TotalDrivingEfficiency",2014
79,79,"Lucas Glover",68,160,111,49,"TotalDrivingEfficiency",2014
79,79,"Andrew Loupe",65,160,53,107,"TotalDrivingEfficiency",2014
81,81,"Kevin Kisner",85,163,93,70,"TotalDrivingEfficiency",2014
82,82,"Steven Bowditch",93,165,101,64,"TotalDrivingEfficiency",2014
82,82,"Jim Herman",62,165,101,64,"TotalDrivingEfficiency",2014
82,82,"Jerry Kelly",80,165,123,42,"TotalDrivingEfficiency",2014
85,85,"Brad Fritsch",50,168,49,119,"TotalDrivingEfficiency",2014
86,86,"Danny Lee",84,172,86,86,"TotalDrivingEfficiency",2014
86,86,"Marc Leishman",81,172,75,97,"TotalDrivingEfficiency",2014
88,88,"Camilo Villegas",95,174,101,73,"TotalDrivingEfficiency",2014
89,89,"Kevin Streelman",79,176,77,99,"TotalDrivingEfficiency",2014
90,90,"Chad Campbell",57,177,91,86,"TotalDrivingEfficiency",2014
90,90,"DA Points",75,177,60,117,"TotalDrivingEfficiency",2014
92,92,"Robert Garrigus",80,179,65,114,"TotalDrivingEfficiency",2014
93,93,"Jason Kokrak",65,181,98,83,"TotalDrivingEfficiency",2014
93,93,"Phil Mickelson",71,181,28,153,"TotalDrivingEfficiency",2014
93,93,"Brendon Todd",108,181,122,59,"TotalDrivingEfficiency",2014
96,96,"Angel Cabrera",69,184,60,124,"TotalDrivingEfficiency",2014
