"BogeyAverage_RANKTHISWEEK_2005","BogeyAverage_RANKLASTWEEK_2005","BogeyAverage_PLAYERNAME_2005","BogeyAverage_EVENTS_2005","BogeyAverage_AVERAGEBOGEYSPERROUND_2005","BogeyAverage_TOTALBOGEYS_2005","BogeyAverage_ROUNDSPLAYED_2005","stat_name","year"
142,142,"Woody Austin",30,2.89,289,100,"BogeyAverage",2005
142,142,"JP Hayes",22,2.89,182,63,"BogeyAverage",2005
144,144,"Bernhard Langer",19,2.9,194,67,"BogeyAverage",2005
145,145,"Tom Gillis",28,2.91,218,75,"BogeyAverage",2005
145,145,"Jeff Maggert",25,2.91,215,74,"BogeyAverage",2005
145,145,"Mark OMeara",21,2.91,192,66,"BogeyAverage",2005
145,145,"Charles Warren",31,2.91,253,87,"BogeyAverage",2005
149,149,"Larry Mize",18,2.92,146,50,"BogeyAverage",2005
149,149,"Chris Smith",32,2.92,272,93,"BogeyAverage",2005
149,149,"DJ Trahan",28,2.92,225,77,"BogeyAverage",2005
152,152,"Robert Damron",28,2.93,261,89,"BogeyAverage",2005
153,153,"Paul Azinger",22,2.94,194,66,"BogeyAverage",2005
154,154,"Michael Allen",30,2.96,266,90,"BogeyAverage",2005
155,155,"Todd Fischer",35,2.98,289,97,"BogeyAverage",2005
156,156,"Brian Bateman",32,2.99,281,94,"BogeyAverage",2005
157,157,"Mark Brooks",28,3.01,217,72,"BogeyAverage",2005
157,157,"Alex Cejka",31,3.01,244,81,"BogeyAverage",2005
157,157,"Skip Kendall",32,3.01,235,78,"BogeyAverage",2005
157,157,"Shaun Micheel",29,3.01,238,79,"BogeyAverage",2005
161,161,"Justin Bolli",24,3.02,190,63,"BogeyAverage",2005
161,161,"Bradley Hughes",20,3.02,157,52,"BogeyAverage",2005
161,161,"Lee Westwood",15,3.02,145,48,"BogeyAverage",2005
164,164,"Peter Lonard",27,3.04,255,84,"BogeyAverage",2005
165,165,"Jeff Hart",23,3.05,186,61,"BogeyAverage",2005
165,165,"Franklin Langham",31,3.05,265,87,"BogeyAverage",2005
165,165,"Mike Weir",23,3.05,201,66,"BogeyAverage",2005
168,168,"Paul Claxton",29,3.06,242,79,"BogeyAverage",2005
168,168,"Ben Curtis",24,3.06,199,65,"BogeyAverage",2005
170,170,"Todd Hamilton",31,3.08,280,91,"BogeyAverage",2005
170,170,"Ted Purdy",34,3.08,376,122,"BogeyAverage",2005
170,170,"Rory Sabbatini",26,3.08,240,78,"BogeyAverage",2005
173,173,"Glen Day",27,3.09,241,78,"BogeyAverage",2005
174,174,"Michael Long",26,3.1,217,70,"BogeyAverage",2005
174,174,"Andrew Magee",29,3.1,242,78,"BogeyAverage",2005
176,176,"Steve Allan",32,3.11,305,98,"BogeyAverage",2005
176,176,"John Daly",25,3.11,236,76,"BogeyAverage",2005
176,176,"Hank Kuehne",30,3.11,249,80,"BogeyAverage",2005
179,179,"Scott McCarron",24,3.12,231,74,"BogeyAverage",2005
180,180,"Danny Briggs",29,3.13,213,68,"BogeyAverage",2005
181,181,"Chris Riley",25,3.14,201,64,"BogeyAverage",2005
182,182,"Jay Haas",16,3.16,161,51,"BogeyAverage",2005
183,183,"Steve Flesch",30,3.19,271,85,"BogeyAverage",2005
183,183,"Steve Jones",20,3.19,172,54,"BogeyAverage",2005
185,185,"Len Mattiace",34,3.21,270,84,"BogeyAverage",2005
185,185,"Ian Poulter",20,3.21,180,56,"BogeyAverage",2005
187,187,"Jim Carter",25,3.22,193,60,"BogeyAverage",2005
188,188,"Chris Anderson",25,3.23,200,62,"BogeyAverage",2005
188,188,"Padraig Harrington",15,3.23,155,48,"BogeyAverage",2005
188,188,"Scott Hend",28,3.23,236,73,"BogeyAverage",2005
191,191,"Mark Hensby",21,3.24,220,68,"BogeyAverage",2005
192,192,"Hideto Tanihara",20,3.25,156,48,"BogeyAverage",2005
193,193,"Rob Rashell",25,3.28,213,65,"BogeyAverage",2005
194,194,"Rich Beem",26,3.29,204,62,"BogeyAverage",2005
194,194,"John Cook",26,3.29,230,70,"BogeyAverage",2005
196,196,"Dennis Paulson",24,3.32,209,63,"BogeyAverage",2005
197,197,"John Elliott",25,3.48,195,56,"BogeyAverage",2005
198,198,"Jason Allred",29,3.52,257,73,"BogeyAverage",2005
199,199,"Matt Davidson",20,3.53,187,53,"BogeyAverage",2005
200,200,"DJ Brigman",26,3.57,257,72,"BogeyAverage",2005
201,201,"Thomas Levet",20,3.68,195,53,"BogeyAverage",2005
202,202,"Craig Perks",27,3.69,240,65,"BogeyAverage",2005
