"TotalDriving_RANKTHISWEEK_2005","TotalDriving_RANKLASTWEEK_2005","TotalDriving_PLAYERNAME_2005","TotalDriving_EVENTS_2005","TotalDriving_TOTAL_2005","TotalDriving_DISTANCERANK_2005","TotalDriving_ACCURACYRANK_2005","stat_name","year"
84,84,"Robert Damron",28,191,181,10,"TotalDriving",2005
86,86,"Arron Oberholser",21,193,145,48,"TotalDriving",2005
86,86,"Tiger Woods",21,193,2,191,"TotalDriving",2005
88,88,"Steve Allan",32,194,32,162,"TotalDriving",2005
88,88,"Omar Uresti",27,194,191,3,"TotalDriving",2005
90,90,"Matt Kuchar",21,195,170,25,"TotalDriving",2005
91,91,"Ryan Palmer",32,196,47,149,"TotalDriving",2005
91,91,"Bob Tway",26,196,114,82,"TotalDriving",2005
93,93,"Tom Lehman",20,197,121,76,"TotalDriving",2005
94,94,"Tim Clark",26,199,140,59,"TotalDriving",2005
94,94,"Fred Funk",30,199,197,2,"TotalDriving",2005
94,94,"Brendan Jones",28,199,14,185,"TotalDriving",2005
94,94,"Adam Scott",19,199,23,176,"TotalDriving",2005
98,98,"Phillip Price",25,200,142,58,"TotalDriving",2005
99,99,"Doug Barron",24,201,175,26,"TotalDriving",2005
99,99,"Steve Elkington",20,201,145,56,"TotalDriving",2005
99,99,"Retief Goosen",18,201,44,157,"TotalDriving",2005
102,102,"Jim Furyk",26,202,170,32,"TotalDriving",2005
102,102,"Jeff Hart",23,202,201,1,"TotalDriving",2005
102,102,"Skip Kendall",32,202,187,15,"TotalDriving",2005
102,102,"Justin Leonard",24,202,128,74,"TotalDriving",2005
106,106,"Scott Hend",28,203,1,202,"TotalDriving",2005
107,107,"Frank Lickliter II",33,204,103,101,"TotalDriving",2005
107,107,"Brenden Pappas",15,204,6,198,"TotalDriving",2005
107,107,"Kirk Triplett",18,204,187,17,"TotalDriving",2005
110,110,"Gavin Coles",22,205,200,5,"TotalDriving",2005
110,110,"John Daly",25,205,5,200,"TotalDriving",2005
110,110,"Tom Gillis",28,205,133,72,"TotalDriving",2005
110,110,"Pat Perez",28,205,68,137,"TotalDriving",2005
110,110,"Carl Pettersson",34,205,70,135,"TotalDriving",2005
115,115,"Hank Kuehne",30,206,7,199,"TotalDriving",2005
116,116,"Robert Gamez",28,208,162,46,"TotalDriving",2005
117,117,"John Elliott",25,209,13,196,"TotalDriving",2005
117,117,"Tag Ridings",31,209,20,189,"TotalDriving",2005
119,119,"Luke Donald",18,210,135,75,"TotalDriving",2005
120,120,"Larry Mize",18,211,192,19,"TotalDriving",2005
121,121,"Tom Byrum",27,213,195,18,"TotalDriving",2005
121,121,"Fred Couples",22,213,39,174,"TotalDriving",2005
121,121,"Peter Lonard",27,213,93,120,"TotalDriving",2005
124,124,"Jim Carter",25,215,185,30,"TotalDriving",2005
124,124,"Dan Forsman",17,215,52,163,"TotalDriving",2005
124,124,"Shaun Micheel",29,215,101,114,"TotalDriving",2005
124,124,"Mark Wilson",25,215,174,41,"TotalDriving",2005
128,128,"John Cook",26,217,196,21,"TotalDriving",2005
128,128,"Neal Lancaster",31,217,58,159,"TotalDriving",2005
128,128,"Stephen Leaney",29,217,182,35,"TotalDriving",2005
131,131,"Scott McCarron",24,218,77,141,"TotalDriving",2005
131,131,"Dennis Paulson",24,218,30,188,"TotalDriving",2005
131,131,"Jeff Sluman",28,218,176,42,"TotalDriving",2005
131,131,"Dean Wilson",27,218,152,66,"TotalDriving",2005
135,135,"Bob Estes",25,219,142,77,"TotalDriving",2005
135,135,"Shigeki Maruyama",29,219,98,121,"TotalDriving",2005
137,137,"Jason Allred",29,221,20,201,"TotalDriving",2005
138,138,"Danny Briggs",29,222,185,37,"TotalDriving",2005
138,138,"Daniel Chopra",34,222,35,187,"TotalDriving",2005
138,138,"Chris Riley",25,222,178,44,"TotalDriving",2005
138,138,"Rory Sabbatini",26,222,36,186,"TotalDriving",2005
142,142,"Carlos Franco",25,223,48,175,"TotalDriving",2005
143,143,"Steve Jones",20,224,167,57,"TotalDriving",2005
144,144,"Glen Day",27,225,118,107,"TotalDriving",2005
145,145,"Todd Hamilton",31,227,110,117,"TotalDriving",2005
146,146,"Charles Howell III",29,228,56,172,"TotalDriving",2005
147,147,"Paul Gow",27,230,178,52,"TotalDriving",2005
147,147,"Brett Quigley",31,230,59,171,"TotalDriving",2005
147,147,"Patrick Sheehan",35,230,96,134,"TotalDriving",2005
150,150,"Loren Roberts",18,231,197,34,"TotalDriving",2005
151,151,"Jesper Parnevik",24,232,64,168,"TotalDriving",2005
152,152,"Brian Gay",33,233,193,40,"TotalDriving",2005
153,153,"Matt Davidson",20,234,165,69,"TotalDriving",2005
153,153,"Bill Glasson",21,234,139,95,"TotalDriving",2005
153,153,"Joe Ogilvie",30,234,131,103,"TotalDriving",2005
156,156,"Woody Austin",30,235,93,142,"TotalDriving",2005
156,156,"Mark Brooks",28,235,199,36,"TotalDriving",2005
156,156,"Steve Flesch",30,235,138,97,"TotalDriving",2005
159,159,"James Driscoll",26,237,42,195,"TotalDriving",2005
160,160,"Ian Poulter",20,239,132,107,"TotalDriving",2005
161,161,"Mike Weir",23,240,158,82,"TotalDriving",2005
162,162,"Billy Andrade",26,241,151,90,"TotalDriving",2005
162,162,"Bob Heintz",24,241,71,170,"TotalDriving",2005
164,164,"Padraig Harrington",15,243,54,189,"TotalDriving",2005
165,165,"Ben Crane",21,244,61,183,"TotalDriving",2005
165,165,"Charlie Wi",23,244,129,115,"TotalDriving",2005
167,167,"Hunter Haas",28,247,88,159,"TotalDriving",2005
167,167,"Corey Pavin",23,247,202,45,"TotalDriving",2005
169,169,"Jay Haas",16,249,187,62,"TotalDriving",2005
170,170,"Dudley Hart",29,250,127,123,"TotalDriving",2005
171,171,"Justin Bolli",24,252,96,156,"TotalDriving",2005
171,171,"Ryuji Imada",25,252,85,167,"TotalDriving",2005
173,173,"Stephen Ames",24,254,122,132,"TotalDriving",2005
174,174,"Michael Allen",30,257,65,192,"TotalDriving",2005
175,175,"Chris Anderson",25,258,177,81,"TotalDriving",2005
175,175,"Ben Curtis",24,258,170,88,"TotalDriving",2005
175,175,"Brent Geiberger",21,258,162,96,"TotalDriving",2005
175,175,"Glen Hnatiuk",21,258,148,110,"TotalDriving",2005
179,179,"Todd Fischer",35,260,187,73,"TotalDriving",2005
180,180,"Matt Gogel",28,261,169,92,"TotalDriving",2005
180,180,"Jose Maria Olazabal",16,261,103,158,"TotalDriving",2005
182,182,"Bernhard Langer",19,262,93,169,"TotalDriving",2005
183,183,"Hideto Tanihara",20,264,135,129,"TotalDriving",2005
184,184,"Freddie Jacobson",23,266,90,176,"TotalDriving",2005
185,185,"Aaron Baddeley",27,268,74,194,"TotalDriving",2005
185,185,"Andrew Magee",29,268,87,181,"TotalDriving",2005
187,187,"Paul Azinger",22,269,133,136,"TotalDriving",2005
187,187,"Stewart Cink",26,269,126,143,"TotalDriving",2005
189,189,"Rich Beem",26,270,106,164,"TotalDriving",2005
190,190,"Kevin Na",32,285,167,118,"TotalDriving",2005
191,191,"Chris DiMarco",24,289,164,125,"TotalDriving",2005
192,192,"Thomas Levet",20,290,110,180,"TotalDriving",2005
193,193,"JP Hayes",22,297,153,144,"TotalDriving",2005
193,193,"Tim Petrovic",32,297,118,179,"TotalDriving",2005
195,195,"Lee Janzen",26,309,125,184,"TotalDriving",2005
196,196,"Craig Perks",27,315,122,193,"TotalDriving",2005
197,197,"Mark OMeara",21,316,183,133,"TotalDriving",2005
198,198,"Rob Rashell",25,318,166,152,"TotalDriving",2005
199,199,"Steve Stricker",21,326,129,197,"TotalDriving",2005
200,200,"Len Mattiace",34,328,178,150,"TotalDriving",2005
201,201,"Brad Faxon",23,332,194,138,"TotalDriving",2005
201,201,"Franklin Langham",31,332,159,173,"TotalDriving",2005
