"AveragePuttingDistanceAll3Plusputts_RANKTHISWEEK_2005","AveragePuttingDistanceAll3Plusputts_RANKLASTWEEK_2005","AveragePuttingDistanceAll3Plusputts_PLAYERNAME_2005","AveragePuttingDistanceAll3Plusputts_ROUNDS_2005","AveragePuttingDistanceAll3Plusputts_AVG_2005","AveragePuttingDistanceAll3Plusputts_DISTANCEFEET_2005","AveragePuttingDistanceAll3Plusputts_TOTALPUTTS_2005","stat_name","year"
80,80,"Steve Lowery",100,NA,23,1,"AveragePuttingDistanceAll3Plusputts",2005
81,81,"Fred Couples",72,NA,87,4,"AveragePuttingDistanceAll3Plusputts",2005
82,82,"Jeff Maggert",79,NA,42.167,2,"AveragePuttingDistanceAll3Plusputts",2005
83,83,"Jesper Parnevik",84,NA,41.5,2,"AveragePuttingDistanceAll3Plusputts",2005
84,84,"Steve Elkington",67,NA,17.667,1,"AveragePuttingDistanceAll3Plusputts",2005
85,85,"DJ Brigman",76,NA,16.417,1,"AveragePuttingDistanceAll3Plusputts",2005
86,86,"Lee Westwood",50,NA,15.333,1,"AveragePuttingDistanceAll3Plusputts",2005
87,87,"Robert Allenby",95,NA,14.083,1,"AveragePuttingDistanceAll3Plusputts",2005
88,88,"Justin Rose",99,NA,12.667,1,"AveragePuttingDistanceAll3Plusputts",2005
89,89,"Chris DiMarco",83,NA,12.167,1,"AveragePuttingDistanceAll3Plusputts",2005
90,90,"Rich Beem",66,NA,23.667,2,"AveragePuttingDistanceAll3Plusputts",2005
91,91,"Freddie Jacobson",72,NA,11.75,1,"AveragePuttingDistanceAll3Plusputts",2005
92,92,"Todd Fischer",99,NA,11.083,1,"AveragePuttingDistanceAll3Plusputts",2005
93,93,"Hunter Mahan",103,NA,19.333,2,"AveragePuttingDistanceAll3Plusputts",2005
94,94,"Daniel Chopra",108,NA,5.75,1,"AveragePuttingDistanceAll3Plusputts",2005
95,95,"John Senden",101,NA,4.667,1,"AveragePuttingDistanceAll3Plusputts",2005
96,96,"Bob Heintz",67,NA,4.583,1,"AveragePuttingDistanceAll3Plusputts",2005
97,97,"Corey Pavin",77,NA,4.417,1,"AveragePuttingDistanceAll3Plusputts",2005
