"BonusPutting_RANKTHISWEEK_2015","BonusPutting_RANKLASTWEEK_2015","BonusPutting_PLAYERNAME_2015","BonusPutting_ROUNDS_2015","BonusPutting_VALUE_2015","BonusPutting_ATTEMPTS_2015","BonusPutting_TOTMADE20_2015","BonusPutting_TOTMADE_2015","stat_name","year"
44,44,"Ryan Palmer",80,100.4,751,17,737,"BonusPutting",2015
45,45,"Hudson Swafford",97,100.34,1177,41,1140,"BonusPutting",2015
46,46,"John Huh",102,100.33,1219,41,1182,"BonusPutting",2015
47,47,"Boo Weekley",79,100.31,974,30,947,"BonusPutting",2015
48,48,"Danny Lee",120,100.29,1362,45,1321,"BonusPutting",2015
49,49,"James Hahn",94,100.27,1114,42,1075,"BonusPutting",2015
49,49,"Jim Herman",88,100.27,1091,35,1059,"BonusPutting",2015
51,51,"Jim Furyk",71,100.26,756,19,739,"BonusPutting",2015
52,52,"Jamie Donaldson",50,100.22,445,16,430,"BonusPutting",2015
52,52,"Billy Hurley III",83,100.22,893,23,872,"BonusPutting",2015
52,52,"Carl Pettersson",106,100.22,1339,38,1304,"BonusPutting",2015
55,55,"Rory Sabbatini",81,100.21,938,33,907,"BonusPutting",2015
56,56,"Martin Laird",77,100.19,1027,32,997,"BonusPutting",2015
56,56,"Bryce Molder",91,100.19,1070,34,1038,"BonusPutting",2015
56,56,"Jeff Overton",94,100.19,1047,24,1025,"BonusPutting",2015
59,59,"Cameron Tringale",96,100.18,1132,41,1093,"BonusPutting",2015
60,60,"Martin Flores",95,100.17,1154,44,1112,"BonusPutting",2015
61,61,"Patrick Rodgers",57,100.15,659,19,641,"BonusPutting",2015
62,62,"Ricky Barnes",82,100.11,901,26,876,"BonusPutting",2015
63,63,"Fabian Gomez",83,100.1,980,35,946,"BonusPutting",2015
63,63,"Luke Guthrie",84,100.1,974,38,937,"BonusPutting",2015
63,63,"Bill Haas",89,100.1,1034,28,1007,"BonusPutting",2015
66,66,"Brian Harman",90,100.09,1114,38,1077,"BonusPutting",2015
67,67,"Derek Fathauer",81,100,922,26,896,"BonusPutting",2015
67,67,"Adam Hadwin",95,100,1141,38,1103,"BonusPutting",2015
67,67,"Russell Knox",96,100,1243,42,1201,"BonusPutting",2015
67,67,"David Lingmerth",90,100,1013,28,985,"BonusPutting",2015
67,67,"Hunter Mahan",88,100,898,26,872,"BonusPutting",2015
67,67,"Ian Poulter",68,100,673,25,648,"BonusPutting",2015
67,67,"John Senden",80,100,741,18,723,"BonusPutting",2015
74,74,"Charles Howell III",105,99.93,1458,47,1410,"BonusPutting",2015
75,75,"Tony Finau",106,99.92,1327,47,1279,"BonusPutting",2015
76,76,"Kevin Chappell",86,99.91,1053,33,1019,"BonusPutting",2015
77,77,"Kevin Na",98,99.9,1004,33,970,"BonusPutting",2015
77,77,"Andrew Svoboda",80,99.9,996,36,959,"BonusPutting",2015
79,79,"Stewart Cink",77,99.89,943,41,901,"BonusPutting",2015
80,80,"Dustin Johnson",75,99.87,753,20,732,"BonusPutting",2015
81,81,"Chad Campbell",97,99.85,1315,39,1274,"BonusPutting",2015
82,82,"Andres Gonzales",90,99.82,1092,37,1053,"BonusPutting",2015
82,82,"John Peterson",84,99.82,1115,27,1086,"BonusPutting",2015
82,82,"Brian Stuard",97,99.82,1108,32,1074,"BonusPutting",2015
85,85,"Chris Stroud",84,99.8,982,33,947,"BonusPutting",2015
86,86,"Aaron Baddeley",76,99.78,898,27,869,"BonusPutting",2015
86,86,"Chad Collins",79,99.78,902,23,877,"BonusPutting",2015
88,88,"Whee Kim",71,99.75,795,26,767,"BonusPutting",2015
89,89,"Bubba Watson",71,99.74,766,12,752,"BonusPutting",2015
89,89,"Gary Woodland",81,99.74,765,23,740,"BonusPutting",2015
91,91,"Zach Johnson",90,99.7,989,32,954,"BonusPutting",2015
91,91,"Robert Streb",110,99.7,1338,38,1296,"BonusPutting",2015
93,93,"Keegan Bradley",87,99.67,910,28,879,"BonusPutting",2015
93,93,"Brice Garnett",81,99.67,917,31,883,"BonusPutting",2015
95,95,"Blayne Barber",76,99.66,871,20,848,"BonusPutting",2015
95,95,"Scott Piercy",90,99.66,1181,44,1133,"BonusPutting",2015
97,97,"Brendon de Jonge",106,99.62,1321,32,1284,"BonusPutting",2015
98,98,"George McNeill",93,99.6,1242,33,1204,"BonusPutting",2015
99,99,"Jon Curran",83,99.57,941,27,910,"BonusPutting",2015
100,100,"Louis Oosthuizen",68,99.56,677,25,649,"BonusPutting",2015
101,101,"Ryo Ishikawa",90,99.54,1078,37,1036,"BonusPutting",2015
102,102,"Francesco Molinari",56,99.53,632,12,617,"BonusPutting",2015
103,103,"Alex Prugh",84,99.52,1041,21,1015,"BonusPutting",2015
104,104,"Sangmoon Bae",98,99.5,1203,34,1163,"BonusPutting",2015
105,105,"Roger Sloan",56,99.49,590,15,572,"BonusPutting",2015
106,106,"Alex Cejka",94,99.48,1146,27,1113,"BonusPutting",2015
107,107,"Michael Thompson",83,99.44,1078,39,1033,"BonusPutting",2015
108,108,"Geoff Ogilvy",50,99.43,524,19,502,"BonusPutting",2015
109,109,"Carlos Ortiz",100,99.41,1187,39,1141,"BonusPutting",2015
110,110,"KJ Choi",66,99.38,800,19,776,"BonusPutting",2015
111,111,"Angel Cabrera",53,99.37,634,18,612,"BonusPutting",2015
112,112,"Graham DeLaet",65,99.36,776,17,754,"BonusPutting",2015
112,112,"Shawn Stefani",94,99.36,1251,30,1213,"BonusPutting",2015
114,114,"Chesson Hadley",101,99.35,1234,33,1193,"BonusPutting",2015
115,115,"Oscar Fraustro",58,99.32,586,12,570,"BonusPutting",2015
116,116,"Spencer Levin",99,99.26,1213,32,1172,"BonusPutting",2015
117,117,"Tom Hoge",83,99.22,897,25,865,"BonusPutting",2015
118,118,"Mark Hubbard",79,99.21,882,27,848,"BonusPutting",2015
119,119,"Eric Axley",57,99.19,616,15,596,"BonusPutting",2015
119,119,"Justin Thomas",106,99.19,1360,31,1318,"BonusPutting",2015
121,121,"Daniel Berger",97,99.16,1192,30,1152,"BonusPutting",2015
121,121,"DA Points",72,99.16,832,22,803,"BonusPutting",2015
121,121,"Brendan Steele",88,99.16,1070,28,1033,"BonusPutting",2015
124,124,"Scott Brown",97,99.15,1180,31,1139,"BonusPutting",2015
124,124,"Derek Ernst",75,99.15,936,25,903,"BonusPutting",2015
124,124,"Jason Gore",76,99.15,825,23,795,"BonusPutting",2015
127,127,"Camilo Villegas",83,99.14,1048,48,991,"BonusPutting",2015
128,128,"Nick Taylor",91,99.12,1141,30,1101,"BonusPutting",2015
129,129,"Steven Alker",62,99.04,732,14,711,"BonusPutting",2015
129,129,"Jhonattan Vegas",90,99.04,1044,34,1000,"BonusPutting",2015
131,131,"Tyrone Van Aswegen",58,99.02,613,12,595,"BonusPutting",2015
132,132,"Chris Kirk",76,99,804,19,777,"BonusPutting",2015
133,133,"Charley Hoffman",97,98.98,1077,30,1036,"BonusPutting",2015
134,134,"Jason Kokrak",88,98.96,1158,33,1113,"BonusPutting",2015
134,134,"Seung Yul Noh",65,98.96,766,21,737,"BonusPutting",2015
136,136,"Jerry Kelly",79,98.94,942,28,904,"BonusPutting",2015
137,137,"Jonathan Byrd",69,98.92,739,24,707,"BonusPutting",2015
137,137,"William McGirt",103,98.92,1393,32,1346,"BonusPutting",2015
139,139,"Mark Wilson",89,98.89,1166,35,1118,"BonusPutting",2015
140,140,"Roberto Castro",54,98.86,526,12,508,"BonusPutting",2015
140,140,"JJ Henry",94,98.86,1145,27,1105,"BonusPutting",2015
140,140,"Max Homa",78,98.86,879,19,850,"BonusPutting",2015
143,143,"Justin Leonard",61,98.82,760,17,734,"BonusPutting",2015
144,144,"Ben Crane",62,98.8,747,21,717,"BonusPutting",2015
144,144,"Brian Davis",86,98.8,1004,28,964,"BonusPutting",2015
146,146,"Jonathan Randolph",72,98.75,802,23,769,"BonusPutting",2015
147,147,"Ken Duke",93,98.74,1111,29,1068,"BonusPutting",2015
148,148,"JB Holmes",89,98.72,935,24,899,"BonusPutting",2015
149,149,"Scott Langley",94,98.68,1135,23,1097,"BonusPutting",2015
150,150,"Nick Watney",91,98.64,1178,34,1128,"BonusPutting",2015
151,151,"Chez Reavie",56,98.63,732,18,704,"BonusPutting",2015
152,152,"Ryan Moore",81,98.62,868,21,835,"BonusPutting",2015
153,153,"Tim Wilkinson",73,98.58,846,24,810,"BonusPutting",2015
154,154,"Morgan Hoffmann",85,98.57,976,24,938,"BonusPutting",2015
155,155,"Retief Goosen",81,98.5,865,18,834,"BonusPutting",2015
156,156,"Bill Lunde",50,98.48,527,16,503,"BonusPutting",2015
157,157,"Sam Saunders",83,98.47,914,23,877,"BonusPutting",2015
158,158,"Matt Every",73,98.35,788,15,760,"BonusPutting",2015
158,158,"Nicholas Thompson",90,98.35,1030,35,978,"BonusPutting",2015
160,160,"Sergio Garcia",59,98.31,533,23,501,"BonusPutting",2015
161,161,"Robert Allenby",63,98.3,764,16,735,"BonusPutting",2015
162,162,"Jason Dufner",76,98.13,695,23,659,"BonusPutting",2015
163,163,"Kyle Reifers",96,98.07,1140,29,1089,"BonusPutting",2015
164,164,"Charl Schwartzel",67,98.05,616,13,591,"BonusPutting",2015
165,165,"Robert Garrigus",70,98,800,11,773,"BonusPutting",2015
166,166,"Justin Rose",69,97.99,696,16,666,"BonusPutting",2015
167,167,"Heath Slocum",57,97.89,570,14,544,"BonusPutting",2015
168,168,"Marc Leishman",74,97.82,780,15,748,"BonusPutting",2015
169,169,"SJ Park",79,97.76,938,15,902,"BonusPutting",2015
170,170,"Gonzalo Fdez Castano",81,97.68,950,22,906,"BonusPutting",2015
170,170,"Greg Owen",58,97.68,604,15,575,"BonusPutting",2015
172,172,"Michael Putnam",87,97.65,1020,22,974,"BonusPutting",2015
173,173,"John Merrick",78,97.59,873,26,826,"BonusPutting",2015
174,174,"Vijay Singh",78,97.47,1029,21,982,"BonusPutting",2015
175,175,"Ernie Els",57,97.44,587,19,553,"BonusPutting",2015
176,176,"Webb Simpson",81,97.38,955,23,907,"BonusPutting",2015
177,177,"Byron Smith",59,97.31,632,12,603,"BonusPutting",2015
178,178,"Scott Stallings",60,97.08,720,13,686,"BonusPutting",2015
179,179,"Davis Love III",51,97,634,9,606,"BonusPutting",2015
180,180,"Jim Renner",68,96.74,829,8,794,"BonusPutting",2015
181,181,"Adam Scott",51,96.47,482,16,449,"BonusPutting",2015
182,182,"Padraig Harrington",60,95.94,739,19,690,"BonusPutting",2015
183,183,"Charlie Beljan",76,95.17,869,14,813,"BonusPutting",2015
184,184,"Lucas Glover",79,93.53,1144,20,1050,"BonusPutting",2015
