"LongestPutts_RANKTHISWEEK_2011","LongestPutts_RANKLASTWEEK_2011","LongestPutts_PLAYERNAME_2011","LongestPutts_ROUNDS_2011","LongestPutts_DISTANCE_2011","LongestPutts_YEARTOURN_2011","LongestPutts_ROUND_2011","LongestPutts_HOLE_2011","stat_name","year"
25,25,"DA Points",89,NA,NA,4,9,"LongestPutts",2011
26,27,"Will Strickler",51,NA,NA,4,8,"LongestPutts",2011
28,28,"Spencer Levin",113,NA,NA,4,18,"LongestPutts",2011
29,29,"Alexandre Rocha",65,NA,NA,2,8,"LongestPutts",2011
30,30,"Billy Mayfair",94,NA,NA,3,18,"LongestPutts",2011
31,31,"Charl Schwartzel",58,NA,NA,3,14,"LongestPutts",2011
34,34,"Brandt Jobe",100,NA,NA,2,12,"LongestPutts",2011
35,35,"Zack Miller",86,NA,NA,2,3,"LongestPutts",2011
37,37,"Corey Pavin",12,NA,NA,2,14,"LongestPutts",2011
38,38,"Stephen Ames",69,NA,NA,2,14,"LongestPutts",2011
39,40,"Greg Chalmers",88,NA,NA,1,8,"LongestPutts",2011
39,39,"Matt Kuchar",94,NA,NA,4,7,"LongestPutts",2011
41,41,"Zach Johnson",79,NA,NA,2,17,"LongestPutts",2011
42,43,"Tim Herron",85,NA,NA,2,13,"LongestPutts",2011
42,42,"Lucas Glover",74,NA,NA,2,10,"LongestPutts",2011
44,44,"Kevin Kisner",70,NA,NA,1,9,"LongestPutts",2011
45,47,"Jason Bohn",74,NA,NA,1,3,"LongestPutts",2011
45,45,"Martin Piller",63,NA,NA,3,4,"LongestPutts",2011
48,48,"Vijay Singh",79,NA,NA,3,13,"LongestPutts",2011
51,51,"Steve Flesch",88,NA,NA,3,6,"LongestPutts",2011
53,54,"Steve Elkington",50,NA,NA,1,14,"LongestPutts",2011
55,55,"Tom Pernice Jr",39,NA,NA,3,18,"LongestPutts",2011
57,57,"Marc Leishman",87,NA,NA,4,9,"LongestPutts",2011
58,58,"Richard Johnson",64,NA,NA,1,18,"LongestPutts",2011
59,59,"Jeff Overton",92,NA,NA,2,7,"LongestPutts",2011
60,60,"Chris Stroud",88,NA,NA,4,18,"LongestPutts",2011
61,61,"Alex Aragon",6,NA,NA,2,1,"LongestPutts",2011
62,62,"Lee Janzen",62,NA,NA,1,10,"LongestPutts",2011
63,63,"Hunter Mahan",92,NA,NA,4,16,"LongestPutts",2011
64,64,"Charles Warren",29,NA,NA,2,13,"LongestPutts",2011
65,65,"Ben Crane",76,NA,NA,1,14,"LongestPutts",2011
66,66,"Trevor Immelman",84,NA,NA,2,13,"LongestPutts",2011
68,69,"Michael Thompson",79,NA,NA,3,12,"LongestPutts",2011
68,68,"Cameron Tringale",110,NA,NA,1,10,"LongestPutts",2011
70,70,"David Toms",78,NA,NA,3,9,"LongestPutts",2011
70,71,"Brandt Snedeker",85,NA,NA,2,17,"LongestPutts",2011
72,72,"Sean OHair",71,NA,NA,4,2,"LongestPutts",2011
73,73,"Stewart Cink",72,NA,NA,1,2,"LongestPutts",2011
75,75,"Hunter Haas",96,NA,NA,2,13,"LongestPutts",2011
76,76,"Robert Karlsson",61,NA,NA,4,1,"LongestPutts",2011
78,78,"Ernie Els",71,NA,NA,1,1,"LongestPutts",2011
79,79,"Scott Verplank",46,NA,NA,4,3,"LongestPutts",2011
80,82,"Carl Paulson",28,NA,NA,1,11,"LongestPutts",2011
80,80,"Jimmy Walker",79,NA,NA,4,17,"LongestPutts",2011
83,84,"Ryuji Imada",83,NA,NA,2,13,"LongestPutts",2011
83,83,"Michael Putnam",67,NA,NA,4,5,"LongestPutts",2011
87,87,"Jim Renner",65,NA,NA,3,9,"LongestPutts",2011
88,88,"Will Ma Kenzie",48,NA,NA,3,13,"LongestPutts",2011
89,89,"Sung Kang",63,NA,NA,2,2,"LongestPutts",2011
89,90,"Billy Horschel",75,NA,NA,1,1,"LongestPutts",2011
91,91,"Chris DiMarco",93,NA,NA,4,1,"LongestPutts",2011
92,92,"Robert Garrigus",83,NA,NA,3,18,"LongestPutts",2011
92,94,"Kevin Tway",8,NA,NA,2,12,"LongestPutts",2011
96,96,"Alex Prugh",82,NA,NA,2,2,"LongestPutts",2011
97,97,"Bio Kim",71,NA,NA,4,18,"LongestPutts",2011
98,98,"Paul Casey",48,NA,NA,4,18,"LongestPutts",2011
98,100,"Matt McQuillan",59,NA,NA,3,1,"LongestPutts",2011
98,99,"Peter Tomasulo",36,NA,NA,1,17,"LongestPutts",2011
101,101,"Kevin Hayashi",2,NA,NA,2,6,"LongestPutts",2011
101,102,"Richard Scott",4,NA,NA,4,15,"LongestPutts",2011
103,103,"Gary Woodland",93,NA,NA,1,15,"LongestPutts",2011
104,104,"Shaun Micheel",77,NA,NA,2,14,"LongestPutts",2011
108,108,"Charley Hoffman",93,NA,NA,3,7,"LongestPutts",2011
108,109,"Edoardo Molinari",44,NA,NA,3,16,"LongestPutts",2011
108,110,"Michael Sim",45,NA,NA,2,2,"LongestPutts",2011
111,111,"Kevin Stadler",88,NA,NA,2,18,"LongestPutts",2011
113,113,"William McGirt",103,NA,NA,4,3,"LongestPutts",2011
114,116,"Jose Maria Olazabal",14,NA,NA,1,6,"LongestPutts",2011
114,115,"Retief Goosen",50,NA,NA,3,4,"LongestPutts",2011
117,117,"Jeff Klauk",20,NA,NA,1,13,"LongestPutts",2011
118,118,"Charlie Wi",83,NA,NA,3,16,"LongestPutts",2011
119,120,"Bill Haas",93,NA,NA,4,2,"LongestPutts",2011
121,122,"Dean Wilson",62,NA,NA,2,13,"LongestPutts",2011
124,124,"John Ellis",4,NA,NA,2,18,"LongestPutts",2011
125,125,"Jeff Maggert",49,NA,NA,1,16,"LongestPutts",2011
127,127,"John Rollins",85,NA,NA,2,3,"LongestPutts",2011
130,131,"Bubba Watson",85,NA,NA,4,18,"LongestPutts",2011
134,135,"Bob Estes",34,NA,NA,1,15,"LongestPutts",2011
134,134,"Nathan Green",81,NA,NA,1,17,"LongestPutts",2011
