"Total1PuttsInside5_RANKTHISWEEK_2013","Total1PuttsInside5_RANKLASTWEEK_2013","Total1PuttsInside5_PLAYERNAME_2013","Total1PuttsInside5_ROUNDS_2013","Total1PuttsInside5_TOTAL_2013","Total1PuttsInside5_TOTALFORALLDISTANCES_2013","Total1PuttsInside5_PCTOFALL1PUTTS_2013","stat_name","year"
168,168,"Graeme McDowell",53,141,275,51.3,"Total1PuttsInside5",2013
170,170,"Aaron Watkins",46,140,251,55.8,"Total1PuttsInside5",2013
171,171,"Michael Bradley",56,137,269,50.9,"Total1PuttsInside5",2013
172,172,"DJ Trahan",48,136,253,53.8,"Total1PuttsInside5",2013
173,173,"Jim Herman",59,134,275,48.7,"Total1PuttsInside5",2013
174,174,"Martin Kaymer",61,132,273,48.4,"Total1PuttsInside5",2013
175,175,"Bobby Gates",49,129,252,51.2,"Total1PuttsInside5",2013
175,175,"Peter Hanson",45,129,261,49.4,"Total1PuttsInside5",2013
177,177,"Andrew Svoboda",46,122,233,52.4,"Total1PuttsInside5",2013
178,178,"David Toms",49,113,219,51.6,"Total1PuttsInside5",2013
179,179,"Eric Meierdierks",48,112,222,50.5,"Total1PuttsInside5",2013
180,180,"Nicolas Colsaerts",50,103,218,47.2,"Total1PuttsInside5",2013
