"TotalDriving_RANKTHISWEEK_2007","TotalDriving_RANKLASTWEEK_2007","TotalDriving_PLAYERNAME_2007","TotalDriving_EVENTS_2007","TotalDriving_TOTAL_2007","TotalDriving_DISTANCERANK_2007","TotalDriving_ACCURACYRANK_2007","stat_name","year"
117,117,"Frank Lickliter II",30,207,142,65,"TotalDriving",2007
119,119,"DJ Brigman",22,210,94,116,"TotalDriving",2007
119,119,"Ernie Els",16,210,31,179,"TotalDriving",2007
119,119,"Phil Mickelson",22,210,29,181,"TotalDriving",2007
122,122,"Bob Heintz",27,211,133,78,"TotalDriving",2007
123,123,"Luke Donald",20,212,177,35,"TotalDriving",2007
123,123,"Anders Hansen",17,212,164,48,"TotalDriving",2007
123,123,"Geoff Ogilvy",22,212,47,165,"TotalDriving",2007
123,123,"Kevin Sutherland",25,212,75,137,"TotalDriving",2007
127,127,"Jeff Quinney",29,213,155,58,"TotalDriving",2007
127,127,"Vijay Singh",27,213,58,155,"TotalDriving",2007
129,129,"Jesper Parnevik",27,214,99,115,"TotalDriving",2007
130,130,"Aaron Baddeley",23,215,69,146,"TotalDriving",2007
130,130,"Charles Howell III",26,215,20,195,"TotalDriving",2007
132,132,"Jonathan Byrd",23,216,67,149,"TotalDriving",2007
132,132,"Mark Hensby",25,216,115,101,"TotalDriving",2007
132,132,"Rocco Mediate",22,216,178,38,"TotalDriving",2007
135,135,"Brendon de Jonge",26,217,58,159,"TotalDriving",2007
135,135,"Johnson Wagner",33,217,129,88,"TotalDriving",2007
137,137,"Gavin Coles",28,218,195,23,"TotalDriving",2007
137,137,"Joe Ogilvie",31,218,91,127,"TotalDriving",2007
139,139,"Bob Estes",28,219,149,70,"TotalDriving",2007
140,140,"Stuart Appleby",24,220,80,140,"TotalDriving",2007
141,141,"Andrew Buckle",26,221,50,171,"TotalDriving",2007
141,141,"Daniel Chopra",34,221,32,189,"TotalDriving",2007
141,141,"Paul Goydos",19,221,192,29,"TotalDriving",2007
141,141,"Rod Pampling",25,221,119,102,"TotalDriving",2007
141,141,"Henrik Stenson",15,221,41,180,"TotalDriving",2007
146,146,"Kevin Na",27,222,109,113,"TotalDriving",2007
146,146,"Ryan Palmer",30,222,49,173,"TotalDriving",2007
148,148,"KJ Choi",25,223,144,79,"TotalDriving",2007
149,149,"Chad Campbell",28,225,115,110,"TotalDriving",2007
149,149,"Jason Dufner",32,225,90,135,"TotalDriving",2007
151,151,"Richard Johnson",32,226,160,66,"TotalDriving",2007
151,151,"Corey Pavin",25,226,196,30,"TotalDriving",2007
151,151,"David Toms",22,226,151,75,"TotalDriving",2007
154,154,"Woody Austin",27,227,122,105,"TotalDriving",2007
155,155,"Ben Curtis",25,228,185,43,"TotalDriving",2007
155,155,"Tom Lehman",19,228,137,91,"TotalDriving",2007
157,157,"Tim Herron",27,232,110,122,"TotalDriving",2007
158,158,"Stewart Cink",25,233,50,183,"TotalDriving",2007
159,159,"Padraig Harrington",18,234,60,174,"TotalDriving",2007
159,159,"Freddie Jacobson",20,234,135,99,"TotalDriving",2007
159,159,"Vaughn Taylor",28,234,147,87,"TotalDriving",2007
162,162,"Paul Gow",26,237,170,67,"TotalDriving",2007
163,163,"Marco Dawson",23,238,89,149,"TotalDriving",2007
164,164,"Brian Bateman",18,239,72,167,"TotalDriving",2007
164,164,"Sergio Garcia",19,239,55,184,"TotalDriving",2007
166,166,"Matt Kuchar",26,241,185,56,"TotalDriving",2007
167,167,"Craig Kanada",34,242,183,59,"TotalDriving",2007
168,168,"Stephen Leaney",26,243,182,61,"TotalDriving",2007
168,168,"Steve Stricker",23,243,146,97,"TotalDriving",2007
170,170,"Rory Sabbatini",23,250,88,162,"TotalDriving",2007
171,171,"Craig Lile",24,251,145,106,"TotalDriving",2007
172,172,"Arron Oberholser",21,252,129,123,"TotalDriving",2007
173,173,"Retief Goosen",14,254,62,192,"TotalDriving",2007
174,174,"Cliff Kresge",30,255,127,128,"TotalDriving",2007
175,175,"Carl Pettersson",31,256,99,157,"TotalDriving",2007
176,176,"Ian Poulter",18,258,151,107,"TotalDriving",2007
177,177,"Nathan Green",29,259,139,120,"TotalDriving",2007
178,178,"Tim Petrovic",32,262,119,143,"TotalDriving",2007
179,179,"Bryce Molder",21,267,76,191,"TotalDriving",2007
180,180,"Lee Janzen",24,268,105,163,"TotalDriving",2007
180,180,"Dicky Pride",25,268,156,112,"TotalDriving",2007
180,180,"Brett Quigley",25,268,82,186,"TotalDriving",2007
183,183,"Todd Hamilton",28,273,96,177,"TotalDriving",2007
184,184,"Dean Wilson",28,275,183,92,"TotalDriving",2007
185,185,"Billy Andrade",27,277,121,156,"TotalDriving",2007
185,185,"Parker McLachlin",28,277,99,178,"TotalDriving",2007
187,187,"Bob Tway",32,278,139,139,"TotalDriving",2007
188,188,"Brandt Snedeker",29,280,127,153,"TotalDriving",2007
189,189,"Nick OHern",22,286,175,111,"TotalDriving",2007
190,190,"Shigeki Maruyama",31,288,180,108,"TotalDriving",2007
191,191,"Eric Axley",36,293,106,187,"TotalDriving",2007
192,192,"Rich Barcelo",26,296,124,172,"TotalDriving",2007
193,193,"Ryuji Imada",32,315,149,166,"TotalDriving",2007
194,194,"Chris DiMarco",24,317,153,164,"TotalDriving",2007
195,195,"Jeff Sluman",21,325,168,157,"TotalDriving",2007
196,196,"Jose Maria Olazabal",16,382,188,194,"TotalDriving",2007
