"FedExCupPointsperEventLeaders_RANKTHISWEEK_2012","FedExCupPointsperEventLeaders_RANKLASTWEEK_2012","FedExCupPointsperEventLeaders_PLAYERNAME_2012","FedExCupPointsperEventLeaders_EVENTS_2012","FedExCupPointsperEventLeaders_POINTSPEREVENT_2012","FedExCupPointsperEventLeaders_TOTALPOINTS_2012","stat_name","year"
29,29,"Robert Garrigus",20,57.737,1154.739,"FedExCupPointsperEventLeaders",2012
30,30,"Scott Piercy",23,56.716,1304.472,"FedExCupPointsperEventLeaders",2012
31,31,"Martin Laird",19,51.39,976.412,"FedExCupPointsperEventLeaders",2012
32,32,"Johnson Wagner",23,51.359,1181.262,"FedExCupPointsperEventLeaders",2012
33,33,"Marc Leishman",20,50.134,1002.67,"FedExCupPointsperEventLeaders",2012
34,34,"Kyle Stanley",24,49.059,1177.423,"FedExCupPointsperEventLeaders",2012
35,35,"John Huh",23,48.809,1122.597,"FedExCupPointsperEventLeaders",2012
36,36,"John Senden",18,48.158,866.85,"FedExCupPointsperEventLeaders",2012
37,37,"Mark Wilson",21,46.952,986,"FedExCupPointsperEventLeaders",2012
38,38,"Ben Crane",19,44.675,848.833,"FedExCupPointsperEventLeaders",2012
39,39,"Tim Clark",16,44.199,707.179,"FedExCupPointsperEventLeaders",2012
40,40,"Padraig Harrington",15,43.054,645.813,"FedExCupPointsperEventLeaders",2012
41,41,"Charlie Wi",21,42.886,900.61,"FedExCupPointsperEventLeaders",2012
42,42,"Dicky Pride",14,41.875,586.25,"FedExCupPointsperEventLeaders",2012
43,43,"Kevin Na",21,41.259,866.442,"FedExCupPointsperEventLeaders",2012
44,44,"Charl Schwartzel",13,39.889,518.563,"FedExCupPointsperEventLeaders",2012
45,45,"Bud Cauley",23,39.2,901.611,"FedExCupPointsperEventLeaders",2012
46,46,"Ryan Palmer",19,39.189,744.583,"FedExCupPointsperEventLeaders",2012
47,47,"Jonathan Byrd",19,38.514,731.773,"FedExCupPointsperEventLeaders",2012
48,48,"Matt Every",19,37.446,711.48,"FedExCupPointsperEventLeaders",2012
49,49,"Brett Quigley",1,37,37,"FedExCupPointsperEventLeaders",2012
50,50,"Geoff Ogilvy",17,36.702,623.929,"FedExCupPointsperEventLeaders",2012
51,51,"David Toms",17,36.624,622.613,"FedExCupPointsperEventLeaders",2012
52,52,"John Rollins",21,34.877,732.413,"FedExCupPointsperEventLeaders",2012
53,53,"Nick Watney",21,34.566,725.876,"FedExCupPointsperEventLeaders",2012
54,54,"Sean OHair",19,33.908,644.25,"FedExCupPointsperEventLeaders",2012
55,55,"Corey Pavin",2,33.5,67,"FedExCupPointsperEventLeaders",2012
56,56,"Ryan Moore",19,33.436,635.289,"FedExCupPointsperEventLeaders",2012
57,57,"Aaron Baddeley",19,33.425,635.077,"FedExCupPointsperEventLeaders",2012
58,58,"Freddie Jacobson",15,33.347,500.2,"FedExCupPointsperEventLeaders",2012
59,59,"Jimmy Walker",23,33.175,763.033,"FedExCupPointsperEventLeaders",2012
60,60,"Seung Yul Noh",25,33.092,827.31,"FedExCupPointsperEventLeaders",2012
61,61,"Henrik Stenson",12,32.851,394.208,"FedExCupPointsperEventLeaders",2012
62,62,"Cameron Tringale",21,32.806,688.92,"FedExCupPointsperEventLeaders",2012
63,63,"Brendon de Jonge",25,32.589,814.725,"FedExCupPointsperEventLeaders",2012
64,64,"DA Points",22,32.466,714.25,"FedExCupPointsperEventLeaders",2012
65,65,"Jason Day",13,32.056,416.729,"FedExCupPointsperEventLeaders",2012
66,66,"Vijay Singh",21,31.85,668.855,"FedExCupPointsperEventLeaders",2012
67,67,"Brian Davis",23,31.631,727.512,"FedExCupPointsperEventLeaders",2012
68,68,"KJ Choi",19,31.416,596.91,"FedExCupPointsperEventLeaders",2012
69,69,"Jonas Blixt",15,31.366,470.483,"FedExCupPointsperEventLeaders",2012
70,70,"Ken Duke",25,31.04,776,"FedExCupPointsperEventLeaders",2012
71,71,"Ted Potter Jr",21,30.786,646.503,"FedExCupPointsperEventLeaders",2012
72,72,"Michael Thompson",21,30.179,633.75,"FedExCupPointsperEventLeaders",2012
73,73,"Pat Perez",20,30.167,603.333,"FedExCupPointsperEventLeaders",2012
74,74,"Davis Love III",15,29.543,443.14,"FedExCupPointsperEventLeaders",2012
75,75,"Kevin Stadler",21,29.522,619.96,"FedExCupPointsperEventLeaders",2012
76,76,"Spencer Levin",25,29.402,735.058,"FedExCupPointsperEventLeaders",2012
77,77,"Jeff Overton",23,28.981,666.573,"FedExCupPointsperEventLeaders",2012
78,78,"Charles Howell III",23,28.936,665.533,"FedExCupPointsperEventLeaders",2012
79,79,"George McNeill",21,28.52,598.93,"FedExCupPointsperEventLeaders",2012
80,80,"Jarrod Lyle",7,28.451,199.16,"FedExCupPointsperEventLeaders",2012
81,81,"JB Holmes",20,28.395,567.897,"FedExCupPointsperEventLeaders",2012
82,82,"Daniel Summerhays",20,28.371,567.41,"FedExCupPointsperEventLeaders",2012
83,83,"Retief Goosen",12,27.458,329.5,"FedExCupPointsperEventLeaders",2012
84,84,"JJ Henry",26,27.409,712.633,"FedExCupPointsperEventLeaders",2012
85,85,"Chris Kirk",21,27.356,574.48,"FedExCupPointsperEventLeaders",2012
86,86,"Charley Hoffman",23,27.311,628.143,"FedExCupPointsperEventLeaders",2012
87,87,"Fred Couples",4,26.95,107.8,"FedExCupPointsperEventLeaders",2012
88,88,"Tom Gillis",19,26.917,511.43,"FedExCupPointsperEventLeaders",2012
89,89,"Greg Chalmers",22,26.773,589,"FedExCupPointsperEventLeaders",2012
90,90,"Andres Romero",19,26.657,506.49,"FedExCupPointsperEventLeaders",2012
91,91,"Greg Owen",21,26.478,556.043,"FedExCupPointsperEventLeaders",2012
92,92,"Sangmoon Bae",23,26.268,604.173,"FedExCupPointsperEventLeaders",2012
93,93,"Rory Sabbatini",23,26.192,602.42,"FedExCupPointsperEventLeaders",2012
94,94,"Willie Wood",1,26,26,"FedExCupPointsperEventLeaders",2012
95,95,"John Merrick",22,25.986,571.69,"FedExCupPointsperEventLeaders",2012
96,96,"John Mallinger",21,25.873,543.333,"FedExCupPointsperEventLeaders",2012
97,97,"Troy Matteson",26,25.479,662.457,"FedExCupPointsperEventLeaders",2012
98,98,"Scott Stallings",22,25.159,553.5,"FedExCupPointsperEventLeaders",2012
99,99,"Harris English",22,24.951,548.92,"FedExCupPointsperEventLeaders",2012
100,100,"John Daly",12,24.823,297.87,"FedExCupPointsperEventLeaders",2012
101,101,"Bryce Molder",20,24.761,495.214,"FedExCupPointsperEventLeaders",2012
102,102,"Bob Estes",19,24.086,457.625,"FedExCupPointsperEventLeaders",2012
103,103,"William McGirt",25,24.083,602.063,"FedExCupPointsperEventLeaders",2012
104,104,"Chad Campbell",22,23.494,516.87,"FedExCupPointsperEventLeaders",2012
105,105,"Martin Flores",24,23.159,555.825,"FedExCupPointsperEventLeaders",2012
106,106,"Will Claxton",23,23.054,530.25,"FedExCupPointsperEventLeaders",2012
107,107,"Mark Calcavecchia",3,22.767,68.3,"FedExCupPointsperEventLeaders",2012
108,108,"Roberto Castro",21,22.726,477.25,"FedExCupPointsperEventLeaders",2012
109,109,"Blake Adams",27,22.185,599,"FedExCupPointsperEventLeaders",2012
110,110,"Graham DeLaet",20,22.054,441.082,"FedExCupPointsperEventLeaders",2012
111,111,"Ricky Barnes",23,21.258,488.94,"FedExCupPointsperEventLeaders",2012
112,112,"Chris Stroud",23,21.057,484.303,"FedExCupPointsperEventLeaders",2012
113,113,"Troy Kelly",19,20.741,394.07,"FedExCupPointsperEventLeaders",2012
114,114,"Billy Horschel",14,20.632,288.842,"FedExCupPointsperEventLeaders",2012
115,115,"Brian Harman",24,20.559,493.427,"FedExCupPointsperEventLeaders",2012
116,116,"Trevor Immelman",20,20.533,410.667,"FedExCupPointsperEventLeaders",2012
117,117,"Harrison Frazar",19,20.343,386.52,"FedExCupPointsperEventLeaders",2012
118,118,"Josh Teater",25,20.22,505.5,"FedExCupPointsperEventLeaders",2012
119,119,"Lee Janzen",11,19.909,219,"FedExCupPointsperEventLeaders",2012
120,120,"Jeff Maggert",22,19.674,432.833,"FedExCupPointsperEventLeaders",2012
121,121,"David Hearn",22,19.632,431.903,"FedExCupPointsperEventLeaders",2012
122,122,"Kevin Streelman",22,19.276,424.073,"FedExCupPointsperEventLeaders",2012
123,123,"Robert Allenby",22,18.968,417.29,"FedExCupPointsperEventLeaders",2012
124,124,"Rod Pampling",21,18.939,397.71,"FedExCupPointsperEventLeaders",2012
125,125,"Kevin Chappell",24,18.618,446.822,"FedExCupPointsperEventLeaders",2012
126,126,"Joe Durant",11,18.614,204.75,"FedExCupPointsperEventLeaders",2012
127,127,"James Driscoll",22,18.549,408.083,"FedExCupPointsperEventLeaders",2012
128,128,"Brian Gay",23,18.424,423.76,"FedExCupPointsperEventLeaders",2012
129,129,"Alex Cejka",9,18.417,165.75,"FedExCupPointsperEventLeaders",2012
130,130,"Robert Karlsson",13,18.351,238.563,"FedExCupPointsperEventLeaders",2012
131,131,"Gary Christian",23,18.341,421.84,"FedExCupPointsperEventLeaders",2012
132,132,"Jerry Kelly",21,18.316,384.64,"FedExCupPointsperEventLeaders",2012
133,133,"Len Mattiace",1,18.25,18.25,"FedExCupPointsperEventLeaders",2012
134,134,"Boo Weekley",20,18.242,364.845,"FedExCupPointsperEventLeaders",2012
135,135,"YE Yang",20,17.528,350.563,"FedExCupPointsperEventLeaders",2012
136,136,"Tommy Gainey",27,17.177,463.773,"FedExCupPointsperEventLeaders",2012
137,137,"Michael Allen",3,17.167,51.5,"FedExCupPointsperEventLeaders",2012
138,138,"Billy Mayfair",23,17.065,392.5,"FedExCupPointsperEventLeaders",2012
139,139,"Kenny Perry",5,16.9,84.5,"FedExCupPointsperEventLeaders",2012
140,140,"Gary Woodland",19,16.87,320.537,"FedExCupPointsperEventLeaders",2012
141,141,"Duffy Waldorf",10,16.823,168.23,"FedExCupPointsperEventLeaders",2012
142,142,"Brendan Steele",20,16.69,333.807,"FedExCupPointsperEventLeaders",2012
143,143,"Jhonattan Vegas",22,16.388,360.537,"FedExCupPointsperEventLeaders",2012
144,144,"Stewart Cink",19,16.313,309.952,"FedExCupPointsperEventLeaders",2012
145,145,"Colt Knost",24,16.232,389.56,"FedExCupPointsperEventLeaders",2012
146,146,"Jason Bohn",23,15.764,362.563,"FedExCupPointsperEventLeaders",2012
147,147,"Heath Slocum",24,15.2,364.79,"FedExCupPointsperEventLeaders",2012
148,148,"Tim Herron",23,14.733,338.85,"FedExCupPointsperEventLeaders",2012
149,149,"Chris Riley",10,14.425,144.25,"FedExCupPointsperEventLeaders",2012
150,150,"Stuart Appleby",20,14.349,286.98,"FedExCupPointsperEventLeaders",2012
151,151,"Chez Reavie",23,14.217,326.99,"FedExCupPointsperEventLeaders",2012
152,152,"Skip Kendall",5,14.2,71,"FedExCupPointsperEventLeaders",2012
153,153,"Vaughn Taylor",22,14.185,312.08,"FedExCupPointsperEventLeaders",2012
154,154,"Erik Compton",22,14.152,311.333,"FedExCupPointsperEventLeaders",2012
155,155,"Bill Lunde",21,14.023,294.485,"FedExCupPointsperEventLeaders",2012
156,156,"Todd Hamilton",8,13.802,110.417,"FedExCupPointsperEventLeaders",2012
157,157,"Nathan Green",18,13.606,244.91,"FedExCupPointsperEventLeaders",2012
158,158,"Brandt Jobe",18,13.602,244.827,"FedExCupPointsperEventLeaders",2012
159,159,"Kyle Reifers",23,13.516,310.87,"FedExCupPointsperEventLeaders",2012
160,160,"Bobby Gates",25,13.512,337.81,"FedExCupPointsperEventLeaders",2012
161,161,"Glen Day",3,13.25,39.75,"FedExCupPointsperEventLeaders",2012
162,162,"Richard Lee",20,13.113,262.25,"FedExCupPointsperEventLeaders",2012
163,163,"Kris Blanks",23,12.928,297.352,"FedExCupPointsperEventLeaders",2012
164,164,"David Mathis",25,12.889,322.215,"FedExCupPointsperEventLeaders",2012
165,165,"Guy Boros",2,12.75,25.5,"FedExCupPointsperEventLeaders",2012
166,166,"Camilo Villegas",21,12.71,266.9,"FedExCupPointsperEventLeaders",2012
167,167,"Chris DiMarco",25,12.641,316.013,"FedExCupPointsperEventLeaders",2012
168,168,"Tom Lehman",2,12.625,25.25,"FedExCupPointsperEventLeaders",2012
169,169,"Justin Leonard",22,12.605,277.3,"FedExCupPointsperEventLeaders",2012
170,170,"Rich Beem",9,12.567,113.1,"FedExCupPointsperEventLeaders",2012
171,171,"Kevin Kisner",20,12.395,247.896,"FedExCupPointsperEventLeaders",2012
172,172,"Charlie Beljan",18,12.327,221.885,"FedExCupPointsperEventLeaders",2012
173,173,"Fred Funk",4,11.688,46.75,"FedExCupPointsperEventLeaders",2012
174,174,"Chris Couch",21,11.503,241.56,"FedExCupPointsperEventLeaders",2012
175,175,"Nick OHern",22,11.363,249.983,"FedExCupPointsperEventLeaders",2012
176,176,"Brendon Todd",25,11.245,281.121,"FedExCupPointsperEventLeaders",2012
177,177,"Woody Austin",7,11.171,78.2,"FedExCupPointsperEventLeaders",2012
178,178,"Billy Hurley III",23,11.139,256.2,"FedExCupPointsperEventLeaders",2012
179,179,"Roland Thatcher",17,11.064,188.083,"FedExCupPointsperEventLeaders",2012
180,180,"Alexandre Rocha",17,10.747,182.7,"FedExCupPointsperEventLeaders",2012
181,181,"Paul Goydos",6,10.667,64,"FedExCupPointsperEventLeaders",2012
182,182,"Scott Brown",20,10.575,211.5,"FedExCupPointsperEventLeaders",2012
183,183,"DJ Trahan",23,10.558,242.84,"FedExCupPointsperEventLeaders",2012
184,184,"Hunter Haas",24,10.459,251.02,"FedExCupPointsperEventLeaders",2012
185,185,"Angel Cabrera",17,10.423,177.19,"FedExCupPointsperEventLeaders",2012
186,186,"Danny Lee",22,10.292,226.423,"FedExCupPointsperEventLeaders",2012
187,187,"Rocco Mediate",19,10.269,195.11,"FedExCupPointsperEventLeaders",2012
188,188,"Garth Mulroy",17,10.203,173.45,"FedExCupPointsperEventLeaders",2012
189,189,"Miguel Angel Carballo",21,10.148,213.1,"FedExCupPointsperEventLeaders",2012
190,190,"Mark Anderson",21,9.95,208.95,"FedExCupPointsperEventLeaders",2012
191,191,"JJ Killeen",29,9.861,285.97,"FedExCupPointsperEventLeaders",2012
192,192,"Gavin Coles",19,9.665,183.627,"FedExCupPointsperEventLeaders",2012
193,193,"Steve Lowery",1,9.25,9.25,"FedExCupPointsperEventLeaders",2012
194,194,"Marc Turnesa",9,9.222,83,"FedExCupPointsperEventLeaders",2012
195,195,"Will Ma Kenzie",6,9.083,54.5,"FedExCupPointsperEventLeaders",2012
196,196,"Steve Marino",6,9,54,"FedExCupPointsperEventLeaders",2012
197,197,"Matt Jones",16,8.936,142.975,"FedExCupPointsperEventLeaders",2012
198,198,"Michael Bradley",20,8.654,173.07,"FedExCupPointsperEventLeaders",2012
199,199,"Russell Knox",19,8.649,164.327,"FedExCupPointsperEventLeaders",2012
200,200,"Stephen Ames",17,8.368,142.25,"FedExCupPointsperEventLeaders",2012
201,201,"Shaun Micheel",12,8.354,100.25,"FedExCupPointsperEventLeaders",2012
202,202,"Arjun Atwal",23,7.87,181.02,"FedExCupPointsperEventLeaders",2012
203,203,"Richard Johnson",7,7.75,54.25,"FedExCupPointsperEventLeaders",2012
203,203,"Gene Sauers",2,7.75,15.5,"FedExCupPointsperEventLeaders",2012
205,205,"Derek Lamely",21,7.619,159.992,"FedExCupPointsperEventLeaders",2012
206,206,"Tom Pernice Jr",19,7.308,138.857,"FedExCupPointsperEventLeaders",2012
207,207,"Jason Kokrak",23,7.168,164.873,"FedExCupPointsperEventLeaders",2012
208,208,"Kent Jones",7,7.106,49.742,"FedExCupPointsperEventLeaders",2012
209,209,"Briny Baird",13,7.077,92,"FedExCupPointsperEventLeaders",2012
210,210,"Frank Lickliter II",8,7.05,56.4,"FedExCupPointsperEventLeaders",2012
211,211,"Cameron Beckman",22,6.989,153.75,"FedExCupPointsperEventLeaders",2012
212,212,"Paul Stankowski",7,6.893,48.25,"FedExCupPointsperEventLeaders",2012
213,213,"Matt Bettencourt",27,6.544,176.69,"FedExCupPointsperEventLeaders",2012
214,214,"Patrick Sheehan",17,6.327,107.56,"FedExCupPointsperEventLeaders",2012
215,215,"Bart Bryant",3,6.047,18.14,"FedExCupPointsperEventLeaders",2012
216,216,"Jamie Lovemark",16,5.963,95.413,"FedExCupPointsperEventLeaders",2012
217,217,"Garrett Willis",12,5.792,69.5,"FedExCupPointsperEventLeaders",2012
218,218,"Joe Ogilvie",17,5.761,97.93,"FedExCupPointsperEventLeaders",2012
219,219,"Tim Petrovic",14,5.576,78.06,"FedExCupPointsperEventLeaders",2012
220,220,"Sung Kang",27,5.414,146.19,"FedExCupPointsperEventLeaders",2012
221,221,"Mathew Goggin",19,5.412,102.83,"FedExCupPointsperEventLeaders",2012
222,222,"Steve Wheatcroft",18,5.101,91.81,"FedExCupPointsperEventLeaders",2012
223,223,"Brett Wetterich",7,4.964,34.75,"FedExCupPointsperEventLeaders",2012
224,224,"Steven Bowditch",15,4.8,72,"FedExCupPointsperEventLeaders",2012
225,225,"Scott Dunlap",16,4.785,76.56,"FedExCupPointsperEventLeaders",2012
226,226,"Ryuji Imada",24,4.727,113.442,"FedExCupPointsperEventLeaders",2012
227,227,"Shane Bertsch",13,4.692,61,"FedExCupPointsperEventLeaders",2012
228,228,"Robert Damron",7,4.321,30.25,"FedExCupPointsperEventLeaders",2012
229,229,"Daniel Chopra",17,4.088,69.5,"FedExCupPointsperEventLeaders",2012
230,230,"Anthony Kim",10,3.2,32,"FedExCupPointsperEventLeaders",2012
231,231,"Tommy Biershenk",23,3.171,72.93,"FedExCupPointsperEventLeaders",2012
232,232,"Eric Axley",3,3.083,9.25,"FedExCupPointsperEventLeaders",2012
232,232,"Mark Brooks",3,3.083,9.25,"FedExCupPointsperEventLeaders",2012
234,234,"Lucas Glover",16,2.952,47.23,"FedExCupPointsperEventLeaders",2012
235,235,"Craig Barlow",6,2.917,17.5,"FedExCupPointsperEventLeaders",2012
236,236,"Jason Gore",8,2.844,22.75,"FedExCupPointsperEventLeaders",2012
237,237,"Marco Dawson",18,2.399,43.18,"FedExCupPointsperEventLeaders",2012
238,238,"Kyle Thompson",19,2.289,43.5,"FedExCupPointsperEventLeaders",2012
239,239,"Edward Loar",19,2.245,42.66,"FedExCupPointsperEventLeaders",2012
240,240,"Scott Verplank",8,2.178,17.42,"FedExCupPointsperEventLeaders",2012
241,241,"Ted Purdy",4,2.17,8.68,"FedExCupPointsperEventLeaders",2012
242,242,"Paul Casey",9,2.156,19.4,"FedExCupPointsperEventLeaders",2012
243,243,"Fran Quinn",5,1.2,6,"FedExCupPointsperEventLeaders",2012
244,244,"Robert Gamez",8,1.139,9.11,"FedExCupPointsperEventLeaders",2012
245,245,"Hank Kuehne",9,1.111,10,"FedExCupPointsperEventLeaders",2012
246,246,"David Duval",17,0.912,15.5,"FedExCupPointsperEventLeaders",2012
247,247,"Jose Maria Olazabal",5,0.734,3.67,"FedExCupPointsperEventLeaders",2012
248,248,"Omar Uresti",4,0.651,2.603,"FedExCupPointsperEventLeaders",2012
249,249,"Zack Miller",9,0.587,5.28,"FedExCupPointsperEventLeaders",2012
250,250,"Tom Watson",3,0.583,1.75,"FedExCupPointsperEventLeaders",2012
251,251,"Peter Lonard",4,0.5,2,"FedExCupPointsperEventLeaders",2012
252,252,"Kevin Sutherland",4,0.478,1.91,"FedExCupPointsperEventLeaders",2012
253,253,"Jesper Parnevik",3,0.293,0.88,"FedExCupPointsperEventLeaders",2012
254,254,"Neal Lancaster",8,0.229,1.83,"FedExCupPointsperEventLeaders",2012
255,255,"Matt McQuillan",10,0.184,1.84,"FedExCupPointsperEventLeaders",2012
256,256,"Stephen Gangluff",19,0.183,3.47,"FedExCupPointsperEventLeaders",2012
257,257,"Kirk Triplett",3,0.155,0.465,"FedExCupPointsperEventLeaders",2012
