"FirstTeeLateScoringAverage_RANKTHISWEEK_2015","FirstTeeLateScoringAverage_RANKLASTWEEK_2015","FirstTeeLateScoringAverage_PLAYERNAME_2015","FirstTeeLateScoringAverage_ROUNDS_2015","FirstTeeLateScoringAverage_AVG_2015","FirstTeeLateScoringAverage_TOTALSTROKES_2015","FirstTeeLateScoringAverage_TOTAL1STTEELATEROUNDS_2015","stat_name","year"
29,29,"Daniel Berger",97,69.97,2309,33,"FirstTeeLateScoringAverage",2015
29,29,"Harris English",105,69.97,2449,35,"FirstTeeLateScoringAverage",2015
31,31,"Webb Simpson",81,70,2100,30,"FirstTeeLateScoringAverage",2015
31,31,"Mark Wilson",89,70,1260,18,"FirstTeeLateScoringAverage",2015
33,33,"Ryan Palmer",80,70.04,1821,26,"FirstTeeLateScoringAverage",2015
34,34,"Greg Chalmers",58,70.08,841,12,"FirstTeeLateScoringAverage",2015
35,35,"Bill Haas",89,70.09,2243,32,"FirstTeeLateScoringAverage",2015
36,36,"Brooks Koepka",84,70.1,2804,40,"FirstTeeLateScoringAverage",2015
37,37,"Jim Furyk",71,70.11,2454,35,"FirstTeeLateScoringAverage",2015
37,37,"Ryo Ishikawa",90,70.11,1893,27,"FirstTeeLateScoringAverage",2015
39,39,"Danny Lee",120,70.14,3016,43,"FirstTeeLateScoringAverage",2015
40,40,"Rickie Fowler",76,70.17,2526,36,"FirstTeeLateScoringAverage",2015
41,41,"Chad Collins",79,70.2,1404,20,"FirstTeeLateScoringAverage",2015
41,41,"Henrik Stenson",63,70.2,2457,35,"FirstTeeLateScoringAverage",2015
43,43,"Oscar Fraustro",58,70.21,983,14,"FirstTeeLateScoringAverage",2015
43,43,"Cameron Tringale",96,70.21,2949,42,"FirstTeeLateScoringAverage",2015
45,45,"Brice Garnett",81,70.22,1264,18,"FirstTeeLateScoringAverage",2015
45,45,"David Hearn",97,70.22,1896,27,"FirstTeeLateScoringAverage",2015
45,45,"Vijay Singh",78,70.22,1264,18,"FirstTeeLateScoringAverage",2015
48,48,"Fabian Gomez",83,70.24,1475,21,"FirstTeeLateScoringAverage",2015
48,48,"Matt Kuchar",97,70.24,3442,49,"FirstTeeLateScoringAverage",2015
50,50,"Jonathan Randolph",72,70.25,1686,24,"FirstTeeLateScoringAverage",2015
51,51,"Jason Gore",76,70.26,1335,19,"FirstTeeLateScoringAverage",2015
52,52,"Rory Sabbatini",81,70.27,1546,22,"FirstTeeLateScoringAverage",2015
53,53,"Whee Kim",71,70.29,1195,17,"FirstTeeLateScoringAverage",2015
54,54,"Brian Stuard",97,70.3,1406,20,"FirstTeeLateScoringAverage",2015
55,55,"Jason Kokrak",88,70.31,1828,26,"FirstTeeLateScoringAverage",2015
56,56,"Alex Cejka",94,70.32,1969,28,"FirstTeeLateScoringAverage",2015
56,56,"Carl Pettersson",106,70.32,1969,28,"FirstTeeLateScoringAverage",2015
56,56,"Michael Thompson",83,70.32,1547,22,"FirstTeeLateScoringAverage",2015
56,56,"David Toms",62,70.32,1547,22,"FirstTeeLateScoringAverage",2015
60,60,"Jerry Kelly",79,70.33,1688,24,"FirstTeeLateScoringAverage",2015
60,60,"Marc Leishman",74,70.33,1688,24,"FirstTeeLateScoringAverage",2015
60,60,"Patrick Rodgers",57,70.33,1477,21,"FirstTeeLateScoringAverage",2015
63,63,"Cameron Percy",72,70.36,1759,25,"FirstTeeLateScoringAverage",2015
63,63,"Johnson Wagner",68,70.36,1970,28,"FirstTeeLateScoringAverage",2015
65,65,"Steven Alker",62,70.38,1126,16,"FirstTeeLateScoringAverage",2015
65,65,"Jimmy Walker",89,70.38,2604,37,"FirstTeeLateScoringAverage",2015
65,65,"Nick Watney",91,70.38,2041,29,"FirstTeeLateScoringAverage",2015
68,68,"Pat Perez",96,70.42,1690,24,"FirstTeeLateScoringAverage",2015
69,69,"Jonathan Byrd",69,70.43,1620,23,"FirstTeeLateScoringAverage",2015
69,69,"Stewart Cink",77,70.43,1620,23,"FirstTeeLateScoringAverage",2015
69,69,"Brendon de Jonge",106,70.43,2606,37,"FirstTeeLateScoringAverage",2015
69,69,"Russell Henley",87,70.43,1972,28,"FirstTeeLateScoringAverage",2015
73,73,"Dustin Johnson",75,70.45,2818,40,"FirstTeeLateScoringAverage",2015
73,73,"John Peterson",84,70.45,1409,20,"FirstTeeLateScoringAverage",2015
75,75,"Ken Duke",93,70.47,1198,17,"FirstTeeLateScoringAverage",2015
76,76,"Patrick Reed",103,70.49,3736,53,"FirstTeeLateScoringAverage",2015
76,76,"Hudson Swafford",97,70.49,2467,35,"FirstTeeLateScoringAverage",2015
78,78,"Scott Brown",97,70.5,1551,22,"FirstTeeLateScoringAverage",2015
79,79,"William McGirt",103,70.54,1975,28,"FirstTeeLateScoringAverage",2015
80,80,"Adam Hadwin",95,70.55,1552,22,"FirstTeeLateScoringAverage",2015
80,80,"Ian Poulter",68,70.55,2328,33,"FirstTeeLateScoringAverage",2015
82,82,"Steven Bowditch",103,70.56,1905,27,"FirstTeeLateScoringAverage",2015
83,83,"Sean OHair",86,70.58,2188,31,"FirstTeeLateScoringAverage",2015
83,83,"Daniel Summerhays",101,70.58,2188,31,"FirstTeeLateScoringAverage",2015
85,85,"Alex Prugh",84,70.59,1200,17,"FirstTeeLateScoringAverage",2015
86,86,"Aaron Baddeley",76,70.6,1059,15,"FirstTeeLateScoringAverage",2015
87,87,"Jim Herman",88,70.61,1977,28,"FirstTeeLateScoringAverage",2015
88,88,"Hunter Mahan",88,70.63,1907,27,"FirstTeeLateScoringAverage",2015
89,89,"Sangmoon Bae",98,70.64,1766,25,"FirstTeeLateScoringAverage",2015
90,90,"Colt Knost",90,70.67,1696,24,"FirstTeeLateScoringAverage",2015
90,90,"Kevin Na",98,70.67,2756,39,"FirstTeeLateScoringAverage",2015
90,90,"Brendan Steele",88,70.67,1908,27,"FirstTeeLateScoringAverage",2015
93,93,"John Senden",80,70.68,1343,19,"FirstTeeLateScoringAverage",2015
94,94,"Troy Merritt",91,70.69,2050,29,"FirstTeeLateScoringAverage",2015
94,94,"Brendon Todd",96,70.69,2050,29,"FirstTeeLateScoringAverage",2015
96,96,"Robert Allenby",63,70.71,990,14,"FirstTeeLateScoringAverage",2015
96,96,"Chad Campbell",97,70.71,2192,31,"FirstTeeLateScoringAverage",2015
98,98,"John Huh",102,70.73,1061,15,"FirstTeeLateScoringAverage",2015
99,99,"Keegan Bradley",87,70.74,2193,31,"FirstTeeLateScoringAverage",2015
100,100,"Luke Donald",71,70.78,1911,27,"FirstTeeLateScoringAverage",2015
101,101,"Luke Guthrie",84,70.79,1345,19,"FirstTeeLateScoringAverage",2015
101,101,"David Lingmerth",90,70.79,1982,28,"FirstTeeLateScoringAverage",2015
101,101,"Ryan Moore",81,70.79,2053,29,"FirstTeeLateScoringAverage",2015
104,104,"Heath Slocum",57,70.82,779,11,"FirstTeeLateScoringAverage",2015
105,105,"Ben Martin",93,70.83,2054,29,"FirstTeeLateScoringAverage",2015
105,105,"Andrew Svoboda",80,70.83,1275,18,"FirstTeeLateScoringAverage",2015
107,107,"Spencer Levin",99,70.86,2055,29,"FirstTeeLateScoringAverage",2015
107,107,"DA Points",72,70.86,496,7,"FirstTeeLateScoringAverage",2015
109,109,"Phil Mickelson",70,70.87,2126,30,"FirstTeeLateScoringAverage",2015
110,110,"Davis Love III",51,70.88,1205,17,"FirstTeeLateScoringAverage",2015
111,111,"Scott Pinckney",88,70.89,1985,28,"FirstTeeLateScoringAverage",2015
112,112,"Ricky Barnes",82,70.91,1560,22,"FirstTeeLateScoringAverage",2015
112,112,"Chris Kirk",76,70.91,1560,22,"FirstTeeLateScoringAverage",2015
114,114,"Bo Van Pelt",81,70.92,1702,24,"FirstTeeLateScoringAverage",2015
115,115,"Sam Saunders",83,70.93,1986,28,"FirstTeeLateScoringAverage",2015
116,116,"Mark Hubbard",79,70.95,1490,21,"FirstTeeLateScoringAverage",2015
116,116,"SJ Park",79,70.95,1419,20,"FirstTeeLateScoringAverage",2015
118,118,"James Hahn",94,70.96,1774,25,"FirstTeeLateScoringAverage",2015
118,118,"Adam Scott",51,70.96,1916,27,"FirstTeeLateScoringAverage",2015
120,120,"Robert Garrigus",70,71,1136,16,"FirstTeeLateScoringAverage",2015
120,120,"Martin Laird",77,71,1704,24,"FirstTeeLateScoringAverage",2015
120,120,"Carlos Ortiz",100,71,1988,28,"FirstTeeLateScoringAverage",2015
120,120,"Nick Taylor",91,71,1633,23,"FirstTeeLateScoringAverage",2015
120,120,"Camilo Villegas",83,71,1562,22,"FirstTeeLateScoringAverage",2015
120,120,"Steve Wheatcroft",87,71,1420,20,"FirstTeeLateScoringAverage",2015
120,120,"Gary Woodland",81,71,994,14,"FirstTeeLateScoringAverage",2015
127,127,"Charley Hoffman",97,71.03,2060,29,"FirstTeeLateScoringAverage",2015
127,127,"Morgan Hoffmann",85,71.03,2060,29,"FirstTeeLateScoringAverage",2015
129,129,"Scott Langley",94,71.05,1421,20,"FirstTeeLateScoringAverage",2015
129,129,"John Merrick",78,71.05,1492,21,"FirstTeeLateScoringAverage",2015
131,131,"Kyle Reifers",96,71.14,996,14,"FirstTeeLateScoringAverage",2015
132,132,"Charlie Beljan",76,71.15,925,13,"FirstTeeLateScoringAverage",2015
132,132,"Billy Horschel",99,71.15,2846,40,"FirstTeeLateScoringAverage",2015
134,134,"Blayne Barber",76,71.22,1282,18,"FirstTeeLateScoringAverage",2015
135,135,"Graham DeLaet",65,71.23,1567,22,"FirstTeeLateScoringAverage",2015
135,135,"Tyrone Van Aswegen",58,71.23,926,13,"FirstTeeLateScoringAverage",2015
137,137,"Charl Schwartzel",67,71.26,1639,23,"FirstTeeLateScoringAverage",2015
138,138,"JB Holmes",89,71.27,2352,33,"FirstTeeLateScoringAverage",2015
139,139,"Eric Axley",57,71.28,1283,18,"FirstTeeLateScoringAverage",2015
139,139,"Kevin Chappell",86,71.28,2067,29,"FirstTeeLateScoringAverage",2015
139,139,"Brian Harman",90,71.28,2067,29,"FirstTeeLateScoringAverage",2015
142,142,"Erik Compton",86,71.3,2139,30,"FirstTeeLateScoringAverage",2015
143,143,"Martin Flores",95,71.32,1783,25,"FirstTeeLateScoringAverage",2015
144,144,"Bill Lunde",50,71.33,856,12,"FirstTeeLateScoringAverage",2015
145,145,"Jeff Overton",94,71.34,2497,35,"FirstTeeLateScoringAverage",2015
146,146,"Jason Dufner",76,71.36,1784,25,"FirstTeeLateScoringAverage",2015
146,146,"Derek Fathauer",81,71.36,1570,22,"FirstTeeLateScoringAverage",2015
148,148,"Jonas Blixt",78,71.37,1927,27,"FirstTeeLateScoringAverage",2015
149,149,"Kevin Streelman",95,71.38,1499,21,"FirstTeeLateScoringAverage",2015
150,150,"Charles Howell III",105,71.39,2213,31,"FirstTeeLateScoringAverage",2015
151,151,"Lee Westwood",56,71.41,1214,17,"FirstTeeLateScoringAverage",2015
152,152,"Justin Leonard",61,71.42,1357,19,"FirstTeeLateScoringAverage",2015
153,153,"JJ Henry",94,71.43,1643,23,"FirstTeeLateScoringAverage",2015
154,154,"Chesson Hadley",101,71.45,1429,20,"FirstTeeLateScoringAverage",2015
154,154,"Geoff Ogilvy",50,71.45,786,11,"FirstTeeLateScoringAverage",2015
156,156,"Francesco Molinari",56,71.47,1358,19,"FirstTeeLateScoringAverage",2015
157,157,"Padraig Harrington",60,71.5,1144,16,"FirstTeeLateScoringAverage",2015
157,157,"Scott Stallings",60,71.5,715,10,"FirstTeeLateScoringAverage",2015
159,159,"Andrew Putnam",68,71.53,1359,19,"FirstTeeLateScoringAverage",2015
159,159,"Jim Renner",68,71.53,1216,17,"FirstTeeLateScoringAverage",2015
161,161,"Derek Ernst",75,71.56,1145,16,"FirstTeeLateScoringAverage",2015
161,161,"Matt Jones",89,71.56,1932,27,"FirstTeeLateScoringAverage",2015
163,163,"Jamie Donaldson",50,71.58,859,12,"FirstTeeLateScoringAverage",2015
163,163,"Nicholas Thompson",90,71.58,1718,24,"FirstTeeLateScoringAverage",2015
165,165,"Seung Yul Noh",65,71.59,1217,17,"FirstTeeLateScoringAverage",2015
166,166,"KJ Choi",66,71.6,1074,15,"FirstTeeLateScoringAverage",2015
166,166,"Michael Putnam",87,71.6,1432,20,"FirstTeeLateScoringAverage",2015
168,168,"Matt Every",73,71.62,931,13,"FirstTeeLateScoringAverage",2015
169,169,"Max Homa",78,71.63,1719,24,"FirstTeeLateScoringAverage",2015
170,170,"Retief Goosen",81,71.67,1290,18,"FirstTeeLateScoringAverage",2015
171,171,"Andres Romero",69,71.75,1722,24,"FirstTeeLateScoringAverage",2015
172,172,"Billy Hurley III",83,71.76,1507,21,"FirstTeeLateScoringAverage",2015
173,173,"Roger Sloan",56,71.81,1149,16,"FirstTeeLateScoringAverage",2015
173,173,"Jhonattan Vegas",90,71.81,1508,21,"FirstTeeLateScoringAverage",2015
175,175,"Ernie Els",57,71.88,1725,24,"FirstTeeLateScoringAverage",2015
176,176,"Angel Cabrera",53,72.06,1153,16,"FirstTeeLateScoringAverage",2015
177,177,"Lucas Glover",79,72.07,1009,14,"FirstTeeLateScoringAverage",2015
178,178,"Roberto Castro",54,72.08,865,12,"FirstTeeLateScoringAverage",2015
179,179,"Brian Davis",86,72.16,1371,19,"FirstTeeLateScoringAverage",2015
180,180,"Andres Gonzales",90,72.2,1444,20,"FirstTeeLateScoringAverage",2015
181,181,"Chez Reavie",56,72.25,1156,16,"FirstTeeLateScoringAverage",2015
182,182,"Gonzalo Fdez Castano",81,72.41,1593,22,"FirstTeeLateScoringAverage",2015
183,183,"Tim Wilkinson",73,72.53,1088,15,"FirstTeeLateScoringAverage",2015
184,184,"Ben Crane",62,72.79,1019,14,"FirstTeeLateScoringAverage",2015
