"OverallPuttingAverage_RANKTHISWEEK_2007","OverallPuttingAverage_RANKLASTWEEK_2007","OverallPuttingAverage_PLAYERNAME_2007","OverallPuttingAverage_ROUNDS_2007","OverallPuttingAverage_AVG_2007","OverallPuttingAverage_OFPUTTS_2007","OverallPuttingAverage_OFHOLES_2007","stat_name","year"
54,54,"Darron Stiles",65,1.568,1834,1170,"OverallPuttingAverage",2007
56,56,"Aaron Baddeley",83,1.57,2261,1440,"OverallPuttingAverage",2007
57,57,"Daisuke Maruyama",86,1.571,2432,1548,"OverallPuttingAverage",2007
57,57,"Charlie Wi",90,1.571,2545,1620,"OverallPuttingAverage",2007
59,59,"Ryan Armour",107,1.572,3027,1926,"OverallPuttingAverage",2007
60,60,"Craig Bowden",78,1.573,2208,1404,"OverallPuttingAverage",2007
60,60,"Padraig Harrington",64,1.573,1756,1116,"OverallPuttingAverage",2007
60,60,"Steve Marino",106,1.573,3001,1908,"OverallPuttingAverage",2007
60,60,"Jim Rutledge",59,1.573,1671,1062,"OverallPuttingAverage",2007
64,64,"Rory Sabbatini",81,1.575,2240,1422,"OverallPuttingAverage",2007
65,65,"Robert Gamez",88,1.576,2496,1584,"OverallPuttingAverage",2007
66,66,"Tommy Armour III",81,1.577,2299,1458,"OverallPuttingAverage",2007
66,66,"Jeff Overton",60,1.577,1703,1080,"OverallPuttingAverage",2007
68,68,"Bill Haas",93,1.579,2643,1674,"OverallPuttingAverage",2007
69,69,"Jonathan Byrd",73,1.581,2078,1314,"OverallPuttingAverage",2007
70,70,"Andrew Buckle",77,1.582,2192,1386,"OverallPuttingAverage",2007
71,71,"Chris Stroud",66,1.583,1881,1188,"OverallPuttingAverage",2007
72,72,"Freddie Jacobson",70,1.585,1997,1260,"OverallPuttingAverage",2007
73,73,"Boo Weekley",101,1.586,2884,1818,"OverallPuttingAverage",2007
74,74,"Cameron Beckman",96,1.587,2742,1728,"OverallPuttingAverage",2007
75,75,"Alex Cejka",80,1.589,2288,1440,"OverallPuttingAverage",2007
76,76,"Sergio Garcia",68,1.59,1889,1188,"OverallPuttingAverage",2007
77,77,"Jeff Brehaut",59,1.591,1690,1062,"OverallPuttingAverage",2007
77,77,"Tim Petrovic",106,1.591,3035,1908,"OverallPuttingAverage",2007
77,77,"Steve Stricker",81,1.591,2291,1440,"OverallPuttingAverage",2007
80,80,"Lee Janzen",66,1.592,1891,1188,"OverallPuttingAverage",2007
80,80,"Jaco Van Zyl",51,1.592,1461,918,"OverallPuttingAverage",2007
82,82,"Ted Purdy",102,1.593,2925,1836,"OverallPuttingAverage",2007
82,82,"Scott Verplank",82,1.593,2322,1458,"OverallPuttingAverage",2007
84,84,"Tom Johnson",74,1.595,2124,1332,"OverallPuttingAverage",2007
84,84,"Zach Johnson",76,1.595,2153,1350,"OverallPuttingAverage",2007
86,86,"Daniel Chopra",106,1.596,3046,1908,"OverallPuttingAverage",2007
87,87,"John Merrick",92,1.599,2648,1656,"OverallPuttingAverage",2007
88,88,"Tom Byrum",50,1.6,1440,900,"OverallPuttingAverage",2007
88,88,"Bob Estes",88,1.6,2535,1584,"OverallPuttingAverage",2007
88,88,"Phil Mickelson",73,1.6,2045,1278,"OverallPuttingAverage",2007
88,88,"Arron Oberholser",69,1.6,1959,1224,"OverallPuttingAverage",2007
92,92,"Briny Baird",115,1.601,3314,2070,"OverallPuttingAverage",2007
92,92,"Paul Goydos",60,1.601,1700,1062,"OverallPuttingAverage",2007
92,92,"Geoff Ogilvy",84,1.601,2248,1404,"OverallPuttingAverage",2007
92,92,"Tom Pernice Jr",104,1.601,2998,1872,"OverallPuttingAverage",2007
92,92,"Heath Slocum",101,1.601,2911,1818,"OverallPuttingAverage",2007
97,97,"KJ Choi",87,1.602,2451,1530,"OverallPuttingAverage",2007
97,97,"David Toms",80,1.602,2220,1386,"OverallPuttingAverage",2007
99,99,"Harrison Frazar",88,1.604,2541,1584,"OverallPuttingAverage",2007
100,100,"Mark Hensby",81,1.605,2340,1458,"OverallPuttingAverage",2007
100,100,"Ian Poulter",63,1.605,1733,1080,"OverallPuttingAverage",2007
100,100,"Michael Sim",52,1.605,1502,936,"OverallPuttingAverage",2007
103,103,"Richard Johnson",93,1.606,2689,1674,"OverallPuttingAverage",2007
103,103,"John Mallinger",96,1.606,2776,1728,"OverallPuttingAverage",2007
103,103,"Corey Pavin",81,1.606,2342,1458,"OverallPuttingAverage",2007
106,106,"Charley Hoffman",97,1.607,2805,1746,"OverallPuttingAverage",2007
106,106,"JB Holmes",71,1.607,2054,1278,"OverallPuttingAverage",2007
106,106,"Justin Rose",63,1.607,1707,1062,"OverallPuttingAverage",2007
106,106,"Tiger Woods",63,1.607,1736,1080,"OverallPuttingAverage",2007
110,110,"Ernie Els",59,1.608,1679,1044,"OverallPuttingAverage",2007
110,110,"Matt Hendrix",63,1.608,1823,1134,"OverallPuttingAverage",2007
110,110,"Mike Weir",82,1.608,2344,1458,"OverallPuttingAverage",2007
113,113,"JP Hayes",89,1.609,2577,1602,"OverallPuttingAverage",2007
113,113,"John Rollins",102,1.609,2926,1818,"OverallPuttingAverage",2007
113,113,"Jay Williamson",50,1.609,1448,900,"OverallPuttingAverage",2007
113,113,"Dean Wilson",92,1.609,2664,1656,"OverallPuttingAverage",2007
117,117,"Retief Goosen",50,1.611,1392,864,"OverallPuttingAverage",2007
117,117,"Michael Putnam",96,1.611,2783,1728,"OverallPuttingAverage",2007
119,119,"Ken Duke",112,1.612,3249,2016,"OverallPuttingAverage",2007
119,119,"Cliff Kresge",107,1.612,3104,1926,"OverallPuttingAverage",2007
121,121,"Chris DiMarco",79,1.613,2236,1386,"OverallPuttingAverage",2007
121,121,"Luke Donald",69,1.613,1945,1206,"OverallPuttingAverage",2007
121,121,"Bo Van Pelt",104,1.613,3019,1872,"OverallPuttingAverage",2007
124,124,"Brian Davis",101,1.614,2934,1818,"OverallPuttingAverage",2007
124,124,"Rocco Mediate",72,1.614,2092,1296,"OverallPuttingAverage",2007
124,124,"Vijay Singh",102,1.614,2905,1800,"OverallPuttingAverage",2007
127,127,"Eric Axley",107,1.616,3112,1926,"OverallPuttingAverage",2007
128,128,"Carl Pettersson",111,1.617,3201,1980,"OverallPuttingAverage",2007
129,129,"Stuart Appleby",74,1.618,2126,1314,"OverallPuttingAverage",2007
129,129,"Todd Hamilton",76,1.618,2214,1368,"OverallPuttingAverage",2007
129,129,"Justin Leonard",95,1.618,2767,1710,"OverallPuttingAverage",2007
129,129,"Nick OHern",72,1.618,1981,1224,"OverallPuttingAverage",2007
133,133,"Lucas Glover",98,1.619,2827,1746,"OverallPuttingAverage",2007
133,133,"Kevin Stadler",95,1.619,2769,1710,"OverallPuttingAverage",2007
135,135,"Ryan Moore",92,1.62,2682,1656,"OverallPuttingAverage",2007
135,135,"Jeff Quinney",95,1.62,2770,1710,"OverallPuttingAverage",2007
137,137,"Stewart Cink",91,1.621,2568,1584,"OverallPuttingAverage",2007
137,137,"Ryan Palmer",91,1.621,2656,1638,"OverallPuttingAverage",2007
139,139,"Woody Austin",95,1.622,2773,1710,"OverallPuttingAverage",2007
139,139,"Mathias Gronberg",95,1.622,2774,1710,"OverallPuttingAverage",2007
139,139,"Anthony Kim",93,1.622,2715,1674,"OverallPuttingAverage",2007
139,139,"Kyle Reifers",71,1.622,2073,1278,"OverallPuttingAverage",2007
143,143,"Bart Bryant",87,1.625,2515,1548,"OverallPuttingAverage",2007
144,144,"Stephen Ames",81,1.627,2226,1368,"OverallPuttingAverage",2007
144,144,"Frank Lickliter II",95,1.627,2783,1710,"OverallPuttingAverage",2007
146,146,"Henrik Stenson",52,1.629,1349,828,"OverallPuttingAverage",2007
147,147,"Adam Scott",69,1.63,1995,1224,"OverallPuttingAverage",2007
148,148,"Jeff Maggert",79,1.632,2321,1422,"OverallPuttingAverage",2007
148,148,"Camilo Villegas",82,1.632,2409,1476,"OverallPuttingAverage",2007
150,150,"Troy Matteson",87,1.633,2557,1566,"OverallPuttingAverage",2007
150,150,"Sean OHair",98,1.633,2881,1764,"OverallPuttingAverage",2007
152,152,"Steve Flesch",100,1.634,2942,1800,"OverallPuttingAverage",2007
152,152,"Jason Gore",86,1.634,2530,1548,"OverallPuttingAverage",2007
154,154,"Kevin Sutherland",85,1.635,2501,1530,"OverallPuttingAverage",2007
154,154,"Bubba Watson",80,1.635,2354,1440,"OverallPuttingAverage",2007
156,156,"Rich Beem",89,1.636,2621,1602,"OverallPuttingAverage",2007
157,157,"Ben Curtis",80,1.638,2358,1440,"OverallPuttingAverage",2007
157,157,"Jim Furyk",84,1.638,2417,1476,"OverallPuttingAverage",2007
159,159,"Hunter Mahan",91,1.639,2685,1638,"OverallPuttingAverage",2007
160,160,"Rod Pampling",92,1.64,2656,1620,"OverallPuttingAverage",2007
161,161,"Kenny Perry",83,1.641,2451,1494,"OverallPuttingAverage",2007
162,162,"Will Ma Kenzie",100,1.642,2956,1800,"OverallPuttingAverage",2007
163,163,"John Daly",59,1.643,1745,1062,"OverallPuttingAverage",2007
164,164,"Chris Couch",76,1.644,2249,1368,"OverallPuttingAverage",2007
164,164,"Jason Dufner",100,1.644,2959,1800,"OverallPuttingAverage",2007
166,166,"Jason Bohn",57,1.645,1688,1026,"OverallPuttingAverage",2007
166,166,"Kent Jones",97,1.645,2873,1746,"OverallPuttingAverage",2007
166,166,"Steve Lowery",74,1.645,2191,1332,"OverallPuttingAverage",2007
169,169,"Greg Owen",81,1.647,2401,1458,"OverallPuttingAverage",2007
169,169,"Nick Watney",87,1.647,2579,1566,"OverallPuttingAverage",2007
171,171,"Brett Quigley",79,1.648,2314,1404,"OverallPuttingAverage",2007
172,172,"Charles Howell III",89,1.649,2552,1548,"OverallPuttingAverage",2007
173,173,"Stephen Leaney",82,1.65,2435,1476,"OverallPuttingAverage",2007
173,173,"Duffy Waldorf",69,1.65,2049,1242,"OverallPuttingAverage",2007
175,175,"Charles Warren",101,1.652,3004,1818,"OverallPuttingAverage",2007
176,176,"Billy Andrade",88,1.653,2618,1584,"OverallPuttingAverage",2007
177,177,"Johnson Wagner",97,1.655,2890,1746,"OverallPuttingAverage",2007
178,178,"Craig Barlow",52,1.656,1550,936,"OverallPuttingAverage",2007
178,178,"Billy Mayfair",98,1.656,2921,1764,"OverallPuttingAverage",2007
178,178,"Kirk Triplett",77,1.656,2295,1386,"OverallPuttingAverage",2007
181,181,"Shaun Micheel",91,1.657,2624,1584,"OverallPuttingAverage",2007
182,182,"DJ Trahan",99,1.66,2958,1782,"OverallPuttingAverage",2007
183,183,"Robert Garrigus",95,1.664,2845,1710,"OverallPuttingAverage",2007
184,184,"David Branshaw",83,1.667,2491,1494,"OverallPuttingAverage",2007
185,185,"Tom Lehman",62,1.668,1862,1116,"OverallPuttingAverage",2007
186,186,"Chad Campbell",96,1.669,2703,1620,"OverallPuttingAverage",2007
186,186,"Mathew Goggin",97,1.669,2914,1746,"OverallPuttingAverage",2007
188,188,"Joey Sindelar",75,1.672,2257,1350,"OverallPuttingAverage",2007
189,189,"JJ Henry",86,1.673,2559,1530,"OverallPuttingAverage",2007
190,190,"Davis Love III",66,1.674,1958,1170,"OverallPuttingAverage",2007
191,191,"Robert Allenby",90,1.677,2686,1602,"OverallPuttingAverage",2007
191,191,"Trevor Immelman",74,1.677,2053,1224,"OverallPuttingAverage",2007
193,193,"John Senden",97,1.68,2933,1746,"OverallPuttingAverage",2007
193,193,"Brett Wetterich",88,1.68,2631,1566,"OverallPuttingAverage",2007
195,195,"Jeff Gove",103,1.694,3141,1854,"OverallPuttingAverage",2007
196,196,"Joe Durant",88,1.702,2666,1566,"OverallPuttingAverage",2007
