"SubParRounds_RANKTHISWEEK_2014","SubParRounds_RANKLASTWEEK_2014","SubParRounds_PLAYERNAME_2014","SubParRounds_EVENTS_2014","stat_name","year"
281,281,"Jesper Parnevik",3,"SubParRounds",2014
281,281,"Taylor Pendrith",1,"SubParRounds",2014
281,281,"Siddikur Rahman",1,"SubParRounds",2014
281,281,"Sam Saunders",1,"SubParRounds",2014
281,281,"Scottie Scheffler",2,"SubParRounds",2014
281,281,"David Skinns",1,"SubParRounds",2014
281,281,"Ryan Sullivan",1,"SubParRounds",2014
281,281,"Vaughn Taylor",3,"SubParRounds",2014
281,281,"DJ Trahan",5,"SubParRounds",2014
281,281,"Brady Watt",4,"SubParRounds",2014
281,281,"Bernd Wiesberger",4,"SubParRounds",2014
281,281,"Fabrizio Zanotti",2,"SubParRounds",2014
308,308,"Byeong Hun An",1,"SubParRounds",2014
308,308,"Seukhyun Baek",2,"SubParRounds",2014
308,308,"Josh Broadaway",1,"SubParRounds",2014
308,308,"Kristoffer Broberg",1,"SubParRounds",2014
308,308,"Mark Brown",1,"SubParRounds",2014
308,308,"Austin Cook",1,"SubParRounds",2014
308,308,"Jon Curran",1,"SubParRounds",2014
308,308,"Joel Dahmen",1,"SubParRounds",2014
308,308,"Marco Dawson",1,"SubParRounds",2014
308,308,"Derek Fathauer",1,"SubParRounds",2014
308,308,"Darren Fichardt",2,"SubParRounds",2014
308,308,"Steve Flesch",5,"SubParRounds",2014
308,308,"Hiroyuki Fujita",1,"SubParRounds",2014
308,308,"Nicholas Fung",1,"SubParRounds",2014
308,308,"Adam Hadwin",1,"SubParRounds",2014
308,308,"Raphael Jacquelin",1,"SubParRounds",2014
308,308,"Troy Kelly",2,"SubParRounds",2014
308,308,"Ben Kohles",3,"SubParRounds",2014
308,308,"Anirban Lahiri",3,"SubParRounds",2014
308,308,"Hao Tong Li",1,"SubParRounds",2014
308,308,"WC Liang",2,"SubParRounds",2014
308,308,"Prayad Marksaeng",1,"SubParRounds",2014
308,308,"Billy Mayfair",4,"SubParRounds",2014
308,308,"Wade Ormsby",1,"SubParRounds",2014
308,308,"Kevin Penner",1,"SubParRounds",2014
308,308,"Daniel Popovic",1,"SubParRounds",2014
308,308,"Brett Quigley",1,"SubParRounds",2014
308,308,"Kyle Reifers",2,"SubParRounds",2014
308,308,"Chris Thompson",2,"SubParRounds",2014
308,308,"Dawie van der Walt",2,"SubParRounds",2014
308,308,"Jaco Van Zyl",1,"SubParRounds",2014
308,308,"Armando Villarreal",2,"SubParRounds",2014
308,308,"Danny Willett",3,"SubParRounds",2014
341,341,"Neal Ajubita",1,"SubParRounds",2014
341,341,"Benjamin Alvarado",6,"SubParRounds",2014
341,341,"Wu Ashun",2,"SubParRounds",2014
341,341,"Arjun Atwal",4,"SubParRounds",2014
341,341,"Daniel Berger",1,"SubParRounds",2014
341,341,"Shane Bertsch",1,"SubParRounds",2014
341,341,"Michael Block",2,"SubParRounds",2014
341,341,"Guy Boros",2,"SubParRounds",2014
341,341,"Michael Bradley",2,"SubParRounds",2014
341,341,"Mark Brooks",2,"SubParRounds",2014
341,341,"David Carr",3,"SubParRounds",2014
341,341,"Ashley Chesters",1,"SubParRounds",2014
341,341,"Gary Christian",3,"SubParRounds",2014
341,341,"Will Collins",1,"SubParRounds",2014
341,341,"Jeff Curl",2,"SubParRounds",2014
341,341,"Bubba Dickerson",2,"SubParRounds",2014
341,341,"Eric Dugas",1,"SubParRounds",2014
341,341,"David Gossett",3,"SubParRounds",2014
341,341,"Cody Gribble",1,"SubParRounds",2014
341,341,"Mike Hendry",1,"SubParRounds",2014
341,341,"Berry Henson",1,"SubParRounds",2014
341,341,"Mark Hubbard",1,"SubParRounds",2014
341,341,"Yuta Ikeda",1,"SubParRounds",2014
341,341,"Hiroshi Iwata",1,"SubParRounds",2014
341,341,"Peter Jacobsen",1,"SubParRounds",2014
