"GIRPercentagefromOtherthanFairway_RANKTHISWEEK_2010","GIRPercentagefromOtherthanFairway_RANKLASTWEEK_2010","GIRPercentagefromOtherthanFairway_PLAYERNAME_2010","GIRPercentagefromOtherthanFairway_ROUNDS_2010","GIRPercentagefromOtherthanFairway_Pct_2010","GIRPercentagefromOtherthanFairway_GREENSHIT_2010","GIRPercentagefromOtherthanFairway_OFHOLES_2010","stat_name","year"
159,159,"Bryce Molder",84,48.78,200,410,"GIRPercentagefromOtherthanFairway",2010
161,161,"Michael Sim",64,48.77,158,324,"GIRPercentagefromOtherthanFairway",2010
162,162,"Jerry Kelly",99,48.6,191,393,"GIRPercentagefromOtherthanFairway",2010
162,162,"Jeff Quinney",91,48.6,174,358,"GIRPercentagefromOtherthanFairway",2010
164,164,"Brian Stuard",81,48.57,187,385,"GIRPercentagefromOtherthanFairway",2010
165,165,"Joe Durant",67,48.53,99,204,"GIRPercentagefromOtherthanFairway",2010
166,166,"Shaun Micheel",70,48.46,157,324,"GIRPercentagefromOtherthanFairway",2010
167,167,"Andrew McLardy",52,48.45,125,258,"GIRPercentagefromOtherthanFairway",2010
168,168,"Matt Bettencourt",91,48.38,239,494,"GIRPercentagefromOtherthanFairway",2010
169,169,"Matt Every",60,48.2,147,305,"GIRPercentagefromOtherthanFairway",2010
170,170,"Pat Perez",90,47.83,209,437,"GIRPercentagefromOtherthanFairway",2010
171,171,"Brian Davis",101,47.64,212,445,"GIRPercentagefromOtherthanFairway",2010
172,172,"Vance Veazey",58,47.34,151,319,"GIRPercentagefromOtherthanFairway",2010
173,173,"Trevor Immelman",55,47.29,131,277,"GIRPercentagefromOtherthanFairway",2010
174,174,"Nathan Green",86,47.22,221,468,"GIRPercentagefromOtherthanFairway",2010
175,175,"Richard Johnson",90,47.16,158,335,"GIRPercentagefromOtherthanFairway",2010
176,176,"Ian Poulter",55,46.9,121,258,"GIRPercentagefromOtherthanFairway",2010
177,177,"Brandt Snedeker",89,46.83,207,442,"GIRPercentagefromOtherthanFairway",2010
178,178,"Jerod Turner",54,46.53,114,245,"GIRPercentagefromOtherthanFairway",2010
179,179,"John Mallinger",78,46.46,151,325,"GIRPercentagefromOtherthanFairway",2010
180,180,"Justin Bolli",55,46.09,106,230,"GIRPercentagefromOtherthanFairway",2010
181,181,"Chad Campbell",95,46.08,188,408,"GIRPercentagefromOtherthanFairway",2010
182,182,"Kevin Johnson",62,45.39,128,282,"GIRPercentagefromOtherthanFairway",2010
183,183,"Rich Barcelo",70,45.37,191,421,"GIRPercentagefromOtherthanFairway",2010
184,184,"Zach Johnson",93,45.26,167,369,"GIRPercentagefromOtherthanFairway",2010
185,185,"Craig Bowden",56,44.56,86,193,"GIRPercentagefromOtherthanFairway",2010
186,186,"Brian Gay",101,44.26,158,357,"GIRPercentagefromOtherthanFairway",2010
187,187,"Chad Collins",87,44.16,193,437,"GIRPercentagefromOtherthanFairway",2010
188,188,"Justin Leonard",89,44.15,166,376,"GIRPercentagefromOtherthanFairway",2010
189,189,"Skip Kendall",58,43.87,93,212,"GIRPercentagefromOtherthanFairway",2010
190,190,"Greg Kraft",52,43.75,105,240,"GIRPercentagefromOtherthanFairway",2010
191,191,"Brad Faxon",58,43.09,131,304,"GIRPercentagefromOtherthanFairway",2010
192,192,"Mike Weir",59,40.22,148,368,"GIRPercentagefromOtherthanFairway",2010
