"LongestPutts_RANKTHISWEEK_2006","LongestPutts_RANKLASTWEEK_2006","LongestPutts_PLAYERNAME_2006","LongestPutts_ROUNDS_2006","LongestPutts_DISTANCE_2006","LongestPutts_YEARTOURN_2006","LongestPutts_ROUND_2006","LongestPutts_HOLE_2006","stat_name","year"
79,79,"Brian Bateman",69,NA,NA,4,12,"LongestPutts",2006
81,81,"Ben Curtis",86,NA,NA,1,3,"LongestPutts",2006
82,83,"John Cook",67,NA,NA,1,12,"LongestPutts",2006
82,82,"Brian McCann",2,NA,NA,1,18,"LongestPutts",2006
85,85,"Arron Oberholser",82,NA,NA,4,6,"LongestPutts",2006
86,86,"Trevor Immelman",86,NA,NA,3,2,"LongestPutts",2006
86,88,"Jason Dufner",6,NA,NA,2,3,"LongestPutts",2006
89,89,"Mark Wilson",79,NA,NA,1,7,"LongestPutts",2006
90,90,"Greg Kraft",79,NA,NA,1,14,"LongestPutts",2006
91,92,"Dan Forsman",43,NA,NA,1,14,"LongestPutts",2006
91,91,"Bob Tway",81,NA,NA,1,7,"LongestPutts",2006
94,94,"Arjun Atwal",97,NA,NA,4,4,"LongestPutts",2006
95,95,"Joel Edwards",10,NA,NA,1,8,"LongestPutts",2006
99,99,"Robert Boisvert",2,NA,NA,2,10,"LongestPutts",2006
101,101,"Ron Whittaker",81,NA,NA,3,8,"LongestPutts",2006
102,102,"David McKenzie",82,NA,NA,1,4,"LongestPutts",2006
105,105,"Dean Wilson",115,NA,NA,4,14,"LongestPutts",2006
107,107,"Harrison Frazar",95,NA,NA,2,1,"LongestPutts",2006
109,109,"Paul Goydos",72,NA,NA,3,5,"LongestPutts",2006
112,112,"Davis Love III",85,NA,NA,1,5,"LongestPutts",2006
112,113,"Briny Baird",81,NA,NA,2,11,"LongestPutts",2006
114,114,"Padraig Harrington",54,NA,NA,1,18,"LongestPutts",2006
115,115,"Mike Sposa",68,NA,NA,1,8,"LongestPutts",2006
116,116,"Ted Purdy",103,NA,NA,2,5,"LongestPutts",2006
117,118,"Hunter Mahan",98,NA,NA,2,14,"LongestPutts",2006
119,119,"Shane Bertsch",104,NA,NA,4,18,"LongestPutts",2006
120,120,"Tim Petrovic",95,NA,NA,1,2,"LongestPutts",2006
121,121,"Kirk Triplett",58,NA,NA,1,12,"LongestPutts",2006
121,122,"Nathan Green",108,NA,NA,3,14,"LongestPutts",2006
123,123,"David Peoples",9,NA,NA,1,8,"LongestPutts",2006
124,124,"Jeff Gove",91,NA,NA,1,13,"LongestPutts",2006
124,126,"Joe Ogilvie",95,NA,NA,4,16,"LongestPutts",2006
128,130,"Phil Tataurangi",46,NA,NA,2,9,"LongestPutts",2006
128,129,"Ryuji Imada",105,NA,NA,1,14,"LongestPutts",2006
131,132,"Olin Browne",108,NA,NA,2,7,"LongestPutts",2006
133,133,"Vijay Singh",103,NA,NA,2,3,"LongestPutts",2006
135,135,"Greg Owen",79,NA,NA,3,4,"LongestPutts",2006
137,137,"Todd Fischer",101,NA,NA,3,1,"LongestPutts",2006
137,138,"Mathias Gronberg",92,NA,NA,1,2,"LongestPutts",2006
137,139,"Jimmy Walker",60,NA,NA,3,10,"LongestPutts",2006
141,141,"Chad Campbell",91,NA,NA,3,5,"LongestPutts",2006
141,142,"Vance Veazey",59,NA,NA,1,6,"LongestPutts",2006
141,143,"Scott Piercy",20,NA,NA,4,17,"LongestPutts",2006
144,144,"Sean OHair",100,NA,NA,3,5,"LongestPutts",2006
146,146,"Peter Lonard",77,NA,NA,1,11,"LongestPutts",2006
148,151,"Mark OMeara",52,NA,NA,4,1,"LongestPutts",2006
148,150,"Henrik Bjornstad",97,NA,NA,4,8,"LongestPutts",2006
148,148,"Charles Warren",93,NA,NA,3,17,"LongestPutts",2006
152,153,"Notah Begay III",31,NA,NA,1,4,"LongestPutts",2006
154,156,"Tom Byrum",28,NA,NA,1,3,"LongestPutts",2006
154,155,"James Driscoll",80,NA,NA,2,10,"LongestPutts",2006
160,160,"Danny Ellis",68,NA,NA,3,3,"LongestPutts",2006
161,161,"Dudley Hart",83,NA,NA,2,6,"LongestPutts",2006
162,162,"Bob Burns",23,NA,NA,1,8,"LongestPutts",2006
165,165,"Brian Davis",92,NA,NA,4,2,"LongestPutts",2006
166,167,"Phil Mickelson",74,NA,NA,3,7,"LongestPutts",2006
169,169,"Zach Johnson",98,NA,NA,2,15,"LongestPutts",2006
170,170,"Scott Gump",28,NA,NA,1,14,"LongestPutts",2006
170,171,"Jose Maria Olazabal",62,NA,NA,4,9,"LongestPutts",2006
172,172,"Joe Durant",101,NA,NA,4,1,"LongestPutts",2006
175,176,"Stewart Cink",93,NA,NA,2,4,"LongestPutts",2006
175,177,"Jason Schultz",77,NA,NA,1,12,"LongestPutts",2006
180,180,"JJ Henry",96,NA,NA,3,2,"LongestPutts",2006
183,183,"Brett Wetterich",82,NA,NA,2,9,"LongestPutts",2006
183,185,"Ryan Hietala",61,NA,NA,3,1,"LongestPutts",2006
186,189,"Bob May",65,NA,NA,2,14,"LongestPutts",2006
186,188,"Will Ma Kenzie",91,NA,NA,1,4,"LongestPutts",2006
190,190,"Loren Roberts",14,NA,NA,2,14,"LongestPutts",2006
192,192,"Billy Andrade",78,NA,NA,1,13,"LongestPutts",2006
192,193,"Bubba Dickerson",98,NA,NA,1,3,"LongestPutts",2006
198,200,"Craig Parry",44,NA,NA,2,2,"LongestPutts",2006
198,199,"Paul Stankowski",70,NA,NA,4,1,"LongestPutts",2006
