"LongestPutts_RANKTHISWEEK_2014","LongestPutts_RANKLASTWEEK_2014","LongestPutts_PLAYERNAME_2014","LongestPutts_ROUNDS_2014","LongestPutts_DISTANCE_2014","LongestPutts_YEARTOURN_2014","LongestPutts_ROUND_2014","LongestPutts_HOLE_2014","stat_name","year"
57,57,"Will Ma Kenzie",82,NA,NA,1,10,"LongestPutts",2014
60,61,"Benjamin Alvarado",14,NA,NA,2,8,"LongestPutts",2014
62,62,"Richard Lee",80,NA,NA,1,5,"LongestPutts",2014
63,63,"Rory McIlroy",66,NA,NA,3,4,"LongestPutts",2014
64,64,"Adam Scott",68,NA,NA,2,2,"LongestPutts",2014
65,65,"Tim Petrovic",28,NA,NA,1,4,"LongestPutts",2014
66,66,"Aaron Goldberg",2,NA,NA,1,2,"LongestPutts",2014
69,69,"Trevor Immelman",84,NA,NA,1,6,"LongestPutts",2014
70,70,"John Merrick",87,NA,NA,2,4,"LongestPutts",2014
71,72,"Chris Smith",19,NA,NA,3,15,"LongestPutts",2014
71,71,"Bubba Watson",76,NA,NA,3,17,"LongestPutts",2014
75,75,"Jason Dufner",57,NA,NA,4,5,"LongestPutts",2014
76,76,"Carl Pettersson",91,NA,NA,4,18,"LongestPutts",2014
77,78,"Ryo Ishikawa",75,NA,NA,1,3,"LongestPutts",2014
79,79,"Daniel Chopra",37,NA,NA,1,5,"LongestPutts",2014
79,81,"Chris Stroud",88,NA,NA,3,1,"LongestPutts",2014
82,83,"Francesco Molinari",45,NA,NA,1,13,"LongestPutts",2014
82,82,"Tim Wilkinson",86,NA,NA,4,1,"LongestPutts",2014
84,84,"Danny Lee",84,NA,NA,2,14,"LongestPutts",2014
85,85,"Matt Bettencourt",37,NA,NA,1,15,"LongestPutts",2014
85,86,"Jason Day",54,NA,NA,3,3,"LongestPutts",2014
87,87,"Luke Donald",57,NA,NA,1,17,"LongestPutts",2014
88,88,"KJ Choi",80,NA,NA,1,7,"LongestPutts",2014
89,90,"Billy Horschel",92,NA,NA,2,12,"LongestPutts",2014
89,91,"Brad Fritsch",50,NA,NA,3,14,"LongestPutts",2014
92,92,"John Senden",99,NA,NA,4,11,"LongestPutts",2014
93,93,"Russell Henley",92,NA,NA,4,16,"LongestPutts",2014
94,94,"Scott Langley",95,NA,NA,3,8,"LongestPutts",2014
94,95,"Wes Roach",67,NA,NA,2,17,"LongestPutts",2014
97,97,"Kevin Chappell",100,NA,NA,1,12,"LongestPutts",2014
101,102,"Bryce Molder",77,NA,NA,1,16,"LongestPutts",2014
101,101,"Martin Kaymer",65,NA,NA,2,2,"LongestPutts",2014
103,103,"Camilo Villegas",95,NA,NA,4,4,"LongestPutts",2014
103,105,"Charlie Beljan",76,NA,NA,2,18,"LongestPutts",2014
106,108,"Hunter Mahan",88,NA,NA,4,18,"LongestPutts",2014
113,114,"Charlie Wi",72,NA,NA,2,6,"LongestPutts",2014
115,115,"Stephen Ames",48,NA,NA,1,4,"LongestPutts",2014
116,116,"John Mallinger",42,NA,NA,4,7,"LongestPutts",2014
119,120,"Andres Romero",81,NA,NA,3,18,"LongestPutts",2014
119,119,"Kiradech Aphibarnrat",27,NA,NA,1,8,"LongestPutts",2014
123,124,"Gonzalo Fdez Castano",83,NA,NA,4,2,"LongestPutts",2014
123,123,"Matt Jones",83,NA,NA,1,9,"LongestPutts",2014
125,125,"Scott Stallings",77,NA,NA,1,16,"LongestPutts",2014
126,126,"Frank Lickliter II",8,NA,NA,2,18,"LongestPutts",2014
126,127,"Gary Woodland",93,NA,NA,3,1,"LongestPutts",2014
128,129,"Edward Loar",46,NA,NA,1,7,"LongestPutts",2014
128,128,"Marc Leishman",81,NA,NA,2,7,"LongestPutts",2014
131,131,"Josh Teater",90,NA,NA,4,13,"LongestPutts",2014
135,136,"Justin Thomas",21,NA,NA,2,7,"LongestPutts",2014
137,137,"Brian Davis",93,NA,NA,1,6,"LongestPutts",2014
138,138,"Brendon Todd",108,NA,NA,2,16,"LongestPutts",2014
139,141,"Graham DeLaet",80,NA,NA,1,11,"LongestPutts",2014
139,139,"Miguel Angel Carballo",40,NA,NA,2,3,"LongestPutts",2014
143,143,"Woody Austin",63,NA,NA,2,11,"LongestPutts",2014
144,144,"Pat Perez",84,NA,NA,3,17,"LongestPutts",2014
145,145,"Boo Weekley",73,NA,NA,4,9,"LongestPutts",2014
146,149,"Charles Howell III",106,NA,NA,4,2,"LongestPutts",2014
146,150,"Bobby Wyatt",14,NA,NA,1,18,"LongestPutts",2014
152,152,"Zach Johnson",97,NA,NA,2,4,"LongestPutts",2014
155,155,"Justin Leonard",75,NA,NA,2,3,"LongestPutts",2014
157,157,"Jonas Blixt",64,NA,NA,4,8,"LongestPutts",2014
159,160,"Peter Hanson",37,NA,NA,4,16,"LongestPutts",2014
159,159,"Kevin Kisner",85,NA,NA,4,10,"LongestPutts",2014
163,164,"Matt Kuchar",91,NA,NA,1,15,"LongestPutts",2014
163,163,"John Huh",87,NA,NA,3,6,"LongestPutts",2014
165,165,"Steve Marino",40,NA,NA,3,12,"LongestPutts",2014
165,166,"Roberto Castro",76,NA,NA,3,17,"LongestPutts",2014
167,167,"George McNeill",79,NA,NA,1,13,"LongestPutts",2014
171,172,"Alex Carpenter",2,NA,NA,1,17,"LongestPutts",2014
175,175,"Fred Funk",21,NA,NA,2,3,"LongestPutts",2014
175,176,"Davis Love III",74,NA,NA,2,4,"LongestPutts",2014
175,177,"Rory Sabbatini",82,NA,NA,1,15,"LongestPutts",2014
178,179,"Branden Grace",32,NA,NA,3,4,"LongestPutts",2014
181,181,"Sean OHair",77,NA,NA,1,10,"LongestPutts",2014
181,182,"Jordan Spieth",102,NA,NA,1,7,"LongestPutts",2014
184,184,"Nicholas Thompson",85,NA,NA,2,7,"LongestPutts",2014
190,191,"Brian Stuard",91,NA,NA,2,4,"LongestPutts",2014
194,194,"James Hahn",82,NA,NA,3,11,"LongestPutts",2014
196,196,"Kenny Perry",14,NA,NA,2,1,"LongestPutts",2014
197,197,"Johnson Wagner",69,NA,NA,2,5,"LongestPutts",2014
