"DrivingPctMeasured_RANKTHISWEEK_2011","DrivingPctMeasured_RANKLASTWEEK_2011","DrivingPctMeasured_PLAYERNAME_2011","DrivingPctMeasured_ROUNDS_2011","DrivingPctMeasured_Pct_2011","DrivingPctMeasured_TOTALDRIVESFOR_2011","DrivingPctMeasured_TOTALDRVSOVERALL_2011","DrivingPctMeasured_RELATIVETOPAR_2011","stat_name","year"
152,152,"Robert Garrigus",83,0,NA,154,0,"DrivingPctMeasured",2011
152,152,"Lucas Glover",74,0,NA,128,0,"DrivingPctMeasured",2011
152,152,"Andres Gonzales",60,0,NA,100,0,"DrivingPctMeasured",2011
152,152,"Bill Haas",93,0,NA,160,0,"DrivingPctMeasured",2011
152,152,"Jim Herman",69,0,NA,122,0,"DrivingPctMeasured",2011
152,152,"JB Holmes",57,0,NA,102,0,"DrivingPctMeasured",2011
152,152,"Billy Horschel",75,0,NA,138,0,"DrivingPctMeasured",2011
152,152,"Lee Janzen",62,0,NA,112,0,"DrivingPctMeasured",2011
152,152,"Zach Johnson",79,0,NA,136,0,"DrivingPctMeasured",2011
152,152,"Dustin Johnson",72,0,NA,118,0,"DrivingPctMeasured",2011
152,152,"Derek Lamely",65,0,NA,126,0,"DrivingPctMeasured",2011
152,152,"Marc Leishman",87,0,NA,166,0,"DrivingPctMeasured",2011
152,152,"Davis Love III",70,0,NA,120,0,"DrivingPctMeasured",2011
152,152,"Hunter Mahan",92,0,NA,166,0,"DrivingPctMeasured",2011
152,152,"Steve Marino",76,0,NA,140,0,"DrivingPctMeasured",2011
152,152,"William McGirt",103,0,NA,198,0,"DrivingPctMeasured",2011
152,152,"George McNeill",69,0,NA,122,0,"DrivingPctMeasured",2011
152,152,"John Merrick",71,0,NA,126,0,"DrivingPctMeasured",2011
152,152,"Phil Mickelson",79,0,NA,130,0,"DrivingPctMeasured",2011
152,152,"Ian Poulter",52,0,NA,86,0,"DrivingPctMeasured",2011
152,152,"Jim Renner",65,0,NA,114,0,"DrivingPctMeasured",2011
152,152,"Alexandre Rocha",65,0,NA,106,0,"DrivingPctMeasured",2011
152,152,"John Rollins",85,0,NA,166,0,"DrivingPctMeasured",2011
152,152,"Charl Schwartzel",58,0,NA,88,0,"DrivingPctMeasured",2011
152,152,"Scott Stallings",84,0,NA,156,0,"DrivingPctMeasured",2011
152,152,"Will Strickler",51,0,NA,94,0,"DrivingPctMeasured",2011
152,152,"Roland Thatcher",67,0,NA,134,0,"DrivingPctMeasured",2011
152,152,"Nick Watney",80,0,NA,138,0,"DrivingPctMeasured",2011
152,152,"Gary Woodland",93,0,NA,162,0,"DrivingPctMeasured",2011
