"FedExCupPlayoffsPoints_RANKTHISWEEK_2014","FedExCupPlayoffsPoints_RANKLASTWEEK_2014","FedExCupPlayoffsPoints_PLAYERNAME_2014","FedExCupPlayoffsPoints_EVENTS_2014","FedExCupPlayoffsPoints_POINTS_2014","FedExCupPlayoffsPoints_OFWINS_2014","FedExCupPlayoffsPoints_OFTOP10S_2014","FedExCupPlayoffsPoints_POINTSBEHINDLEAD_2014","FedExCupPlayoffsPoints_RESETPOINTS_2014","stat_name","year"
16,16,"Martin Kaymer",19,655,2,4,4095,420,"FedExCupPlayoffsPoints",2014
18,18,"Zach Johnson",26,650,1,5,4100,400,"FedExCupPlayoffsPoints",2014
19,19,"Russell Henley",29,635,1,3,4115,310,"FedExCupPlayoffsPoints",2014
20,20,"Cameron Tringale",31,600,NA,3,4150,320,"FedExCupPlayoffsPoints",2014
21,21,"Patrick Reed",28,598,2,4,4152,340,"FedExCupPlayoffsPoints",2014
22,22,"Gary Woodland",25,595,NA,5,4155,220,"FedExCupPlayoffsPoints",2014
23,23,"John Senden",27,585,1,5,4165,360,"FedExCupPlayoffsPoints",2014
24,24,"Kevin Na",27,528,NA,6,4222,270,"FedExCupPlayoffsPoints",2014
25,25,"Webb Simpson",25,525,1,9,4225,290,"FedExCupPlayoffsPoints",2014
26,26,"Morgan Hoffmann",32,518,NA,2,4232,300,"FedExCupPlayoffsPoints",2014
27,27,"Brendon Todd",29,508,1,7,4242,240,"FedExCupPlayoffsPoints",2014
28,28,"Hideki Matsuyama",24,475,1,4,4275,230,"FedExCupPlayoffsPoints",2014
29,29,"Geoff Ogilvy",26,470,1,2,4280,260,"FedExCupPlayoffsPoints",2014
30,30,"Dustin Johnson",17,210,1,7,4540,210,"FedExCupPlayoffsPoints",2014
31,31,"Stuart Appleby",29,1755,NA,3,2559,NA,"FedExCupPlayoffsPoints",2014
32,32,"Harris English",28,1662,1,7,2652,NA,"FedExCupPlayoffsPoints",2014
33,33,"Keegan Bradley",26,1621,NA,6,2693,NA,"FedExCupPlayoffsPoints",2014
34,34,"Charles Howell III",29,1592,NA,6,2722,NA,"FedExCupPlayoffsPoints",2014
35,35,"Seung Yul Noh",27,1590,1,3,2724,NA,"FedExCupPlayoffsPoints",2014
36,36,"Brian Harman",32,1571,1,6,2743,NA,"FedExCupPlayoffsPoints",2014
37,37,"Graham DeLaet",24,1553,NA,7,2761,NA,"FedExCupPlayoffsPoints",2014
38,38,"Kevin Stadler",26,1537,1,3,2777,NA,"FedExCupPlayoffsPoints",2014
39,39,"Ryan Moore",24,1534,1,7,2780,NA,"FedExCupPlayoffsPoints",2014
40,40,"Russell Knox",26,1480,NA,3,2834,NA,"FedExCupPlayoffsPoints",2014
41,41,"Ernie Els",24,1467,NA,3,2847,NA,"FedExCupPlayoffsPoints",2014
42,42,"JB Holmes",24,1467,1,2,2847,NA,"FedExCupPlayoffsPoints",2014
43,43,"Charl Schwartzel",18,1405,NA,5,2909,NA,"FedExCupPlayoffsPoints",2014
44,44,"Kevin Streelman",24,1354,1,2,2960,NA,"FedExCupPlayoffsPoints",2014
45,45,"Matt Every",26,1354,1,6,2960,NA,"FedExCupPlayoffsPoints",2014
46,46,"George McNeill",24,1352,NA,4,2962,NA,"FedExCupPlayoffsPoints",2014
47,47,"Chris Stroud",25,1344,NA,4,2970,NA,"FedExCupPlayoffsPoints",2014
48,48,"Camilo Villegas",29,1342,1,1,2972,NA,"FedExCupPlayoffsPoints",2014
49,49,"Chesson Hadley",29,1338,1,4,2976,NA,"FedExCupPlayoffsPoints",2014
50,50,"Angel Cabrera",23,1332,1,1,2982,NA,"FedExCupPlayoffsPoints",2014
51,51,"Brian Stuard",29,1315,NA,4,2999,NA,"FedExCupPlayoffsPoints",2014
52,52,"Henrik Stenson",15,1315,NA,3,2999,NA,"FedExCupPlayoffsPoints",2014
53,53,"Charley Hoffman",25,1291,NA,5,3023,NA,"FedExCupPlayoffsPoints",2014
54,54,"Tim Clark",26,1271,1,3,3043,NA,"FedExCupPlayoffsPoints",2014
55,55,"Kevin Chappell",28,1268,NA,1,3046,NA,"FedExCupPlayoffsPoints",2014
56,56,"Graeme McDowell",17,1256,NA,8,3058,NA,"FedExCupPlayoffsPoints",2014
57,57,"Daniel Summerhays",27,1242,NA,2,3072,NA,"FedExCupPlayoffsPoints",2014
58,58,"Marc Leishman",24,1240,NA,6,3074,NA,"FedExCupPlayoffsPoints",2014
59,59,"Steven Bowditch",30,1213,1,1,3101,NA,"FedExCupPlayoffsPoints",2014
60,60,"Ben Crane",25,1199,1,2,3115,NA,"FedExCupPlayoffsPoints",2014
61,61,"William McGirt",29,1182,NA,4,3132,NA,"FedExCupPlayoffsPoints",2014
62,62,"Jerry Kelly",23,1175,NA,4,3139,NA,"FedExCupPlayoffsPoints",2014
63,63,"Carl Pettersson",28,1173,NA,4,3141,NA,"FedExCupPlayoffsPoints",2014
64,64,"Erik Compton",28,1117,NA,3,3197,NA,"FedExCupPlayoffsPoints",2014
65,65,"Will Ma Kenzie",27,1092,NA,5,3222,NA,"FedExCupPlayoffsPoints",2014
66,66,"Freddie Jacobson",27,1068,NA,4,3246,NA,"FedExCupPlayoffsPoints",2014
67,67,"Matt Jones",25,1051,1,1,3263,NA,"FedExCupPlayoffsPoints",2014
68,68,"Phil Mickelson",21,1046,NA,1,3268,NA,"FedExCupPlayoffsPoints",2014
69,69,"KJ Choi",23,1019,NA,2,3295,NA,"FedExCupPlayoffsPoints",2014
70,70,"Jason Bohn",25,1011,NA,3,3303,NA,"FedExCupPlayoffsPoints",2014
71,71,"Robert Streb",21,966,NA,2,3348,NA,"FedExCupPlayoffsPoints",2014
72,72,"Ryo Ishikawa",24,936,NA,3,3378,NA,"FedExCupPlayoffsPoints",2014
73,73,"Jason Kokrak",19,932,NA,2,3382,NA,"FedExCupPlayoffsPoints",2014
74,74,"David Hearn",28,930,NA,3,3384,NA,"FedExCupPlayoffsPoints",2014
75,75,"Justin Hicks",30,923,NA,3,3391,NA,"FedExCupPlayoffsPoints",2014
76,76,"Ben Martin",26,899,NA,3,3415,NA,"FedExCupPlayoffsPoints",2014
77,77,"Scott Langley",29,898,NA,1,3416,NA,"FedExCupPlayoffsPoints",2014
78,78,"Ian Poulter",17,892,NA,2,3422,NA,"FedExCupPlayoffsPoints",2014
79,79,"Brendan Steele",26,881,NA,4,3433,NA,"FedExCupPlayoffsPoints",2014
80,80,"Stewart Cink",25,866,NA,NA,3448,NA,"FedExCupPlayoffsPoints",2014
81,81,"Bo Van Pelt",25,866,NA,1,3448,NA,"FedExCupPlayoffsPoints",2014
82,82,"Gonzalo Fdez Castano",25,863,NA,1,3451,NA,"FedExCupPlayoffsPoints",2014
83,83,"Shawn Stefani",17,842,NA,2,3472,NA,"FedExCupPlayoffsPoints",2014
84,84,"Scott Stallings",28,831,1,1,3483,NA,"FedExCupPlayoffsPoints",2014
85,85,"Scott Brown",30,821,NA,4,3493,NA,"FedExCupPlayoffsPoints",2014
86,86,"Brandt Snedeker",25,812,NA,3,3502,NA,"FedExCupPlayoffsPoints",2014
87,87,"Vijay Singh",25,800,NA,1,3514,NA,"FedExCupPlayoffsPoints",2014
88,88,"Danny Lee",28,800,NA,1,3514,NA,"FedExCupPlayoffsPoints",2014
89,89,"Luke Donald",17,798,NA,3,3516,NA,"FedExCupPlayoffsPoints",2014
90,90,"Jason Dufner",17,798,NA,4,3516,NA,"FedExCupPlayoffsPoints",2014
91,91,"Brendon de Jonge",31,762,NA,2,3552,NA,"FedExCupPlayoffsPoints",2014
92,92,"Jeff Overton",24,719,NA,3,3595,NA,"FedExCupPlayoffsPoints",2014
93,93,"Michael Putnam",30,708,NA,1,3606,NA,"FedExCupPlayoffsPoints",2014
94,94,"Andrew Svoboda",24,702,NA,2,3612,NA,"FedExCupPlayoffsPoints",2014
95,95,"Paul Casey",16,699,NA,NA,3615,NA,"FedExCupPlayoffsPoints",2014
96,96,"John Huh",28,698,NA,2,3616,NA,"FedExCupPlayoffsPoints",2014
97,97,"Billy Hurley III",26,685,NA,4,3629,NA,"FedExCupPlayoffsPoints",2014
98,98,"Pat Perez",25,682,NA,3,3632,NA,"FedExCupPlayoffsPoints",2014
99,99,"Robert Garrigus",25,678,NA,2,3636,NA,"FedExCupPlayoffsPoints",2014
100,100,"Andres Romero",26,655,NA,1,3659,NA,"FedExCupPlayoffsPoints",2014
101,101,"Troy Merritt",20,609,NA,1,3705,NA,"FedExCupPlayoffsPoints",2014
102,102,"Jonas Blixt",21,599,NA,1,3715,NA,"FedExCupPlayoffsPoints",2014
103,103,"Retief Goosen",26,591,NA,2,3723,NA,"FedExCupPlayoffsPoints",2014
104,104,"Kevin Kisner",26,587,NA,3,3727,NA,"FedExCupPlayoffsPoints",2014
105,105,"Nick Watney",25,584,NA,2,3730,NA,"FedExCupPlayoffsPoints",2014
106,106,"Luke Guthrie",26,580,NA,2,3734,NA,"FedExCupPlayoffsPoints",2014
107,107,"Lee Westwood",18,577,NA,2,3737,NA,"FedExCupPlayoffsPoints",2014
108,108,"Rory Sabbatini",26,567,NA,3,3747,NA,"FedExCupPlayoffsPoints",2014
109,109,"Bryce Molder",25,565,NA,2,3749,NA,"FedExCupPlayoffsPoints",2014
110,110,"Brian Davis",28,538,NA,NA,3776,NA,"FedExCupPlayoffsPoints",2014
111,111,"Boo Weekley",24,536,NA,1,3778,NA,"FedExCupPlayoffsPoints",2014
112,112,"Martin Flores",26,534,NA,1,3780,NA,"FedExCupPlayoffsPoints",2014
113,113,"Ricky Barnes",27,530,NA,2,3784,NA,"FedExCupPlayoffsPoints",2014
114,114,"Aaron Baddeley",24,528,NA,2,3786,NA,"FedExCupPlayoffsPoints",2014
115,115,"Jhonattan Vegas",23,528,NA,2,3786,NA,"FedExCupPlayoffsPoints",2014
116,116,"Steve Stricker",11,519,NA,2,3795,NA,"FedExCupPlayoffsPoints",2014
117,117,"Michael Thompson",22,515,NA,1,3799,NA,"FedExCupPlayoffsPoints",2014
118,118,"David Toms",20,502,NA,2,3812,NA,"FedExCupPlayoffsPoints",2014
119,119,"Tim Wilkinson",25,498,NA,3,3816,NA,"FedExCupPlayoffsPoints",2014
120,120,"Justin Leonard",22,491,NA,2,3823,NA,"FedExCupPlayoffsPoints",2014
121,121,"Brice Garnett",28,488,NA,1,3826,NA,"FedExCupPlayoffsPoints",2014
122,122,"Sangmoon Bae",24,466,NA,NA,3848,NA,"FedExCupPlayoffsPoints",2014
123,123,"James Hahn",27,456,NA,2,3858,NA,"FedExCupPlayoffsPoints",2014
124,124,"Louis Oosthuizen",16,453,NA,1,3861,NA,"FedExCupPlayoffsPoints",2014
125,125,"Robert Allenby",29,438,NA,NA,3876,NA,"FedExCupPlayoffsPoints",2014
126,126,"Nicholas Thompson",30,437,NA,1,3877,NA,"FedExCupPlayoffsPoints",2014
127,127,"Martin Laird",20,425,NA,1,3889,NA,"FedExCupPlayoffsPoints",2014
128,128,"JJ Henry",28,425,NA,NA,3889,NA,"FedExCupPlayoffsPoints",2014
129,129,"Heath Slocum",23,419,NA,1,3895,NA,"FedExCupPlayoffsPoints",2014
130,130,"Charlie Beljan",26,409,NA,1,3905,NA,"FedExCupPlayoffsPoints",2014
131,131,"Ben Curtis",24,406,NA,1,3908,NA,"FedExCupPlayoffsPoints",2014
132,132,"Greg Chalmers",27,402,NA,1,3912,NA,"FedExCupPlayoffsPoints",2014
133,133,"John Merrick",25,399,NA,NA,3915,NA,"FedExCupPlayoffsPoints",2014
134,134,"David Lingmerth",26,391,NA,2,3923,NA,"FedExCupPlayoffsPoints",2014
135,135,"Roberto Castro",27,387,NA,1,3927,NA,"FedExCupPlayoffsPoints",2014
136,136,"Jonathan Byrd",24,383,NA,1,3931,NA,"FedExCupPlayoffsPoints",2014
137,137,"Andrew Loupe",22,380,NA,1,3934,NA,"FedExCupPlayoffsPoints",2014
138,138,"Richard Lee",27,376,NA,2,3938,NA,"FedExCupPlayoffsPoints",2014
139,139,"Mike Weir",25,375,NA,1,3939,NA,"FedExCupPlayoffsPoints",2014
140,140,"Brian Gay",26,375,NA,1,3939,NA,"FedExCupPlayoffsPoints",2014
141,141,"Briny Baird",17,366,NA,1,3948,NA,"FedExCupPlayoffsPoints",2014
142,142,"Will Wilcox",16,362,NA,2,3952,NA,"FedExCupPlayoffsPoints",2014
143,143,"Bud Cauley",19,357,NA,1,3957,NA,"FedExCupPlayoffsPoints",2014
144,144,"Tyrone Van Aswegen",25,355,NA,NA,3959,NA,"FedExCupPlayoffsPoints",2014
145,145,"Trevor Immelman",28,354,NA,1,3960,NA,"FedExCupPlayoffsPoints",2014
146,146,"Hudson Swafford",26,351,NA,1,3963,NA,"FedExCupPlayoffsPoints",2014
147,147,"Jim Renner",25,346,NA,1,3968,NA,"FedExCupPlayoffsPoints",2014
148,148,"Josh Teater",28,334,NA,NA,3980,NA,"FedExCupPlayoffsPoints",2014
149,149,"Charlie Wi",25,329,NA,NA,3985,NA,"FedExCupPlayoffsPoints",2014
150,150,"Johnson Wagner",24,323,NA,1,3991,NA,"FedExCupPlayoffsPoints",2014
