"PresidentsCupUnitedes_RANKTHISWEEK_2008","PresidentsCupUnitedes_RANKLASTWEEK_2008","PresidentsCupUnitedes_PLAYERNAME_2008","PresidentsCupUnitedes__2008","PresidentsCupUnitedes_POINTS_2008","stat_name","year"
151,151,"Kyle Thompson",NA,154447,"PresidentsCupUnitedes",2008
152,152,"Michael Bradley",NA,149454,"PresidentsCupUnitedes",2008
153,153,"Jim McGovern",NA,144726,"PresidentsCupUnitedes",2008
154,154,"Mark Brooks",NA,139977,"PresidentsCupUnitedes",2008
155,155,"Jay Delsing",NA,134308,"PresidentsCupUnitedes",2008
156,156,"David Duval",NA,125852,"PresidentsCupUnitedes",2008
157,157,"Paul Claxton",NA,116678,"PresidentsCupUnitedes",2008
158,158,"Neal Lancaster",NA,113720,"PresidentsCupUnitedes",2008
159,159,"Robert Damron",NA,112672,"PresidentsCupUnitedes",2008
160,160,"Kirk Triplett",NA,104016,"PresidentsCupUnitedes",2008
161,161,"Jason Allred",NA,100596,"PresidentsCupUnitedes",2008
162,162,"Tom Byrum",NA,97592,"PresidentsCupUnitedes",2008
163,163,"John Daly",NA,76090,"PresidentsCupUnitedes",2008
164,164,"Cody Freeman",NA,68673,"PresidentsCupUnitedes",2008
165,165,"Duffy Waldorf",NA,68443,"PresidentsCupUnitedes",2008
166,166,"Ron Whittaker",NA,59977,"PresidentsCupUnitedes",2008
167,167,"Paul Azinger",NA,42590,"PresidentsCupUnitedes",2008
168,168,"Jonathan Kaye",NA,41375,"PresidentsCupUnitedes",2008
169,169,"Travis Perkins",NA,36583,"PresidentsCupUnitedes",2008
170,170,"Len Mattiace",NA,35333,"PresidentsCupUnitedes",2008
171,171,"JL Lewis",NA,34003,"PresidentsCupUnitedes",2008
172,172,"Spike McRoy",NA,33921,"PresidentsCupUnitedes",2008
173,173,"Jim Gallagher Jr",NA,32775,"PresidentsCupUnitedes",2008
174,174,"Guy Boros",NA,31565,"PresidentsCupUnitedes",2008
175,175,"Russ Cochran",NA,31275,"PresidentsCupUnitedes",2008
176,176,"Notah Begay III",NA,27872,"PresidentsCupUnitedes",2008
177,177,"John Morse",NA,25705,"PresidentsCupUnitedes",2008
178,178,"Chris Smith",NA,22775,"PresidentsCupUnitedes",2008
179,179,"Bob Burns",NA,13895,"PresidentsCupUnitedes",2008
180,180,"Ronnie Black",NA,12295,"PresidentsCupUnitedes",2008
181,181,"Andrew Magee",NA,12238,"PresidentsCupUnitedes",2008
182,182,"Scott Hoch",NA,11385,"PresidentsCupUnitedes",2008
183,183,"Mark OMeara",NA,10920,"PresidentsCupUnitedes",2008
184,184,"Willie Wood",NA,8700,"PresidentsCupUnitedes",2008
185,185,"Skip Kendall",NA,7910,"PresidentsCupUnitedes",2008
186,186,"Dennis Paulson",NA,6420,"PresidentsCupUnitedes",2008
186,186,"Ted Schulz",NA,6420,"PresidentsCupUnitedes",2008
188,188,"Rick Fehr",NA,5940,"PresidentsCupUnitedes",2008
