"MoneyLeadersFallSeries_RANKTHISWEEK_2010","MoneyLeadersFallSeries_RANKLASTWEEK_2010","MoneyLeadersFallSeries_PLAYERNAME_2010","MoneyLeadersFallSeries_EVENTS_2010","MoneyLeadersFallSeries_MONEY_2010","MoneyLeadersFallSeries_YTDVICTORIES_2010","stat_name","year"
54,54,"Martin Flores",26,122125,8000,"MoneyLeadersFallSeries",2010
55,55,"Kevin Sutherland",25,118950,9000,"MoneyLeadersFallSeries",2010
56,56,"Troy Merritt",29,117904,10000,"MoneyLeadersFallSeries",2010
57,57,"Tim Herron",24,117210,7000,"MoneyLeadersFallSeries",2010
58,58,"Mathew Goggin",28,110742,9000,"MoneyLeadersFallSeries",2010
59,59,"Davis Love III",24,104354,5000,"MoneyLeadersFallSeries",2010
60,60,"Jeev Milkha Singh",19,99292,5000,"MoneyLeadersFallSeries",2010
61,61,"Brett Quigley",29,97473,11000,"MoneyLeadersFallSeries",2010
62,62,"Brian Stuard",28,92422,9000,"MoneyLeadersFallSeries",2010
63,63,"Rory Sabbatini",26,92120,7000,"MoneyLeadersFallSeries",2010
63,63,"Vijay Singh",24,92120,7000,"MoneyLeadersFallSeries",2010
65,65,"Scott Piercy",28,90228,10000,"MoneyLeadersFallSeries",2010
66,66,"John Mallinger",29,89179,10000,"MoneyLeadersFallSeries",2010
67,67,"Lee Janzen",26,85669,9000,"MoneyLeadersFallSeries",2010
68,68,"Josh Teater",31,85050,5000,"MoneyLeadersFallSeries",2010
69,69,"Zach Johnson",25,84000,10000,"MoneyLeadersFallSeries",2010
69,69,"John Rollins",26,84000,5000,"MoneyLeadersFallSeries",2010
71,71,"Freddie Jacobson",24,82500,7000,"MoneyLeadersFallSeries",2010
71,71,"Kevin Streelman",28,82500,10000,"MoneyLeadersFallSeries",2010
73,73,"Nathan Green",27,82400,9000,"MoneyLeadersFallSeries",2010
74,74,"Cliff Kresge",17,82347,4000,"MoneyLeadersFallSeries",2010
75,75,"Tim Petrovic",32,81645,7000,"MoneyLeadersFallSeries",2010
76,76,"Ben Curtis",24,79599,8000,"MoneyLeadersFallSeries",2010
77,77,"Briny Baird",28,74323,10000,"MoneyLeadersFallSeries",2010
78,78,"Chris Riley",24,72460,7000,"MoneyLeadersFallSeries",2010
79,79,"Chris DiMarco",25,65561,8000,"MoneyLeadersFallSeries",2010
80,80,"John Merrick",31,59580,2000,"MoneyLeadersFallSeries",2010
81,81,"Woody Austin",29,59280,9000,"MoneyLeadersFallSeries",2010
82,82,"Stewart Cink",23,58985,7000,"MoneyLeadersFallSeries",2010
82,82,"Tom Lehman",9,58985,2000,"MoneyLeadersFallSeries",2010
84,84,"Michael Letzig",27,55407,9000,"MoneyLeadersFallSeries",2010
85,85,"Charlie Wi",27,55137,7000,"MoneyLeadersFallSeries",2010
86,86,"Justin Leonard",27,54835,7000,"MoneyLeadersFallSeries",2010
87,87,"Chris Kirk",1,54480,720000,"MoneyLeadersFallSeries",2010
87,87,"Jarrod Lyle",18,54480,5000,"MoneyLeadersFallSeries",2010
89,89,"James Driscoll",26,49038,9000,"MoneyLeadersFallSeries",2010
90,90,"JB Holmes",26,48531,7000,"MoneyLeadersFallSeries",2010
91,91,"Paul Goydos",25,47158,2000,"MoneyLeadersFallSeries",2010
92,92,"Scott McCarron",29,45823,10000,"MoneyLeadersFallSeries",2010
93,93,"Kevin Chappell",2,44000,2016000,"MoneyLeadersFallSeries",2010
93,93,"John Ellis",1,44000,9e+05,"MoneyLeadersFallSeries",2010
95,95,"Jason Bohn",25,43871,7000,"MoneyLeadersFallSeries",2010
96,96,"Justin Bolli",23,43240,7000,"MoneyLeadersFallSeries",2010
97,97,"Ricky Barnes",28,41253,7000,"MoneyLeadersFallSeries",2010
97,97,"Andres Romero",21,41253,7000,"MoneyLeadersFallSeries",2010
99,99,"JP Hayes",25,40600,5000,"MoneyLeadersFallSeries",2010
100,100,"James Nitties",30,39725,11000,"MoneyLeadersFallSeries",2010
101,101,"Brian Davis",32,38148,7000,"MoneyLeadersFallSeries",2010
102,102,"Shaun Micheel",21,37090,5000,"MoneyLeadersFallSeries",2010
103,103,"Nicholas Thompson",29,35827,10000,"MoneyLeadersFallSeries",2010
104,104,"Tom Gillis",27,35379,7000,"MoneyLeadersFallSeries",2010
105,105,"Brenden Pappas",24,34951,7000,"MoneyLeadersFallSeries",2010
106,106,"Sean OHair",25,33127,7000,"MoneyLeadersFallSeries",2010
107,107,"Jamie Lovemark",4,32500,3996000,"MoneyLeadersFallSeries",2010
108,108,"Bill Lunde",28,31140,10000,"MoneyLeadersFallSeries",2010
109,109,"Troy Matteson",28,29321,5000,"MoneyLeadersFallSeries",2010
110,110,"Rich Barcelo",25,29250,7000,"MoneyLeadersFallSeries",2010
110,110,"Daniel Chopra",28,29250,10000,"MoneyLeadersFallSeries",2010
110,110,"Matt Kuchar",26,29250,10000,"MoneyLeadersFallSeries",2010
113,113,"Andrew McLardy",21,27160,6000,"MoneyLeadersFallSeries",2010
114,114,"Greg Kraft",22,26803,6000,"MoneyLeadersFallSeries",2010
115,115,"Ted Purdy",30,26179,10000,"MoneyLeadersFallSeries",2010
116,116,"Derek Lamely",28,23731,10000,"MoneyLeadersFallSeries",2010
117,117,"David Lutterus",25,21042,8000,"MoneyLeadersFallSeries",2010
118,118,"Henrik Stenson",15,21000,4000,"MoneyLeadersFallSeries",2010
119,119,"Mathias Gronberg",22,20925,6000,"MoneyLeadersFallSeries",2010
120,120,"DA Points",29,19780,5000,"MoneyLeadersFallSeries",2010
121,121,"Matt Bettencourt",32,19725,10000,"MoneyLeadersFallSeries",2010
122,122,"Billy Mayfair",26,19400,9000,"MoneyLeadersFallSeries",2010
123,123,"Todd Hamilton",20,18750,5000,"MoneyLeadersFallSeries",2010
124,124,"Jeff Gove",22,18672,6000,"MoneyLeadersFallSeries",2010
125,125,"Chad Collins",26,18566,5000,"MoneyLeadersFallSeries",2010
125,125,"Steve Lowery",25,18566,9000,"MoneyLeadersFallSeries",2010
127,127,"Blake Adams",26,18545,5000,"MoneyLeadersFallSeries",2010
128,128,"Steve Flesch",25,18469,9000,"MoneyLeadersFallSeries",2010
129,129,"Matt Every",18,18330,7000,"MoneyLeadersFallSeries",2010
129,129,"John Huston",13,18330,5000,"MoneyLeadersFallSeries",2010
131,131,"John Daly",20,18292,6000,"MoneyLeadersFallSeries",2010
132,132,"Jeff Maggert",28,18225,9000,"MoneyLeadersFallSeries",2010
133,133,"Steve Wheatcroft",27,17948,8000,"MoneyLeadersFallSeries",2010
134,134,"Steve Elkington",22,16590,7000,"MoneyLeadersFallSeries",2010
134,134,"Boo Weekley",27,16590,9000,"MoneyLeadersFallSeries",2010
136,136,"Brent Delahoussaye",21,16482,6000,"MoneyLeadersFallSeries",2010
137,137,"Chris Wilson",26,16408,8000,"MoneyLeadersFallSeries",2010
138,138,"Greg Chalmers",27,16340,7000,"MoneyLeadersFallSeries",2010
138,138,"Bob Estes",26,16340,8000,"MoneyLeadersFallSeries",2010
140,140,"Garrett Willis",24,15690,8000,"MoneyLeadersFallSeries",2010
141,141,"Danny Wax",1,14450,9e+05,"MoneyLeadersFallSeries",2010
142,142,"Carlos Franco",11,13320,3000,"MoneyLeadersFallSeries",2010
142,142,"Carl Pettersson",29,13320,7000,"MoneyLeadersFallSeries",2010
144,144,"Fred Funk",6,12731,2000,"MoneyLeadersFallSeries",2010
145,145,"Kris Blanks",30,12590,5000,"MoneyLeadersFallSeries",2010
145,145,"Kevin Na",26,12590,10000,"MoneyLeadersFallSeries",2010
147,147,"Stuart Appleby",31,11000,7000,"MoneyLeadersFallSeries",2010
148,148,"Alex Hamilton",2,10835,1800000,"MoneyLeadersFallSeries",2010
149,149,"Joe Ogilvie",32,10669,11000,"MoneyLeadersFallSeries",2010
150,150,"Greg Owen",27,10340,9000,"MoneyLeadersFallSeries",2010
151,151,"Hunter Mahan",25,10158,10000,"MoneyLeadersFallSeries",2010
151,151,"Marc Turnesa",7,10158,6966000,"MoneyLeadersFallSeries",2010
153,153,"Roger Tambellini",26,10105,8000,"MoneyLeadersFallSeries",2010
154,154,"Mark Brooks",14,10090,3000,"MoneyLeadersFallSeries",2010
155,155,"Mike Small",8,9635,6678000,"MoneyLeadersFallSeries",2010
156,156,"Vaughn Taylor",26,9460,7000,"MoneyLeadersFallSeries",2010
157,157,"Jay Williamson",24,9306,7000,"MoneyLeadersFallSeries",2010
158,158,"Jesper Parnevik",5,9165,4842000,"MoneyLeadersFallSeries",2010
159,159,"Matt Jones",27,9120,7000,"MoneyLeadersFallSeries",2010
160,160,"Michael Bradley",24,8600,8000,"MoneyLeadersFallSeries",2010
161,161,"Warren Schutte",1,8471,774000,"MoneyLeadersFallSeries",2010
162,162,"Craig Barlow",10,8310,2000,"MoneyLeadersFallSeries",2010
162,162,"Henrik Bjornstad",26,8310,8000,"MoneyLeadersFallSeries",2010
162,162,"Vance Veazey",23,8310,7000,"MoneyLeadersFallSeries",2010
165,165,"Michael ONeal",2,8120,1728000,"MoneyLeadersFallSeries",2010
166,166,"Skip Kendall",18,7812,5000,"MoneyLeadersFallSeries",2010
166,166,"Kirk Triplett",11,7812,3000,"MoneyLeadersFallSeries",2010
168,168,"Eric Axley",6,7452,1000,"MoneyLeadersFallSeries",2010
169,169,"Kevin Johnson",26,6948,9000,"MoneyLeadersFallSeries",2010
170,170,"Jim Gallagher Jr",3,6552,2196000,"MoneyLeadersFallSeries",2010
