"FairwayBunkerTendency_RANKTHISWEEK_2015","FairwayBunkerTendency_RANKLASTWEEK_2015","FairwayBunkerTendency_PLAYERNAME_2015","FairwayBunkerTendency_ROUNDS_2015","FairwayBunkerTendency_Pct_2015","FairwayBunkerTendency_TOTALFAIRWAYBUNKERS_2015","FairwayBunkerTendency_POSSIBLEFWYS_2015","FairwayBunkerTendency_RELATIVETOPAR_2015","stat_name","year"
94,94,"Scott Brown",97,6.1,68,1123,0.147,"FairwayBunkerTendency",2015
94,94,"Oscar Fraustro",58,6.1,34,553,0.382,"FairwayBunkerTendency",2015
94,94,"Fabian Gomez",83,6.1,59,961,0.153,"FairwayBunkerTendency",2015
94,94,"Troy Merritt",91,6.1,69,1132,0.145,"FairwayBunkerTendency",2015
94,94,"Greg Owen",58,6.1,34,556,-0.059,"FairwayBunkerTendency",2015
94,94,"Shawn Stefani",94,6.1,74,1213,0.257,"FairwayBunkerTendency",2015
94,94,"Justin Thomas",106,6.1,81,1319,0.099,"FairwayBunkerTendency",2015
94,94,"Nicholas Thompson",90,6.1,59,971,0.322,"FairwayBunkerTendency",2015
102,102,"Robert Allenby",63,6.2,44,707,0.25,"FairwayBunkerTendency",2015
102,102,"Jason Day",75,6.2,49,792,0,"FairwayBunkerTendency",2015
102,102,"SJ Park",79,6.2,54,873,0.333,"FairwayBunkerTendency",2015
102,102,"Sam Saunders",83,6.2,54,870,0.296,"FairwayBunkerTendency",2015
106,106,"Luke Donald",71,6.3,47,741,0.085,"FairwayBunkerTendency",2015
106,106,"Martin Flores",95,6.3,69,1091,0.188,"FairwayBunkerTendency",2015
106,106,"JJ Henry",94,6.3,66,1052,0.167,"FairwayBunkerTendency",2015
106,106,"Scott Langley",94,6.3,69,1098,0.014,"FairwayBunkerTendency",2015
106,106,"Jonathan Randolph",72,6.3,49,778,0.204,"FairwayBunkerTendency",2015
106,106,"Rory Sabbatini",81,6.3,57,910,0.018,"FairwayBunkerTendency",2015
106,106,"Jordan Spieth",91,6.3,57,907,0.035,"FairwayBunkerTendency",2015
113,113,"Padraig Harrington",60,6.4,43,669,0.209,"FairwayBunkerTendency",2015
113,113,"Alex Prugh",84,6.4,64,994,0.25,"FairwayBunkerTendency",2015
113,113,"Roger Sloan",56,6.4,35,549,0.4,"FairwayBunkerTendency",2015
116,116,"Greg Chalmers",58,6.5,32,493,0.156,"FairwayBunkerTendency",2015
116,116,"Martin Laird",77,6.5,65,1005,0.246,"FairwayBunkerTendency",2015
116,116,"Kevin Na",98,6.5,64,981,0.266,"FairwayBunkerTendency",2015
116,116,"John Peterson",84,6.5,70,1069,0.071,"FairwayBunkerTendency",2015
116,116,"Charl Schwartzel",67,6.5,37,570,0.378,"FairwayBunkerTendency",2015
116,116,"Camilo Villegas",83,6.5,66,1022,0.182,"FairwayBunkerTendency",2015
122,122,"Roberto Castro",54,6.6,33,501,0.091,"FairwayBunkerTendency",2015
122,122,"Harris English",105,6.6,79,1205,0.114,"FairwayBunkerTendency",2015
122,122,"Retief Goosen",81,6.6,54,818,0.315,"FairwayBunkerTendency",2015
122,122,"Matt Kuchar",97,6.6,71,1069,0.239,"FairwayBunkerTendency",2015
122,122,"Bill Lunde",50,6.6,33,499,0.303,"FairwayBunkerTendency",2015
122,122,"Andrew Svoboda",80,6.6,64,972,0.438,"FairwayBunkerTendency",2015
122,122,"Johnson Wagner",68,6.6,52,793,0.115,"FairwayBunkerTendency",2015
