"MoneyLeadersFallSeries_RANKTHISWEEK_2007","MoneyLeadersFallSeries_RANKLASTWEEK_2007","MoneyLeadersFallSeries_PLAYERNAME_2007","MoneyLeadersFallSeries_EVENTS_2007","MoneyLeadersFallSeries_MONEY_2007","MoneyLeadersFallSeries_YTDVICTORIES_2007","stat_name","year"
56,56,"Dean Wilson",28,182850,18000,"MoneyLeadersFallSeries",2007
57,57,"Shaun Micheel",29,180558,94000,"MoneyLeadersFallSeries",2007
58,58,"Chris Riley",17,177315,47000,"MoneyLeadersFallSeries",2007
59,59,"Jeff Gove",30,176354,94000,"MoneyLeadersFallSeries",2007
60,60,"Ryan Moore",28,174931,27000,"MoneyLeadersFallSeries",2007
61,61,"Pat Perez",27,174500,27000,"MoneyLeadersFallSeries",2007
62,62,"Michael Sim",17,172722,45000,"MoneyLeadersFallSeries",2007
63,63,"Bob May",16,171205,40000,"MoneyLeadersFallSeries",2007
64,64,"Jeff Quinney",29,168646,27000,"MoneyLeadersFallSeries",2007
65,65,"Joe Ogilvie",31,163953,18000,"MoneyLeadersFallSeries",2007
66,66,"Garrett Willis",13,157291,29000,"MoneyLeadersFallSeries",2007
67,67,"Dan Forsman",12,150165,31000,"MoneyLeadersFallSeries",2007
68,68,"JB Holmes",24,147460,18000,"MoneyLeadersFallSeries",2007
69,69,"Steve Lowery",22,146157,65000,"MoneyLeadersFallSeries",2007
70,70,"JJ Henry",26,140850,101000,"MoneyLeadersFallSeries",2007
71,71,"Greg Owen",29,136350,94000,"MoneyLeadersFallSeries",2007
72,72,"Rich Beem",29,134653,18000,"MoneyLeadersFallSeries",2007
73,73,"Bart Bryant",25,133880,18000,"MoneyLeadersFallSeries",2007
74,74,"Craig Lile",24,130356,69000,"MoneyLeadersFallSeries",2007
75,75,"Ryuji Imada",32,128871,27000,"MoneyLeadersFallSeries",2007
76,76,"Tim Herron",27,125281,18000,"MoneyLeadersFallSeries",2007
77,77,"Brian Gay",32,124020,18000,"MoneyLeadersFallSeries",2007
78,78,"Andrew Buckle",26,122250,9000,"MoneyLeadersFallSeries",2007
79,79,"Nick Flanagan",4,122028,3420000,"MoneyLeadersFallSeries",2007
80,80,"Joe Durant",28,119608,9000,"MoneyLeadersFallSeries",2007
81,81,"DJ Brigman",22,116333,65000,"MoneyLeadersFallSeries",2007
82,82,"Jerry Kelly",28,114785,27000,"MoneyLeadersFallSeries",2007
83,83,"Chris Tidland",21,114221,60000,"MoneyLeadersFallSeries",2007
84,84,"Kevin Na",27,114035,18000,"MoneyLeadersFallSeries",2007
85,85,"Tim Petrovic",32,108070,18000,"MoneyLeadersFallSeries",2007
86,86,"John Merrick",29,103055,87000,"MoneyLeadersFallSeries",2007
87,87,"Vaughn Taylor",28,103054,27000,"MoneyLeadersFallSeries",2007
88,88,"Tom Pernice Jr",31,103042,18000,"MoneyLeadersFallSeries",2007
89,89,"Mark Wilson",25,96000,27000,"MoneyLeadersFallSeries",2007
90,90,"Cliff Kresge",30,95030,18000,"MoneyLeadersFallSeries",2007
91,91,"Harrison Frazar",32,93720,99000,"MoneyLeadersFallSeries",2007
92,92,"Stewart Cink",25,92000,37000,"MoneyLeadersFallSeries",2007
93,93,"Kevin Stadler",31,88350,99000,"MoneyLeadersFallSeries",2007
94,94,"Ben Crane",9,88329,27000,"MoneyLeadersFallSeries",2007
95,95,"Richard Johnson",32,86350,106000,"MoneyLeadersFallSeries",2007
96,96,"Jason Dufner",32,86020,9000,"MoneyLeadersFallSeries",2007
97,97,"John Rollins",29,82828,37000,"MoneyLeadersFallSeries",2007
98,98,"Jay Delsing",12,76308,29000,"MoneyLeadersFallSeries",2007
99,99,"Bubba Watson",26,75912,27000,"MoneyLeadersFallSeries",2007
100,100,"Brett Wetterich",28,73600,37000,"MoneyLeadersFallSeries",2007
101,101,"Kyle Reifers",27,73391,83000,"MoneyLeadersFallSeries",2007
102,102,"Ryan Palmer",30,73304,99000,"MoneyLeadersFallSeries",2007
103,103,"Stuart Appleby",24,73028,27000,"MoneyLeadersFallSeries",2007
104,104,"Jay Williamson",14,71460,11628000,"MoneyLeadersFallSeries",2007
105,105,"Frank Lickliter II",30,68040,9000,"MoneyLeadersFallSeries",2007
106,106,"Mark Calcavecchia",28,68000,37000,"MoneyLeadersFallSeries",2007
106,106,"Phil Tataurangi",8,68000,22000,"MoneyLeadersFallSeries",2007
108,108,"Michael Boyd",21,63689,56000,"MoneyLeadersFallSeries",2007
109,109,"Jeff Maggert",26,61560,18000,"MoneyLeadersFallSeries",2007
110,110,"Kirk Triplett",25,61222,84000,"MoneyLeadersFallSeries",2007
111,111,"Duffy Waldorf",23,61093,74000,"MoneyLeadersFallSeries",2007
112,112,"Arron Oberholser",21,60857,27000,"MoneyLeadersFallSeries",2007
113,113,"Arjun Atwal",12,60018,38000,"MoneyLeadersFallSeries",2007
114,114,"John Huston",16,59753,42000,"MoneyLeadersFallSeries",2007
115,115,"Steve Marino",31,59553,27000,"MoneyLeadersFallSeries",2007
116,116,"Scott Gutschewski",22,57555,60000,"MoneyLeadersFallSeries",2007
117,117,"Craig Barlow",16,55204,47000,"MoneyLeadersFallSeries",2007
118,118,"Matt Hendrix",24,53521,69000,"MoneyLeadersFallSeries",2007
119,119,"Lucas Glover",29,52768,27000,"MoneyLeadersFallSeries",2007
120,120,"Paul Gow",26,52335,78000,"MoneyLeadersFallSeries",2007
121,121,"Billy Andrade",27,52150,92000,"MoneyLeadersFallSeries",2007
122,122,"Rich Barcelo",26,49803,83000,"MoneyLeadersFallSeries",2007
123,123,"Bob Heintz",27,49375,9000,"MoneyLeadersFallSeries",2007
124,124,"Ted Purdy",33,49292,102000,"MoneyLeadersFallSeries",2007
125,125,"Craig Kanada",34,48025,18000,"MoneyLeadersFallSeries",2007
126,126,"Joey Sindelar",25,47185,88000,"MoneyLeadersFallSeries",2007
127,127,"Fred Funk",22,43730,18000,"MoneyLeadersFallSeries",2007
128,128,"Jason Schultz",22,43572,60000,"MoneyLeadersFallSeries",2007
129,129,"Carlos Franco",12,42600,33000,"MoneyLeadersFallSeries",2007
130,130,"Robert Allenby",28,42030,37000,"MoneyLeadersFallSeries",2007
131,131,"Matt Kuchar",26,41395,18000,"MoneyLeadersFallSeries",2007
132,132,"Mark Brooks",18,40395,56000,"MoneyLeadersFallSeries",2007
133,133,"Steve Wheatcroft",25,37954,74000,"MoneyLeadersFallSeries",2007
134,134,"Bob Tway",32,37201,101000,"MoneyLeadersFallSeries",2007
135,135,"Glen Day",27,37067,83000,"MoneyLeadersFallSeries",2007
136,136,"Stephen Leaney",26,36533,93000,"MoneyLeadersFallSeries",2007
137,137,"Neal Lancaster",13,34982,24000,"MoneyLeadersFallSeries",2007
138,138,"Eric Axley",36,34276,127000,"MoneyLeadersFallSeries",2007
139,139,"Craig Bowden",25,32580,74000,"MoneyLeadersFallSeries",2007
140,140,"Russ Cochran",1,31275,810000,"MoneyLeadersFallSeries",2007
141,141,"Nick OHern",22,30225,27000,"MoneyLeadersFallSeries",2007
142,142,"Bubba Dickerson",19,29010,51000,"MoneyLeadersFallSeries",2007
143,143,"Doug LaBelle II",33,28570,18000,"MoneyLeadersFallSeries",2007
144,144,"Gavin Coles",28,28053,83000,"MoneyLeadersFallSeries",2007
145,145,"Colt Knost",4,27483,3564000,"MoneyLeadersFallSeries",2007
146,146,"Lee Janzen",24,26280,81000,"MoneyLeadersFallSeries",2007
147,147,"Grant Waite",12,25935,31000,"MoneyLeadersFallSeries",2007
148,148,"Jeff Brehaut",21,25282,56000,"MoneyLeadersFallSeries",2007
149,149,"Michael Putnam",29,24570,90000,"MoneyLeadersFallSeries",2007
150,150,"Corey Pavin",25,24003,9000,"MoneyLeadersFallSeries",2007
151,151,"Rocco Mediate",22,23642,27000,"MoneyLeadersFallSeries",2007
152,152,"Tripp Isenhour",32,23156,101000,"MoneyLeadersFallSeries",2007
153,153,"Todd Hamilton",28,23010,108000,"MoneyLeadersFallSeries",2007
154,154,"Kevin Sutherland",25,22220,27000,"MoneyLeadersFallSeries",2007
155,155,"Will Ma Kenzie",30,21620,18000,"MoneyLeadersFallSeries",2007
156,156,"Jim Rutledge",23,21231,67000,"MoneyLeadersFallSeries",2007
157,157,"John Daly",24,20073,81000,"MoneyLeadersFallSeries",2007
158,158,"Greg Kraft",10,19840,15000,"MoneyLeadersFallSeries",2007
159,159,"Robert Damron",10,18060,8604000,"MoneyLeadersFallSeries",2007
160,160,"Jim Gallagher Jr",9,16755,22000,"MoneyLeadersFallSeries",2007
161,161,"Steve Elkington",25,14350,18000,"MoneyLeadersFallSeries",2007
162,162,"Anthony Kim",26,13986,27000,"MoneyLeadersFallSeries",2007
163,163,"Ben Curtis",25,12870,92000,"MoneyLeadersFallSeries",2007
164,164,"Nathan Green",29,12360,27000,"MoneyLeadersFallSeries",2007
165,165,"Bill Lunde",1,12093,720000,"MoneyLeadersFallSeries",2007
165,165,"Darron Stiles",24,12093,70000,"MoneyLeadersFallSeries",2007
167,167,"David Duval",7,10878,22000,"MoneyLeadersFallSeries",2007
168,168,"Tom Byrum",20,9810,63000,"MoneyLeadersFallSeries",2007
168,168,"Tom Johnson",27,9810,83000,"MoneyLeadersFallSeries",2007
170,170,"Woody Austin",27,8694,37000,"MoneyLeadersFallSeries",2007
171,171,"Jim McGovern",5,8638,15000,"MoneyLeadersFallSeries",2007
172,172,"Spike McRoy",6,8280,6000,"MoneyLeadersFallSeries",2007
173,173,"Paul Trittler",1,7640,720000,"MoneyLeadersFallSeries",2007
174,174,"Oliver Thomson",2,7630,1728000,"MoneyLeadersFallSeries",2007
175,175,"Richard Green",5,7400,6222000,"MoneyLeadersFallSeries",2007
176,176,"Bob Burns",5,7245,13000,"MoneyLeadersFallSeries",2007
177,177,"Brent Geiberger",17,7120,47000,"MoneyLeadersFallSeries",2007
177,177,"Andres Gonzales",1,7120,720000,"MoneyLeadersFallSeries",2007
179,179,"Jaco Van Zyl",21,6960,56000,"MoneyLeadersFallSeries",2007
