"OnePuttPercentage_RANKTHISWEEK_2008","OnePuttPercentage_RANKLASTWEEK_2008","OnePuttPercentage_PLAYERNAME_2008","OnePuttPercentage_ROUNDS_2008","OnePuttPercentage_Pct_2008","OnePuttPercentage_OF1PUTTS_2008","OnePuttPercentage_OFHOLES_2008","stat_name","year"
34,34,"Camilo Villegas",79,39.67,557,1404,"OnePuttPercentage",2008
35,35,"Bob Tway",70,39.6,499,1260,"OnePuttPercentage",2008
36,36,"Justin Leonard",101,39.59,677,1710,"OnePuttPercentage",2008
37,37,"Geoff Ogilvy",65,39.58,456,1152,"OnePuttPercentage",2008
38,38,"Frank Lickliter II",107,39.56,762,1926,"OnePuttPercentage",2008
39,39,"JB Holmes",86,39.54,605,1530,"OnePuttPercentage",2008
40,40,"Steve Flesch",95,39.53,676,1710,"OnePuttPercentage",2008
41,41,"Joe Ogilvie",100,39.39,709,1800,"OnePuttPercentage",2008
42,42,"Retief Goosen",59,39.37,411,1044,"OnePuttPercentage",2008
43,43,"Scott McCarron",63,39.24,445,1134,"OnePuttPercentage",2008
44,44,"Brandt Snedeker",85,39.22,593,1512,"OnePuttPercentage",2008
45,45,"Paul Goydos",78,39.17,550,1404,"OnePuttPercentage",2008
46,46,"Mark Wilson",107,39.15,754,1926,"OnePuttPercentage",2008
47,47,"JP Hayes",67,39.14,472,1206,"OnePuttPercentage",2008
48,48,"Marc Turnesa",87,39.08,612,1566,"OnePuttPercentage",2008
49,49,"Jason Day",81,38.96,568,1458,"OnePuttPercentage",2008
50,50,"Charlie Wi",97,38.95,680,1746,"OnePuttPercentage",2008
51,51,"Tim Herron",97,38.83,678,1746,"OnePuttPercentage",2008
52,52,"Dudley Hart",74,38.74,516,1332,"OnePuttPercentage",2008
53,53,"John Rollins",94,38.71,655,1692,"OnePuttPercentage",2008
54,54,"Matt Jones",95,38.6,660,1710,"OnePuttPercentage",2008
55,55,"Chad Collins",72,38.58,500,1296,"OnePuttPercentage",2008
56,56,"Tag Ridings",88,38.57,611,1584,"OnePuttPercentage",2008
57,57,"Chris DiMarco",87,38.51,603,1566,"OnePuttPercentage",2008
58,58,"Stewart Cink",87,38.48,561,1458,"OnePuttPercentage",2008
59,59,"Ernie Els",51,38.44,346,900,"OnePuttPercentage",2008
60,60,"Scott Verplank",82,38.41,560,1458,"OnePuttPercentage",2008
61,61,"David Duval",51,38.34,352,918,"OnePuttPercentage",2008
62,62,"Mark Hensby",71,38.26,489,1278,"OnePuttPercentage",2008
63,63,"Davis Love III",78,38.25,537,1404,"OnePuttPercentage",2008
64,64,"KJ Choi",74,38.17,481,1260,"OnePuttPercentage",2008
65,65,"Todd Hamilton",92,38.16,632,1656,"OnePuttPercentage",2008
66,66,"Steve Elkington",84,38.03,575,1512,"OnePuttPercentage",2008
67,67,"Johnson Wagner",83,38.02,568,1494,"OnePuttPercentage",2008
68,68,"Rod Pampling",83,37.99,547,1440,"OnePuttPercentage",2008
69,69,"Parker McLachlin",88,37.88,600,1584,"OnePuttPercentage",2008
70,70,"Jason Gore",94,37.83,640,1692,"OnePuttPercentage",2008
70,70,"David Toms",70,37.83,463,1224,"OnePuttPercentage",2008
72,72,"Pat Perez",93,37.8,626,1656,"OnePuttPercentage",2008
73,73,"Kevin Sutherland",98,37.76,666,1764,"OnePuttPercentage",2008
74,74,"Rocco Mediate",87,37.74,591,1566,"OnePuttPercentage",2008
75,75,"Jeff Maggert",86,37.73,584,1548,"OnePuttPercentage",2008
76,76,"Will Ma Kenzie",62,37.72,421,1116,"OnePuttPercentage",2008
77,77,"Kenny Perry",97,37.69,658,1746,"OnePuttPercentage",2008
78,78,"Mark Calcavecchia",67,37.63,447,1188,"OnePuttPercentage",2008
78,78,"Michael Letzig",88,37.63,596,1584,"OnePuttPercentage",2008
78,78,"Patrick Sheehan",124,37.63,840,2232,"OnePuttPercentage",2008
81,81,"Stephen Ames",83,37.6,555,1476,"OnePuttPercentage",2008
82,82,"Chad Campbell",94,37.59,636,1692,"OnePuttPercentage",2008
83,83,"Brett Rumford",72,37.58,487,1296,"OnePuttPercentage",2008
84,84,"Dean Wilson",109,37.56,737,1962,"OnePuttPercentage",2008
85,85,"Rory Sabbatini",77,37.5,513,1368,"OnePuttPercentage",2008
86,86,"Bart Bryant",81,37.45,546,1458,"OnePuttPercentage",2008
87,87,"Todd Demsey",80,37.43,539,1440,"OnePuttPercentage",2008
88,88,"Fred Couples",60,37.41,404,1080,"OnePuttPercentage",2008
89,89,"Sergio Garcia",72,37.3,470,1260,"OnePuttPercentage",2008
89,89,"Lucas Glover",91,37.3,611,1638,"OnePuttPercentage",2008
91,91,"Mathias Gronberg",87,37.23,583,1566,"OnePuttPercentage",2008
91,91,"DJ Trahan",94,37.23,630,1692,"OnePuttPercentage",2008
93,93,"Adam Scott",51,37.19,328,882,"OnePuttPercentage",2008
94,94,"Craig Kanada",65,37.18,435,1170,"OnePuttPercentage",2008
95,95,"Jim Furyk",95,37.17,629,1692,"OnePuttPercentage",2008
96,96,"Jeff Overton",103,37.16,689,1854,"OnePuttPercentage",2008
97,97,"YE Yang",89,37.08,594,1602,"OnePuttPercentage",2008
98,98,"Michael Allen",91,37,606,1638,"OnePuttPercentage",2008
99,99,"Vijay Singh",82,36.89,518,1404,"OnePuttPercentage",2008
100,100,"Ryan Palmer",69,36.88,458,1242,"OnePuttPercentage",2008
100,100,"Tim Petrovic",97,36.88,644,1746,"OnePuttPercentage",2008
102,102,"Nicholas Thompson",113,36.87,750,2034,"OnePuttPercentage",2008
103,103,"Greg Kraft",63,36.86,418,1134,"OnePuttPercentage",2008
104,104,"Charley Hoffman",94,36.82,623,1692,"OnePuttPercentage",2008
105,105,"Zach Johnson",85,36.77,556,1512,"OnePuttPercentage",2008
106,106,"Ben Curtis",80,36.74,529,1440,"OnePuttPercentage",2008
107,107,"Rich Beem",90,36.73,595,1620,"OnePuttPercentage",2008
108,108,"Tommy Armour III",77,36.65,508,1386,"OnePuttPercentage",2008
108,108,"Dustin Johnson",92,36.65,607,1656,"OnePuttPercentage",2008
110,110,"Nick Watney",96,36.57,632,1728,"OnePuttPercentage",2008
111,111,"Robert Garrigus",90,36.54,592,1620,"OnePuttPercentage",2008
112,112,"George McNeill",97,36.48,637,1746,"OnePuttPercentage",2008
113,113,"Brenden Pappas",66,36.45,433,1188,"OnePuttPercentage",2008
114,114,"Woody Austin",109,36.4,688,1890,"OnePuttPercentage",2008
115,115,"Bill Haas",99,36.36,648,1782,"OnePuttPercentage",2008
116,116,"Cody Freeman",66,36.2,430,1188,"OnePuttPercentage",2008
117,117,"Steve Marino",119,36.18,775,2142,"OnePuttPercentage",2008
118,118,"Matt Kuchar",88,36.17,573,1584,"OnePuttPercentage",2008
119,119,"Peter Lonard",92,36.11,598,1656,"OnePuttPercentage",2008
119,119,"Chez Reavie",102,36.11,663,1836,"OnePuttPercentage",2008
121,121,"Martin Laird",98,36.05,636,1764,"OnePuttPercentage",2008
122,122,"Mathew Goggin",91,36.02,590,1638,"OnePuttPercentage",2008
123,123,"Omar Uresti",74,35.96,479,1332,"OnePuttPercentage",2008
124,124,"Angel Cabrera",55,35.95,330,918,"OnePuttPercentage",2008
125,125,"Shigeki Maruyama",50,35.89,323,900,"OnePuttPercentage",2008
126,126,"Sean OHair",81,35.87,523,1458,"OnePuttPercentage",2008
127,127,"Tom Lehman",51,35.84,329,918,"OnePuttPercentage",2008
128,128,"Charles Howell III",101,35.8,638,1782,"OnePuttPercentage",2008
129,129,"Robert Gamez",79,35.79,509,1422,"OnePuttPercentage",2008
129,129,"Tim Wilkinson",95,35.79,612,1710,"OnePuttPercentage",2008
131,131,"Brett Quigley",80,35.76,515,1440,"OnePuttPercentage",2008
132,132,"Bob Estes",90,35.68,578,1620,"OnePuttPercentage",2008
132,132,"Heath Slocum",104,35.68,668,1872,"OnePuttPercentage",2008
134,134,"Lee Janzen",89,35.64,571,1602,"OnePuttPercentage",2008
135,135,"Nick Flanagan",89,35.58,570,1602,"OnePuttPercentage",2008
136,136,"Jerry Kelly",89,35.54,563,1584,"OnePuttPercentage",2008
136,136,"Billy Mayfair",103,35.54,659,1854,"OnePuttPercentage",2008
138,138,"Kevin Streelman",114,35.48,728,2052,"OnePuttPercentage",2008
139,139,"Bo Van Pelt",101,35.37,643,1818,"OnePuttPercentage",2008
140,140,"Stephen Leaney",53,35.32,337,954,"OnePuttPercentage",2008
141,141,"Trevor Immelman",70,35.29,432,1224,"OnePuttPercentage",2008
141,141,"Chris Riley",51,35.29,324,918,"OnePuttPercentage",2008
143,143,"Troy Matteson",94,35.28,597,1692,"OnePuttPercentage",2008
144,144,"Marco Dawson",64,35.16,405,1152,"OnePuttPercentage",2008
144,144,"Brad Elder",67,35.16,424,1206,"OnePuttPercentage",2008
146,146,"Brandt Jobe",52,35.15,329,936,"OnePuttPercentage",2008
147,147,"James Driscoll",85,35.1,537,1530,"OnePuttPercentage",2008
148,148,"Jason Allred",63,35.01,397,1134,"OnePuttPercentage",2008
149,149,"Boo Weekley",86,34.81,520,1494,"OnePuttPercentage",2008
150,150,"Ryan Armour",87,34.8,545,1566,"OnePuttPercentage",2008
151,151,"Jimmy Walker",73,34.78,457,1314,"OnePuttPercentage",2008
152,152,"Bubba Watson",97,34.77,607,1746,"OnePuttPercentage",2008
153,153,"Robert Allenby",108,34.68,668,1926,"OnePuttPercentage",2008
154,154,"Glen Day",64,34.55,398,1152,"OnePuttPercentage",2008
155,155,"Cliff Kresge",84,34.52,522,1512,"OnePuttPercentage",2008
156,156,"Hunter Mahan",87,34.51,528,1530,"OnePuttPercentage",2008
157,157,"Brad Adamonis",87,34.48,540,1566,"OnePuttPercentage",2008
158,158,"Alex Cejka",75,34.44,465,1350,"OnePuttPercentage",2008
159,159,"Cameron Beckman",87,34.42,539,1566,"OnePuttPercentage",2008
160,160,"Paul Casey",55,34.4,322,936,"OnePuttPercentage",2008
161,161,"John Huston",56,34.23,345,1008,"OnePuttPercentage",2008
162,162,"Jin Park",85,34.18,523,1530,"OnePuttPercentage",2008
163,163,"Doug LaBelle II",65,34.1,399,1170,"OnePuttPercentage",2008
164,164,"Carlos Franco",73,34.02,447,1314,"OnePuttPercentage",2008
165,165,"Tom Scherrer",56,33.93,342,1008,"OnePuttPercentage",2008
166,166,"Charles Warren",79,33.83,481,1422,"OnePuttPercentage",2008
167,167,"Bob Sowards",61,33.79,371,1098,"OnePuttPercentage",2008
168,168,"John Senden",93,33.76,559,1656,"OnePuttPercentage",2008
169,169,"John Riegger",73,33.71,443,1314,"OnePuttPercentage",2008
170,170,"Kent Jones",68,33.66,412,1224,"OnePuttPercentage",2008
171,171,"Alejandro Canizares",52,33.65,315,936,"OnePuttPercentage",2008
172,172,"JJ Henry",108,33.59,653,1944,"OnePuttPercentage",2008
173,173,"Kevin Stadler",90,33.58,544,1620,"OnePuttPercentage",2008
174,174,"Briny Baird",113,33.33,678,2034,"OnePuttPercentage",2008
174,174,"Olin Browne",77,33.33,462,1386,"OnePuttPercentage",2008
176,176,"Scott Sterling",89,33.27,533,1602,"OnePuttPercentage",2008
177,177,"Kyle Thompson",70,33.17,418,1260,"OnePuttPercentage",2008
178,178,"Justin Bolli",87,32.95,516,1566,"OnePuttPercentage",2008
179,179,"John Merrick",98,32.88,580,1764,"OnePuttPercentage",2008
180,180,"Jim McGovern",75,32.81,443,1350,"OnePuttPercentage",2008
181,181,"Kenneth Ferrie",72,32.79,425,1296,"OnePuttPercentage",2008
182,182,"Billy Andrade",71,32.71,418,1278,"OnePuttPercentage",2008
183,183,"Jon Mills",95,32.69,559,1710,"OnePuttPercentage",2008
184,184,"David Lutterus",59,32.67,347,1062,"OnePuttPercentage",2008
185,185,"Gavin Coles",54,32.41,315,972,"OnePuttPercentage",2008
186,186,"Travis Perkins",53,32.29,308,954,"OnePuttPercentage",2008
187,187,"Paul Claxton",63,32.28,366,1134,"OnePuttPercentage",2008
189,189,"Chris Stroud",81,31.82,464,1458,"OnePuttPercentage",2008
190,190,"Ted Purdy",68,31.45,385,1224,"OnePuttPercentage",2008
191,191,"Jeff Gove",50,31.44,283,900,"OnePuttPercentage",2008
192,192,"Steve Allan",58,31.32,327,1044,"OnePuttPercentage",2008
193,193,"Harrison Frazar",73,31.28,411,1314,"OnePuttPercentage",2008
194,194,"Tommy Gainey",60,31.2,337,1080,"OnePuttPercentage",2008
195,195,"Ron Whittaker",54,30.97,301,972,"OnePuttPercentage",2008
196,196,"Jay Williamson",96,30.96,535,1728,"OnePuttPercentage",2008
197,197,"Joe Durant",92,29.53,489,1656,"OnePuttPercentage",2008
