"NonWGCFedExCupSeasonPointsforNonMembers_RANKTHISWEEK_2009","NonWGCFedExCupSeasonPointsforNonMembers_RANKLASTWEEK_2009","NonWGCFedExCupSeasonPointsforNonMembers_PLAYERNAME_2009","NonWGCFedExCupSeasonPointsforNonMembers_EVENTS_2009","NonWGCFedExCupSeasonPointsforNonMembers_POINTS_2009","stat_name","year"
80,80,"Andrew Ruthkoski",2,2,"NonWGCFedExCupSeasonPointsforNonMembers",2009
81,81,"Esteban Toledo",2,2,"NonWGCFedExCupSeasonPointsforNonMembers",2009
81,81,"James Vargas",1,2,"NonWGCFedExCupSeasonPointsforNonMembers",2009
83,83,"John Ellis",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2009
83,83,"Chris Kirk",2,1,"NonWGCFedExCupSeasonPointsforNonMembers",2009
85,85,"Daniel Gaunt",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2009
86,86,"Gregory Bisconti",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2009
86,86,"Matthew Loving",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2009
88,88,"Grant Sturgeon",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2009
89,89,"Junpei Takayama",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2009
90,90,"Alastair Forsyth",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2009
91,91,"Cortland Lowe",2,1,"NonWGCFedExCupSeasonPointsforNonMembers",2009
92,92,"Ryan Helminen",1,NA,"NonWGCFedExCupSeasonPointsforNonMembers",2009
