"NonmemberEarnings_RANKTHISWEEK_2011","NonmemberEarnings_RANKLASTWEEK_2011","NonmemberEarnings_PLAYERNAME_2011","NonmemberEarnings_EVENTS_2011","NonmemberEarnings_MONEY_2011","NonmemberEarnings_TOTAL_2011","stat_name","year"
33,33,"Alexander Noren",4,64708,111208,"NonmemberEarnings",2011
34,34,"Do Hoon Kim",1,50436,50436,"NonmemberEarnings",2011
35,35,"Mathias Gronberg",1,42000,42000,"NonmemberEarnings",2011
36,36,"Sangmoon Bae",2,37351,37351,"NonmemberEarnings",2011
37,37,"Gary Boyd",1,36302,36302,"NonmemberEarnings",2011
37,37,"Simon Khan",1,36302,36302,"NonmemberEarnings",2011
39,39,"Mike Small",6,27152,27152,"NonmemberEarnings",2011
40,40,"Gregory Bourdy",2,23556,23556,"NonmemberEarnings",2011
40,40,"Floris De Vries",1,23556,23556,"NonmemberEarnings",2011
40,40,"Richard McEvoy",1,23556,23556,"NonmemberEarnings",2011
43,43,"Jose Manuel Lara",1,23526,23526,"NonmemberEarnings",2011
44,44,"Garth Mulroy",4,20800,20800,"NonmemberEarnings",2011
45,45,"Fredrik Andersson Hed",2,20571,20571,"NonmemberEarnings",2011
45,45,"Stephen Gallacher",3,20571,20571,"NonmemberEarnings",2011
47,47,"Patrick Reed",3,20058,20058,"NonmemberEarnings",2011
48,48,"Joost Luiten",2,19845,19845,"NonmemberEarnings",2011
48,48,"Matthew Millar",1,19845,19845,"NonmemberEarnings",2011
50,50,"Marcel Siem",1,19763,19763,"NonmemberEarnings",2011
51,51,"Paul Lawrie",1,19442,19442,"NonmemberEarnings",2011
52,52,"Kenneth Ferrie",1,18877,18877,"NonmemberEarnings",2011
53,53,"Junggon Hwang",1,18716,18716,"NonmemberEarnings",2011
54,54,"Drew Weaver",2,17732,17732,"NonmemberEarnings",2011
55,55,"Alejandro Canizares",2,17469,17469,"NonmemberEarnings",2011
56,56,"Josh Broadaway",1,17357,17357,"NonmemberEarnings",2011
57,57,"Christo Greyling",1,17178,17178,"NonmemberEarnings",2011
57,57,"Kenichi Kuboya",1,17178,17178,"NonmemberEarnings",2011
59,59,"Wes Heffernan",1,16539,16539,"NonmemberEarnings",2011
60,60,"Mathew Goggin",1,16157,16157,"NonmemberEarnings",2011
61,61,"Erick Justesen",1,16088,16088,"NonmemberEarnings",2011
62,62,"WC Liang",2,15593,15593,"NonmemberEarnings",2011
63,63,"Troy Kelly",1,13542,13542,"NonmemberEarnings",2011
64,64,"Steve Allan",1,13380,13380,"NonmemberEarnings",2011
65,65,"Todd Fischer",3,12900,12900,"NonmemberEarnings",2011
66,66,"Billy Hurley III",3,12780,12780,"NonmemberEarnings",2011
67,67,"Craig Bowden",4,11864,11864,"NonmemberEarnings",2011
68,68,"Will Claxton",1,11275,11275,"NonmemberEarnings",2011
69,69,"Julian Etulain",1,11261,11261,"NonmemberEarnings",2011
69,69,"Sal Spallone",1,11261,11261,"NonmemberEarnings",2011
71,71,"Michio Matsumura",1,10395,10395,"NonmemberEarnings",2011
72,72,"Brad Fritsch",1,10348,10348,"NonmemberEarnings",2011
73,73,"Dustin Risdon",1,10192,10192,"NonmemberEarnings",2011
74,74,"Richard Scott",1,8400,8400,"NonmemberEarnings",2011
75,75,"Dave Schultz",1,7035,7035,"NonmemberEarnings",2011
76,76,"Bob May",2,6690,6690,"NonmemberEarnings",2011
77,77,"Alex Aragon",2,5760,5760,"NonmemberEarnings",2011
