"LateScoringAverage_RANKTHISWEEK_2012","LateScoringAverage_RANKLASTWEEK_2012","LateScoringAverage_PLAYERNAME_2012","LateScoringAverage_ROUNDS_2012","LateScoringAverage_AVG_2012","LateScoringAverage_TOTALSTROKES_2012","LateScoringAverage_TOTALLATEROUNDS_2012","stat_name","year"
66,66,"Jhonattan Vegas",77,70.91,2411,34,"LateScoringAverage",2012
68,68,"Roberto Castro",92,70.92,2624,37,"LateScoringAverage",2012
69,69,"Matt Every",80,70.93,3121,44,"LateScoringAverage",2012
70,70,"George McNeill",85,70.94,2412,34,"LateScoringAverage",2012
70,70,"Camilo Villegas",79,70.94,2554,36,"LateScoringAverage",2012
72,72,"John Mallinger",74,70.95,2625,37,"LateScoringAverage",2012
72,72,"Cameron Tringale",88,70.95,2838,40,"LateScoringAverage",2012
74,74,"Jeff Overton",101,70.96,3477,49,"LateScoringAverage",2012
75,75,"Harris English",98,70.98,3265,46,"LateScoringAverage",2012
76,76,"Kevin Chappell",91,71.03,2699,38,"LateScoringAverage",2012
77,77,"Richard Lee",71,71.04,1847,26,"LateScoringAverage",2012
77,77,"William McGirt",96,71.04,3481,49,"LateScoringAverage",2012
79,79,"Geoff Ogilvy",73,71.06,2274,32,"LateScoringAverage",2012
80,80,"Rod Pampling",88,71.07,2061,29,"LateScoringAverage",2012
81,81,"Jonathan Byrd",69,71.08,2772,39,"LateScoringAverage",2012
81,81,"Carl Pettersson",92,71.08,3483,49,"LateScoringAverage",2012
83,83,"Charlie Beljan",61,71.1,2062,29,"LateScoringAverage",2012
83,83,"Michael Thompson",80,71.1,2773,39,"LateScoringAverage",2012
85,85,"Nick Watney",97,71.11,3129,44,"LateScoringAverage",2012
85,85,"Charlie Wi",86,71.11,3200,45,"LateScoringAverage",2012
87,87,"Billy Mayfair",90,71.13,3201,45,"LateScoringAverage",2012
87,87,"Pat Perez",81,71.13,2845,40,"LateScoringAverage",2012
89,89,"Erik Compton",81,71.14,2561,36,"LateScoringAverage",2012
90,90,"Jason Day",57,71.15,1921,27,"LateScoringAverage",2012
90,90,"Charles Howell III",98,71.15,3700,52,"LateScoringAverage",2012
92,92,"Scott Stallings",78,71.16,2704,38,"LateScoringAverage",2012
93,93,"Spencer Levin",81,71.18,2420,34,"LateScoringAverage",2012
93,93,"Ryan Palmer",81,71.18,3203,45,"LateScoringAverage",2012
95,95,"Trevor Immelman",76,71.19,2563,36,"LateScoringAverage",2012
95,95,"Jerry Kelly",84,71.19,2634,37,"LateScoringAverage",2012
97,97,"Charley Hoffman",88,71.2,3204,45,"LateScoringAverage",2012
98,98,"DJ Trahan",73,71.22,2279,32,"LateScoringAverage",2012
99,99,"Kevin Streelman",89,71.23,3419,48,"LateScoringAverage",2012
100,100,"Chris Couch",61,71.24,1781,25,"LateScoringAverage",2012
100,100,"Graham DeLaet",79,71.24,2707,38,"LateScoringAverage",2012
100,100,"Brian Gay",91,71.24,2921,41,"LateScoringAverage",2012
103,103,"Gavin Coles",72,71.26,2209,31,"LateScoringAverage",2012
103,103,"Boo Weekley",74,71.26,2209,31,"LateScoringAverage",2012
105,105,"Jason Bohn",81,71.28,2780,39,"LateScoringAverage",2012
105,105,"Brian Davis",91,71.28,3350,47,"LateScoringAverage",2012
105,105,"Tim Herron",88,71.28,2851,40,"LateScoringAverage",2012
105,105,"Jason Kokrak",79,71.28,2566,36,"LateScoringAverage",2012
105,105,"Jeff Maggert",83,71.28,2780,39,"LateScoringAverage",2012
110,110,"Blake Adams",107,71.3,3565,50,"LateScoringAverage",2012
110,110,"DA Points",88,71.3,3137,44,"LateScoringAverage",2012
110,110,"Dicky Pride",62,71.3,2139,30,"LateScoringAverage",2012
113,113,"Vaughn Taylor",81,71.31,2781,39,"LateScoringAverage",2012
114,114,"Russell Knox",72,71.32,2211,31,"LateScoringAverage",2012
115,115,"Ricky Barnes",92,71.33,2782,39,"LateScoringAverage",2012
115,115,"Hunter Mahan",88,71.33,2853,40,"LateScoringAverage",2012
117,117,"JB Holmes",90,71.36,2997,42,"LateScoringAverage",2012
117,117,"Kevin Na",80,71.36,2997,42,"LateScoringAverage",2012
117,117,"Kyle Stanley",86,71.36,2997,42,"LateScoringAverage",2012
120,120,"Mark Wilson",84,71.38,2284,32,"LateScoringAverage",2012
121,121,"Jimmy Walker",101,71.4,3713,52,"LateScoringAverage",2012
122,122,"Gary Christian",91,71.41,2928,41,"LateScoringAverage",2012
122,122,"Sergio Garcia",57,71.41,2285,32,"LateScoringAverage",2012
124,124,"Alexandre Rocha",62,71.42,1857,26,"LateScoringAverage",2012
125,125,"John Daly",50,71.43,1643,23,"LateScoringAverage",2012
126,126,"Chris Stroud",86,71.44,3215,45,"LateScoringAverage",2012
127,127,"Troy Kelly",68,71.45,2358,33,"LateScoringAverage",2012
127,127,"Kyle Reifers",86,71.45,2858,40,"LateScoringAverage",2012
129,129,"Garth Mulroy",59,71.46,2001,28,"LateScoringAverage",2012
130,130,"Johnson Wagner",88,71.47,3216,45,"LateScoringAverage",2012
131,131,"Bob Estes",78,71.49,2645,37,"LateScoringAverage",2012
131,131,"Martin Flores",95,71.49,2931,41,"LateScoringAverage",2012
133,133,"James Driscoll",83,71.5,2860,40,"LateScoringAverage",2012
134,134,"Chez Reavie",83,71.51,2932,41,"LateScoringAverage",2012
134,134,"Rory Sabbatini",84,71.51,2789,39,"LateScoringAverage",2012
136,136,"Ian Poulter",57,71.52,2217,31,"LateScoringAverage",2012
137,137,"Mathew Goggin",65,71.53,2146,30,"LateScoringAverage",2012
138,138,"Brian Harman",101,71.55,3005,42,"LateScoringAverage",2012
139,139,"Harrison Frazar",56,71.57,2147,30,"LateScoringAverage",2012
140,140,"Nick OHern",78,71.59,2434,34,"LateScoringAverage",2012
141,141,"Bill Lunde",83,71.6,2506,35,"LateScoringAverage",2012
142,142,"Greg Chalmers",88,71.63,3080,43,"LateScoringAverage",2012
143,143,"Marc Leishman",84,71.64,2794,39,"LateScoringAverage",2012
143,143,"David Toms",60,71.64,2006,28,"LateScoringAverage",2012
145,145,"Robert Karlsson",54,71.68,1362,19,"LateScoringAverage",2012
146,146,"Michael Bradley",63,71.69,1864,26,"LateScoringAverage",2012
147,147,"Robert Allenby",76,71.71,2510,35,"LateScoringAverage",2012
147,147,"Brandt Jobe",57,71.71,1506,21,"LateScoringAverage",2012
149,149,"Chris DiMarco",83,71.72,2797,39,"LateScoringAverage",2012
149,149,"JJ Killeen",101,71.72,3299,46,"LateScoringAverage",2012
149,149,"Henrik Stenson",51,71.72,2080,29,"LateScoringAverage",2012
152,152,"Stewart Cink",71,71.74,2224,31,"LateScoringAverage",2012
152,152,"Josh Teater",97,71.74,2798,39,"LateScoringAverage",2012
154,154,"Martin Laird",77,71.78,2943,41,"LateScoringAverage",2012
155,155,"Arjun Atwal",79,71.81,2657,37,"LateScoringAverage",2012
155,155,"Greg Owen",90,71.81,3088,43,"LateScoringAverage",2012
157,157,"Ryo Ishikawa",54,71.85,1868,26,"LateScoringAverage",2012
158,158,"Stephen Ames",54,71.86,2012,28,"LateScoringAverage",2012
159,159,"Mark Anderson",75,71.89,2516,35,"LateScoringAverage",2012
159,159,"Tommy Gainey",98,71.89,3882,54,"LateScoringAverage",2012
161,161,"Aaron Baddeley",73,71.91,2445,34,"LateScoringAverage",2012
162,162,"Miguel Angel Carballo",73,71.93,2158,30,"LateScoringAverage",2012
163,163,"Brendon Todd",78,71.95,2734,38,"LateScoringAverage",2012
164,164,"Sangmoon Bae",81,72.03,2593,36,"LateScoringAverage",2012
164,164,"Scott Brown",65,72.03,2305,32,"LateScoringAverage",2012
166,166,"Scott Dunlap",57,72.04,2017,28,"LateScoringAverage",2012
167,167,"Colt Knost",79,72.06,2522,35,"LateScoringAverage",2012
168,168,"Marco Dawson",60,72.08,1730,24,"LateScoringAverage",2012
169,169,"Kris Blanks",65,72.1,2163,30,"LateScoringAverage",2012
170,170,"Brendan Steele",77,72.11,2019,28,"LateScoringAverage",2012
171,171,"Edward Loar",59,72.15,1876,26,"LateScoringAverage",2012
172,172,"Ted Potter Jr",77,72.16,2742,38,"LateScoringAverage",2012
173,173,"Freddie Jacobson",61,72.23,2239,31,"LateScoringAverage",2012
173,173,"Andres Romero",68,72.23,2239,31,"LateScoringAverage",2012
175,175,"Derek Lamely",64,72.34,2098,29,"LateScoringAverage",2012
176,176,"David Mathis",83,72.36,2822,39,"LateScoringAverage",2012
176,176,"YE Yang",64,72.36,2026,28,"LateScoringAverage",2012
178,178,"KJ Choi",71,72.38,2316,32,"LateScoringAverage",2012
179,179,"Daniel Chopra",55,72.39,2027,28,"LateScoringAverage",2012
180,180,"Angel Cabrera",54,72.44,1811,25,"LateScoringAverage",2012
180,180,"Kyle Thompson",51,72.44,1811,25,"LateScoringAverage",2012
182,182,"Hunter Haas",69,72.48,2102,29,"LateScoringAverage",2012
183,183,"Sung Kang",75,72.6,2541,35,"LateScoringAverage",2012
184,184,"Ryuji Imada",78,72.62,2469,34,"LateScoringAverage",2012
185,185,"Patrick Sheehan",58,72.7,1963,27,"LateScoringAverage",2012
185,185,"Gary Woodland",70,72.7,2690,37,"LateScoringAverage",2012
187,187,"Matt Bettencourt",80,72.83,2549,35,"LateScoringAverage",2012
188,188,"Tom Pernice Jr",62,72.85,1894,26,"LateScoringAverage",2012
189,189,"Stephen Gangluff",57,72.89,2041,28,"LateScoringAverage",2012
190,190,"Tommy Biershenk",74,73.16,2341,32,"LateScoringAverage",2012
191,191,"Billy Hurley III",70,73.17,2195,30,"LateScoringAverage",2012
