"StrokesGainedTeetoGreen_RANKTHISWEEK_2007","StrokesGainedTeetoGreen_RANKLASTWEEK_2007","StrokesGainedTeetoGreen_PLAYERNAME_2007","StrokesGainedTeetoGreen_ROUNDS_2007","StrokesGainedTeetoGreen_AVERAGE_2007","StrokesGainedTeetoGreen_TOTALSGT2G_2007","StrokesGainedTeetoGreen_SGTOTAL_2007","StrokesGainedTeetoGreen_TOTALSGP_2007","StrokesGainedTeetoGreen_MEASUREDROUNDS_2007","stat_name","year"
66,NA,"Freddie Jacobson",70,0.328,21.967,63.438,41.471,67,"StrokesGainedTeetoGreen",2007
67,NA,"Nick OHern",72,0.327,17.013,15.851,-1.162,52,"StrokesGainedTeetoGreen",2007
68,NA,"Bart Bryant",87,0.321,23.423,35.851,12.428,73,"StrokesGainedTeetoGreen",2007
69,NA,"Hunter Mahan",91,0.32,23.045,35.081,12.036,72,"StrokesGainedTeetoGreen",2007
70,NA,"John Merrick",92,0.312,24.662,-9.691,-34.353,79,"StrokesGainedTeetoGreen",2007
71,NA,"Matt Kuchar",85,0.311,21.438,26.854,5.416,69,"StrokesGainedTeetoGreen",2007
72,NA,"Steve Marino",106,0.3,26.728,15.16,-11.568,89,"StrokesGainedTeetoGreen",2007
73,NA,"Ryan Moore",92,0.288,21.022,35.121,14.099,73,"StrokesGainedTeetoGreen",2007
74,NA,"Johnson Wagner",97,0.281,24.125,4.782,-19.343,86,"StrokesGainedTeetoGreen",2007
75,NA,"Jay Williamson",50,0.275,13.218,17.433,4.215,48,"StrokesGainedTeetoGreen",2007
76,NA,"Tim Herron",98,0.274,21.615,33.208,11.593,79,"StrokesGainedTeetoGreen",2007
77,NA,"Chad Campbell",96,0.261,18.563,-15.764,-34.327,71,"StrokesGainedTeetoGreen",2007
78,NA,"Steve Flesch",100,0.234,20.563,-1.006,-21.569,88,"StrokesGainedTeetoGreen",2007
79,NA,"Retief Goosen",50,0.233,7.673,6.988,-0.685,33,"StrokesGainedTeetoGreen",2007
80,NA,"Kent Jones",97,0.217,18.878,6.28,-12.598,87,"StrokesGainedTeetoGreen",2007
81,NA,"Mathew Goggin",97,0.204,17.325,19.984,2.659,85,"StrokesGainedTeetoGreen",2007
82,NA,"Stewart Cink",91,0.2,14.007,47.259,33.252,70,"StrokesGainedTeetoGreen",2007
83,NA,"Ted Purdy",102,0.199,16.892,-18.353,-35.245,85,"StrokesGainedTeetoGreen",2007
84,NA,"Bubba Watson",80,0.198,13.046,18.433,5.387,66,"StrokesGainedTeetoGreen",2007
85,NA,"Vaughn Taylor",91,0.189,13.606,30.897,17.291,72,"StrokesGainedTeetoGreen",2007
86,NA,"Darron Stiles",65,0.181,9.398,-44.149,-53.547,52,"StrokesGainedTeetoGreen",2007
87,NA,"Tom Pernice Jr",104,0.178,14.977,38.195,23.218,84,"StrokesGainedTeetoGreen",2007
88,NA,"JP Hayes",89,0.17,13.574,13.621,0.047,80,"StrokesGainedTeetoGreen",2007
89,NA,"Stephen Leaney",82,0.16,11.168,28.418,17.25,70,"StrokesGainedTeetoGreen",2007
90,NA,"Jose Coceres",50,0.143,5.999,-5.856,-11.855,42,"StrokesGainedTeetoGreen",2007
91,NA,"Rocco Mediate",72,0.128,8.424,2.073,-6.351,66,"StrokesGainedTeetoGreen",2007
92,NA,"Pat Perez",84,0.124,7.832,21.447,13.615,63,"StrokesGainedTeetoGreen",2007
93,NA,"Chris DiMarco",79,0.115,7.254,2.979,-4.275,63,"StrokesGainedTeetoGreen",2007
94,NA,"Jonathan Byrd",73,0.107,6.664,25.631,18.967,62,"StrokesGainedTeetoGreen",2007
95,NA,"Rich Beem",89,0.101,7.086,6.275,-0.811,70,"StrokesGainedTeetoGreen",2007
96,NA,"Daniel Chopra",106,0.082,7.801,28.92,21.119,95,"StrokesGainedTeetoGreen",2007
97,NA,"Harrison Frazar",88,0.076,5.463,-28.736,-34.199,72,"StrokesGainedTeetoGreen",2007
98,NA,"JB Holmes",71,0.074,4.634,-32.522,-37.156,63,"StrokesGainedTeetoGreen",2007
99,NA,"Jeff Maggert",79,0.071,5.471,1.294,-4.177,77,"StrokesGainedTeetoGreen",2007
100,NA,"Brandt Snedeker",105,0.054,4.6,52.024,47.424,85,"StrokesGainedTeetoGreen",2007
101,NA,"Craig Barlow",52,0.046,1.915,-8.68,-10.595,42,"StrokesGainedTeetoGreen",2007
