"LongestHoleOutsinyards_RANKTHISWEEK_2011","LongestHoleOutsinyards_RANKLASTWEEK_2011","LongestHoleOutsinyards_PLAYERNAME_2011","LongestHoleOutsinyards_ROUNDS_2011","LongestHoleOutsinyards_DISTANCE_2011","LongestHoleOutsinyards_TOURNAMENT_2011","LongestHoleOutsinyards_ROUNDCOURSE_2011","LongestHoleOutsinyards_HOLE_2011","stat_name","year"
33,33,"Derek Lamely",65,159,NA,2,16,"LongestHoleOutsinyards",2011
33,34,"Hunter Haas",96,159,NA,2,13,"LongestHoleOutsinyards",2011
35,35,"Ricky Barnes",78,158,NA,1,4,"LongestHoleOutsinyards",2011
36,36,"George McNeill",69,157,NA,1,6,"LongestHoleOutsinyards",2011
38,38,"Richard Johnson",64,155,NA,1,12,"LongestHoleOutsinyards",2011
39,39,"Boo Weekley",66,152,NA,3,12,"LongestHoleOutsinyards",2011
40,40,"DJ Brigman",67,150,NA,3,11,"LongestHoleOutsinyards",2011
40,41,"Jarrod Lyle",83,150,NA,2,16,"LongestHoleOutsinyards",2011
44,44,"Greg Chalmers",88,146,NA,2,16,"LongestHoleOutsinyards",2011
44,45,"Brandt Snedeker",85,146,NA,2,16,"LongestHoleOutsinyards",2011
44,46,"Jonathan Byrd",83,146,NA,2,7,"LongestHoleOutsinyards",2011
44,47,"Steven Bowditch",86,146,NA,4,9,"LongestHoleOutsinyards",2011
48,48,"Kenny Perry",36,143,NA,4,6,"LongestHoleOutsinyards",2011
49,49,"Bo Van Pelt",92,141,NA,4,10,"LongestHoleOutsinyards",2011
50,50,"Rickie Fowler",84,133,NA,1,15,"LongestHoleOutsinyards",2011
51,52,"Aaron Baddeley",77,131,NA,3,4,"LongestHoleOutsinyards",2011
51,51,"Tony Finau",2,131,NA,2,3,"LongestHoleOutsinyards",2011
51,53,"Jason Dufner",78,131,NA,1,8,"LongestHoleOutsinyards",2011
54,54,"Anthony Kim",72,130,NA,4,6,"LongestHoleOutsinyards",2011
56,58,"Shane Bertsch",62,129,NA,1,12,"LongestHoleOutsinyards",2011
56,57,"Alexandre Rocha",65,129,NA,1,2,"LongestHoleOutsinyards",2011
59,59,"Bobby Gates",82,127,NA,1,13,"LongestHoleOutsinyards",2011
59,60,"David Duval",67,127,NA,2,5,"LongestHoleOutsinyards",2011
61,61,"Ryan Moore",79,126,NA,3,4,"LongestHoleOutsinyards",2011
61,63,"Robert Gamez",23,126,NA,2,6,"LongestHoleOutsinyards",2011
64,64,"Peter Uihlein",16,125,NA,2,7,"LongestHoleOutsinyards",2011
