"BirdieorBetterPercentageLess125_RANKTHISWEEK_2007","BirdieorBetterPercentageLess125_RANKLASTWEEK_2007","BirdieorBetterPercentageLess125_PLAYERNAME_2007","BirdieorBetterPercentageLess125_ROUNDS_2007","BirdieorBetterPercentageLess125_Pct_2007","BirdieorBetterPercentageLess125_TOTALBIRDIES_2007","BirdieorBetterPercentageLess125_TOTALHOLES_2007","stat_name","year"
61,61,"Nathan Green",103,23.1,70,303,"BirdieorBetterPercentageLess125",2007
61,61,"Brandt Snedeker",105,23.1,79,342,"BirdieorBetterPercentageLess125",2007
64,64,"Ted Purdy",102,23.04,85,369,"BirdieorBetterPercentageLess125",2007
65,65,"Boo Weekley",101,22.9,79,345,"BirdieorBetterPercentageLess125",2007
66,66,"Charles Warren",101,22.85,85,372,"BirdieorBetterPercentageLess125",2007
67,67,"Paul Gow",70,22.78,54,237,"BirdieorBetterPercentageLess125",2007
68,68,"Charlie Wi",90,22.75,76,334,"BirdieorBetterPercentageLess125",2007
69,69,"Michael Allen",74,22.62,57,252,"BirdieorBetterPercentageLess125",2007
70,70,"Ryan Armour",107,22.6,92,407,"BirdieorBetterPercentageLess125",2007
70,70,"Cliff Kresge",107,22.6,87,385,"BirdieorBetterPercentageLess125",2007
72,72,"Rory Sabbatini",81,22.59,54,239,"BirdieorBetterPercentageLess125",2007
73,73,"George McNeill",95,22.56,74,328,"BirdieorBetterPercentageLess125",2007
74,74,"Brian Davis",101,22.53,82,364,"BirdieorBetterPercentageLess125",2007
75,75,"John Rollins",102,22.5,81,360,"BirdieorBetterPercentageLess125",2007
76,76,"Joe Ogilvie",102,22.46,84,374,"BirdieorBetterPercentageLess125",2007
77,77,"Bubba Dickerson",51,22.44,46,205,"BirdieorBetterPercentageLess125",2007
78,78,"Brett Quigley",79,22.39,58,259,"BirdieorBetterPercentageLess125",2007
79,79,"Craig Barlow",52,22.33,46,206,"BirdieorBetterPercentageLess125",2007
80,80,"Jay Williamson",50,22.32,52,233,"BirdieorBetterPercentageLess125",2007
81,81,"Steve Wheatcroft",73,22.31,56,251,"BirdieorBetterPercentageLess125",2007
82,82,"Jason Bohn",57,22.29,39,175,"BirdieorBetterPercentageLess125",2007
83,83,"Lee Janzen",66,22.27,47,211,"BirdieorBetterPercentageLess125",2007
84,84,"Alex Cejka",80,22.26,71,319,"BirdieorBetterPercentageLess125",2007
84,84,"Hunter Mahan",91,22.26,61,274,"BirdieorBetterPercentageLess125",2007
86,86,"Craig Kanada",109,22.25,91,409,"BirdieorBetterPercentageLess125",2007
86,86,"Steve Marino",106,22.25,85,382,"BirdieorBetterPercentageLess125",2007
