"EarlyPar4ScoringAverage_RANKTHISWEEK_2010","EarlyPar4ScoringAverage_RANKLASTWEEK_2010","EarlyPar4ScoringAverage_PLAYERNAME_2010","EarlyPar4ScoringAverage_ROUNDS_2010","EarlyPar4ScoringAverage_AVG_2010","EarlyPar4ScoringAverage_TOTALSTROKES_2010","EarlyPar4ScoringAverage_TOTALHOLES_2010","stat_name","year"
111,111,"Mathias Gronberg",61,4.04,1484,367,"EarlyPar4ScoringAverage",2010
111,111,"Trevor Immelman",55,4.04,1167,289,"EarlyPar4ScoringAverage",2010
111,111,"Lee Janzen",77,4.04,1740,431,"EarlyPar4ScoringAverage",2010
111,111,"Matt Jones",89,4.04,1891,468,"EarlyPar4ScoringAverage",2010
111,111,"Martin Laird",91,4.04,2020,500,"EarlyPar4ScoringAverage",2010
111,111,"Marc Leishman",87,4.04,2188,541,"EarlyPar4ScoringAverage",2010
111,111,"Hunter Mahan",85,4.04,1732,429,"EarlyPar4ScoringAverage",2010
111,111,"Troy Matteson",84,4.04,2002,496,"EarlyPar4ScoringAverage",2010
111,111,"Billy Mayfair",78,4.04,1631,404,"EarlyPar4ScoringAverage",2010
111,111,"Ryan Moore",80,4.04,1566,388,"EarlyPar4ScoringAverage",2010
111,111,"Brenden Pappas",66,4.04,1433,355,"EarlyPar4ScoringAverage",2010
111,111,"Aron Price",70,4.04,1277,316,"EarlyPar4ScoringAverage",2010
111,111,"Brett Quigley",96,4.04,2398,593,"EarlyPar4ScoringAverage",2010
111,111,"Brandt Snedeker",89,4.04,1953,483,"EarlyPar4ScoringAverage",2010
111,111,"Johnson Wagner",85,4.04,1866,462,"EarlyPar4ScoringAverage",2010
130,130,"Angel Cabrera",64,4.05,1123,277,"EarlyPar4ScoringAverage",2010
130,130,"Mark Calcavecchia",50,4.05,1101,272,"EarlyPar4ScoringAverage",2010
130,130,"Ben Curtis",78,4.05,2010,496,"EarlyPar4ScoringAverage",2010
130,130,"Brian Davis",101,4.05,2276,562,"EarlyPar4ScoringAverage",2010
130,130,"Jason Day",82,4.05,1700,420,"EarlyPar4ScoringAverage",2010
130,130,"Tim Herron",79,4.05,1711,422,"EarlyPar4ScoringAverage",2010
130,130,"John Merrick",109,4.05,2723,673,"EarlyPar4ScoringAverage",2010
130,130,"Shaun Micheel",70,4.05,1362,336,"EarlyPar4ScoringAverage",2010
130,130,"James Nitties",92,4.05,1931,477,"EarlyPar4ScoringAverage",2010
130,130,"Greg Owen",69,4.05,1376,340,"EarlyPar4ScoringAverage",2010
130,130,"Kenny Perry",69,4.05,1357,335,"EarlyPar4ScoringAverage",2010
130,130,"Vaughn Taylor",87,4.05,1997,493,"EarlyPar4ScoringAverage",2010
130,130,"Chris Tidland",77,4.05,1859,459,"EarlyPar4ScoringAverage",2010
130,130,"Omar Uresti",74,4.05,1740,430,"EarlyPar4ScoringAverage",2010
144,144,"Cameron Beckman",68,4.06,1363,336,"EarlyPar4ScoringAverage",2010
144,144,"Jonathan Byrd",85,4.06,1854,457,"EarlyPar4ScoringAverage",2010
144,144,"Daniel Chopra",74,4.06,1678,413,"EarlyPar4ScoringAverage",2010
144,144,"George McNeill",79,4.06,1753,432,"EarlyPar4ScoringAverage",2010
144,144,"Geoff Ogilvy",62,4.06,1173,289,"EarlyPar4ScoringAverage",2010
144,144,"Jeff Overton",89,4.06,1852,456,"EarlyPar4ScoringAverage",2010
144,144,"Scott Piercy",88,4.06,2089,515,"EarlyPar4ScoringAverage",2010
144,144,"DA Points",90,4.06,2122,523,"EarlyPar4ScoringAverage",2010
144,144,"Roland Thatcher",72,4.06,1585,390,"EarlyPar4ScoringAverage",2010
153,153,"Matt Bettencourt",91,4.07,2017,495,"EarlyPar4ScoringAverage",2010
153,153,"Sergio Garcia",58,4.07,1343,330,"EarlyPar4ScoringAverage",2010
153,153,"Derek Lamely",81,4.07,1978,486,"EarlyPar4ScoringAverage",2010
153,153,"Davis Love III",79,4.07,1653,406,"EarlyPar4ScoringAverage",2010
153,153,"Bill Lunde",79,4.07,1816,446,"EarlyPar4ScoringAverage",2010
153,153,"Jeff Maggert",76,4.07,1779,437,"EarlyPar4ScoringAverage",2010
153,153,"Rocco Mediate",71,4.07,1733,426,"EarlyPar4ScoringAverage",2010
153,153,"Ian Poulter",55,4.07,1237,304,"EarlyPar4ScoringAverage",2010
153,153,"Josh Teater",101,4.07,2232,548,"EarlyPar4ScoringAverage",2010
153,153,"Scott Verplank",74,4.07,1832,450,"EarlyPar4ScoringAverage",2010
153,153,"Steve Wheatcroft",74,4.07,1729,425,"EarlyPar4ScoringAverage",2010
164,164,"Steve Flesch",78,4.08,2013,493,"EarlyPar4ScoringAverage",2010
164,164,"Rod Pampling",77,4.08,1943,476,"EarlyPar4ScoringAverage",2010
164,164,"Ted Purdy",86,4.08,2075,508,"EarlyPar4ScoringAverage",2010
164,164,"Cameron Tringale",55,4.08,1094,268,"EarlyPar4ScoringAverage",2010
164,164,"Mike Weir",59,4.08,1281,314,"EarlyPar4ScoringAverage",2010
164,164,"Chris Wilson",65,4.08,1349,331,"EarlyPar4ScoringAverage",2010
170,170,"Rich Barcelo",70,4.09,1639,401,"EarlyPar4ScoringAverage",2010
170,170,"Jason Bohn",84,4.09,1896,464,"EarlyPar4ScoringAverage",2010
170,170,"Craig Bowden",56,4.09,1212,296,"EarlyPar4ScoringAverage",2010
170,170,"John Daly",63,4.09,1636,400,"EarlyPar4ScoringAverage",2010
174,174,"Kris Blanks",91,4.1,1727,421,"EarlyPar4ScoringAverage",2010
174,174,"Jeff Gove",57,4.1,1399,341,"EarlyPar4ScoringAverage",2010
174,174,"Nathan Green",86,4.1,1895,462,"EarlyPar4ScoringAverage",2010
174,174,"Steve Lowery",67,4.1,1715,418,"EarlyPar4ScoringAverage",2010
174,174,"Garth Mulroy",53,4.1,1140,278,"EarlyPar4ScoringAverage",2010
174,174,"Roger Tambellini",77,4.1,1676,409,"EarlyPar4ScoringAverage",2010
180,180,"Stuart Appleby",101,4.11,2501,609,"EarlyPar4ScoringAverage",2010
180,180,"Martin Flores",75,4.11,1587,386,"EarlyPar4ScoringAverage",2010
180,180,"John Mallinger",78,4.11,1403,341,"EarlyPar4ScoringAverage",2010
180,180,"Troy Merritt",86,4.11,2035,495,"EarlyPar4ScoringAverage",2010
180,180,"Jerod Turner",54,4.11,1520,370,"EarlyPar4ScoringAverage",2010
185,185,"Kevin Johnson",62,4.12,1427,346,"EarlyPar4ScoringAverage",2010
186,186,"David Lutterus",69,4.13,1770,429,"EarlyPar4ScoringAverage",2010
186,186,"Vance Veazey",58,4.13,1463,354,"EarlyPar4ScoringAverage",2010
188,188,"Andrew McLardy",52,4.14,1162,281,"EarlyPar4ScoringAverage",2010
189,189,"David Duval",71,4.15,1660,400,"EarlyPar4ScoringAverage",2010
190,190,"Justin Bolli",55,4.17,1167,280,"EarlyPar4ScoringAverage",2010
191,191,"Brad Faxon",58,4.18,1382,331,"EarlyPar4ScoringAverage",2010
192,192,"Greg Kraft",52,4.19,1077,257,"EarlyPar4ScoringAverage",2010
