"LongestPutts_RANKTHISWEEK_2009","LongestPutts_RANKLASTWEEK_2009","LongestPutts_PLAYERNAME_2009","LongestPutts_ROUNDS_2009","LongestPutts_DISTANCE_2009","LongestPutts_YEARTOURN_2009","LongestPutts_ROUND_2009","LongestPutts_HOLE_2009","stat_name","year"
59,59,"Robert Allenby",71,NA,NA,2,2,"LongestPutts",2009
59,60,"Alex Cejka",82,NA,NA,1,12,"LongestPutts",2009
61,61,"Bart Bryant",58,NA,NA,3,18,"LongestPutts",2009
61,63,"Kris Blanks",60,NA,NA,3,12,"LongestPutts",2009
61,62,"Lucas Lee",2,NA,NA,2,3,"LongestPutts",2009
64,64,"Matt Bettencourt",98,NA,NA,2,6,"LongestPutts",2009
65,65,"Ryuji Imada",85,NA,NA,3,17,"LongestPutts",2009
66,66,"Brad Faxon",59,NA,NA,4,2,"LongestPutts",2009
67,67,"Michael Letzig",96,NA,NA,3,17,"LongestPutts",2009
68,69,"Charles Howell III",99,NA,NA,1,12,"LongestPutts",2009
71,71,"Brad Adamonis",70,NA,NA,2,18,"LongestPutts",2009
73,73,"Webb Simpson",94,NA,NA,1,16,"LongestPutts",2009
74,75,"Brian Gay",96,NA,NA,4,8,"LongestPutts",2009
74,74,"Peter Lonard",86,NA,NA,2,3,"LongestPutts",2009
77,79,"Greg Chalmers",85,NA,NA,4,11,"LongestPutts",2009
77,78,"Ben Curtis",63,NA,NA,4,14,"LongestPutts",2009
77,77,"Johnson Wagner",81,NA,NA,4,9,"LongestPutts",2009
81,81,"Lucas Glover",93,NA,NA,2,1,"LongestPutts",2009
82,82,"Stephen Ames",77,NA,NA,4,6,"LongestPutts",2009
82,83,"Ricky Barnes",67,NA,NA,1,7,"LongestPutts",2009
85,85,"Brian Bateman",55,NA,NA,2,18,"LongestPutts",2009
85,86,"Steve Marino",98,NA,NA,3,3,"LongestPutts",2009
88,89,"Sean OHair",80,NA,NA,1,4,"LongestPutts",2009
90,91,"Justin Rose",71,NA,NA,1,17,"LongestPutts",2009
93,93,"Tiger Woods",64,NA,NA,2,9,"LongestPutts",2009
96,96,"Kevin Sutherland",96,NA,NA,5,15,"LongestPutts",2009
97,97,"JJ Henry",97,NA,NA,1,8,"LongestPutts",2009
98,98,"Ryan Moore",89,NA,NA,2,1,"LongestPutts",2009
99,99,"Richard Sterne",23,NA,NA,4,9,"LongestPutts",2009
100,100,"Charles Warren",63,NA,NA,2,10,"LongestPutts",2009
101,101,"Bubba Watson",73,NA,NA,4,7,"LongestPutts",2009
102,104,"YE Yang",83,NA,NA,1,9,"LongestPutts",2009
102,103,"Richard Finch",6,NA,NA,1,4,"LongestPutts",2009
102,102,"Jimmy Walker",74,NA,NA,4,16,"LongestPutts",2009
106,106,"Mike Weir",85,NA,NA,2,1,"LongestPutts",2009
107,107,"Scott Verplank",88,NA,NA,3,16,"LongestPutts",2009
110,111,"Eric Axley",71,NA,NA,2,13,"LongestPutts",2009
110,110,"Peter Tomasulo",61,NA,NA,2,18,"LongestPutts",2009
112,113,"Cliff Kresge",78,NA,NA,2,9,"LongestPutts",2009
112,112,"Mathew Goggin",76,NA,NA,2,18,"LongestPutts",2009
112,114,"Ted Purdy",101,NA,NA,1,10,"LongestPutts",2009
115,115,"Dean Wilson",81,NA,NA,3,5,"LongestPutts",2009
116,116,"Sergio Garcia",59,NA,NA,1,13,"LongestPutts",2009
118,119,"Brandt Snedeker",81,NA,NA,1,18,"LongestPutts",2009
120,120,"Garth Mulroy",4,NA,NA,1,4,"LongestPutts",2009
122,122,"DJ Trahan",96,NA,NA,3,11,"LongestPutts",2009
124,125,"Michael Bradley",45,NA,NA,2,10,"LongestPutts",2009
124,124,"James Nitties",86,NA,NA,3,13,"LongestPutts",2009
126,126,"Michael Allen",73,NA,NA,4,18,"LongestPutts",2009
127,128,"Tim Clark",81,NA,NA,1,4,"LongestPutts",2009
129,129,"Bob Estes",78,NA,NA,1,16,"LongestPutts",2009
129,130,"Aaron Watkins",48,NA,NA,1,1,"LongestPutts",2009
131,132,"Scott Hoch",4,NA,NA,4,4,"LongestPutts",2009
133,133,"Fred Couples",54,NA,NA,3,2,"LongestPutts",2009
133,135,"Matt Jones",56,NA,NA,1,18,"LongestPutts",2009
136,136,"David Berganio Jr",43,NA,NA,1,12,"LongestPutts",2009
137,137,"Bill Haas",91,NA,NA,4,5,"LongestPutts",2009
137,139,"Troy Kelly",40,NA,NA,1,7,"LongestPutts",2009
140,140,"Aron Price",89,NA,NA,1,13,"LongestPutts",2009
141,141,"Kent Jones",73,NA,NA,4,4,"LongestPutts",2009
141,142,"Ben Crane",93,NA,NA,2,12,"LongestPutts",2009
148,149,"David Peoples",18,NA,NA,4,5,"LongestPutts",2009
148,148,"Rory Sabbatini",81,NA,NA,1,17,"LongestPutts",2009
151,152,"Corey Pavin",73,NA,NA,1,10,"LongestPutts",2009
153,156,"Jonathan Kaye",49,NA,NA,1,18,"LongestPutts",2009
153,157,"Scott Piercy",85,NA,NA,3,15,"LongestPutts",2009
153,155,"Roland Thatcher",44,NA,NA,1,12,"LongestPutts",2009
158,158,"Brett Quigley",92,NA,NA,4,13,"LongestPutts",2009
160,161,"Harrison Frazar",93,NA,NA,1,9,"LongestPutts",2009
162,163,"Brian Davis",103,NA,NA,4,9,"LongestPutts",2009
162,164,"Alvaro Quiros",25,NA,NA,4,13,"LongestPutts",2009
166,167,"John Huston",39,NA,NA,3,11,"LongestPutts",2009
168,168,"Charlie Wi",92,NA,NA,3,11,"LongestPutts",2009
170,171,"Paul Goydos",79,NA,NA,1,12,"LongestPutts",2009
173,174,"Tom Byrum",10,NA,NA,2,2,"LongestPutts",2009
176,176,"Lee Janzen",74,NA,NA,3,18,"LongestPutts",2009
176,178,"Yuji Igarashi",4,NA,NA,4,6,"LongestPutts",2009
182,183,"Billy Mayfair",83,NA,NA,1,4,"LongestPutts",2009
184,184,"Justin Leonard",95,NA,NA,2,13,"LongestPutts",2009
184,185,"Matthew Borchert",48,NA,NA,1,8,"LongestPutts",2009
186,187,"Jason Dufner",90,NA,NA,4,11,"LongestPutts",2009
188,188,"Tim Petrovic",97,NA,NA,1,11,"LongestPutts",2009
188,189,"Mathias Gronberg",37,NA,NA,1,15,"LongestPutts",2009
192,193,"Retief Goosen",74,NA,NA,1,11,"LongestPutts",2009
192,192,"Carl Pettersson",86,NA,NA,4,12,"LongestPutts",2009
194,194,"Briny Baird",89,NA,NA,1,8,"LongestPutts",2009
196,196,"Steve Flesch",77,NA,NA,1,18,"LongestPutts",2009
