"PuttingfromGrtr10_RANKTHISWEEK_2009","PuttingfromGrtr10_RANKLASTWEEK_2009","PuttingfromGrtr10_PLAYERNAME_2009","PuttingfromGrtr10_ROUNDS_2009","PuttingfromGrtr10_PctMADE_2009","PuttingfromGrtr10_ATTEMPTS_2009","PuttingfromGrtr10_PUTTSMADE_2009","stat_name","year"
24,24,"Mike Weir",85,17.3,653,113,"PuttingfromGrtr10",2009
25,25,"Bryce Molder",69,17.26,585,101,"PuttingfromGrtr10",2009
26,26,"Brian Gay",96,17.25,806,139,"PuttingfromGrtr10",2009
26,26,"Ted Purdy",101,17.25,968,167,"PuttingfromGrtr10",2009
28,28,"Dustin Johnson",85,17.24,673,116,"PuttingfromGrtr10",2009
28,28,"David Mathis",82,17.24,696,120,"PuttingfromGrtr10",2009
28,28,"Carl Pettersson",86,17.24,789,136,"PuttingfromGrtr10",2009
31,31,"George McNeill",82,17.21,796,137,"PuttingfromGrtr10",2009
32,32,"Charlie Wi",92,17.19,791,136,"PuttingfromGrtr10",2009
33,33,"Justin Leonard",95,17.13,759,130,"PuttingfromGrtr10",2009
34,34,"Ben Curtis",63,17.06,510,87,"PuttingfromGrtr10",2009
35,35,"Joe Ogilvie",85,17.03,775,132,"PuttingfromGrtr10",2009
36,36,"Jeff Quinney",78,16.99,718,122,"PuttingfromGrtr10",2009
37,37,"Steve Stricker",81,16.97,601,102,"PuttingfromGrtr10",2009
38,38,"Kenny Perry",92,16.95,761,129,"PuttingfromGrtr10",2009
39,39,"Mark Wilson",99,16.94,921,156,"PuttingfromGrtr10",2009
40,40,"Bo Van Pelt",100,16.91,816,138,"PuttingfromGrtr10",2009
41,41,"Jerry Kelly",90,16.79,792,133,"PuttingfromGrtr10",2009
42,42,"James Nitties",86,16.71,790,132,"PuttingfromGrtr10",2009
43,43,"Derek Fathauer",63,16.7,521,87,"PuttingfromGrtr10",2009
43,43,"Corey Pavin",73,16.7,563,94,"PuttingfromGrtr10",2009
45,45,"Hunter Mahan",94,16.67,816,136,"PuttingfromGrtr10",2009
46,46,"Chris Riley",77,16.64,679,113,"PuttingfromGrtr10",2009
47,47,"DA Points",99,16.61,909,151,"PuttingfromGrtr10",2009
48,48,"Paul Goydos",79,16.54,665,110,"PuttingfromGrtr10",2009
49,49,"Martin Laird",72,16.52,666,110,"PuttingfromGrtr10",2009
50,50,"Ben Crane",93,16.46,814,134,"PuttingfromGrtr10",2009
51,51,"David Toms",98,16.45,857,141,"PuttingfromGrtr10",2009
52,52,"Zach Johnson",94,16.4,823,135,"PuttingfromGrtr10",2009
53,53,"Phil Mickelson",66,16.38,470,77,"PuttingfromGrtr10",2009
54,54,"Daniel Chopra",89,16.29,798,130,"PuttingfromGrtr10",2009
54,54,"Freddie Jacobson",83,16.29,761,124,"PuttingfromGrtr10",2009
56,56,"Sergio Garcia",59,16.23,462,75,"PuttingfromGrtr10",2009
57,57,"Vaughn Taylor",88,16.2,821,133,"PuttingfromGrtr10",2009
58,58,"Sean OHair",80,16.16,594,96,"PuttingfromGrtr10",2009
59,59,"Aaron Baddeley",66,16.11,571,92,"PuttingfromGrtr10",2009
60,60,"Bob Estes",78,16.08,678,109,"PuttingfromGrtr10",2009
61,61,"Aron Price",89,16.04,854,137,"PuttingfromGrtr10",2009
62,62,"Kirk Triplett",60,16.02,568,91,"PuttingfromGrtr10",2009
63,63,"Bill Lunde",83,16.01,818,131,"PuttingfromGrtr10",2009
64,64,"Jonathan Byrd",89,15.96,821,131,"PuttingfromGrtr10",2009
65,65,"Anthony Kim",76,15.92,578,92,"PuttingfromGrtr10",2009
66,66,"Jeff Klauk",97,15.91,949,151,"PuttingfromGrtr10",2009
67,67,"Ryan Moore",89,15.9,780,124,"PuttingfromGrtr10",2009
67,67,"Jeff Overton",92,15.9,742,118,"PuttingfromGrtr10",2009
69,69,"Matt Weibring",65,15.88,554,88,"PuttingfromGrtr10",2009
69,69,"Tiger Woods",64,15.88,485,77,"PuttingfromGrtr10",2009
71,71,"Scott Verplank",88,15.87,813,129,"PuttingfromGrtr10",2009
72,72,"Nick OHern",90,15.84,871,138,"PuttingfromGrtr10",2009
