"LeftRoughTendencyRTPScore_RANKTHISWEEK_2009","LeftRoughTendencyRTPScore_RANKLASTWEEK_2009","LeftRoughTendencyRTPScore_PLAYERNAME_2009","LeftRoughTendencyRTPScore_ROUNDS_2009","LeftRoughTendencyRTPScore_RTPSCORE_2009","stat_name","year"
47,47,"Chad Campbell",90,0.05,"LeftRoughTendencyRTPScore",2009
48,48,"Marc Leishman",91,0.052,"LeftRoughTendencyRTPScore",2009
48,48,"Bo Van Pelt",100,0.052,"LeftRoughTendencyRTPScore",2009
48,48,"Brian Vranesh",51,0.052,"LeftRoughTendencyRTPScore",2009
51,51,"Aron Price",89,0.053,"LeftRoughTendencyRTPScore",2009
52,52,"Bubba Watson",73,0.054,"LeftRoughTendencyRTPScore",2009
53,53,"Bob Heintz",59,0.056,"LeftRoughTendencyRTPScore",2009
53,53,"Jimmy Walker",74,0.056,"LeftRoughTendencyRTPScore",2009
55,55,"Alex Cejka",82,0.059,"LeftRoughTendencyRTPScore",2009
56,56,"Scott McCarron",91,0.06,"LeftRoughTendencyRTPScore",2009
57,57,"Chris DiMarco",97,0.066,"LeftRoughTendencyRTPScore",2009
58,58,"Aaron Baddeley",66,0.067,"LeftRoughTendencyRTPScore",2009
58,58,"Greg Owen",97,0.067,"LeftRoughTendencyRTPScore",2009
58,58,"Rory Sabbatini",81,0.067,"LeftRoughTendencyRTPScore",2009
61,61,"Justin Leonard",95,0.068,"LeftRoughTendencyRTPScore",2009
62,62,"Jason Dufner",90,0.07,"LeftRoughTendencyRTPScore",2009
63,63,"Zach Johnson",94,0.071,"LeftRoughTendencyRTPScore",2009
63,63,"Camilo Villegas",76,0.071,"LeftRoughTendencyRTPScore",2009
65,65,"Ben Crane",93,0.073,"LeftRoughTendencyRTPScore",2009
65,65,"Jason Gore",74,0.073,"LeftRoughTendencyRTPScore",2009
65,65,"Charlie Wi",92,0.073,"LeftRoughTendencyRTPScore",2009
68,68,"JB Holmes",74,0.074,"LeftRoughTendencyRTPScore",2009
68,68,"Chris Stroud",88,0.074,"LeftRoughTendencyRTPScore",2009
70,70,"John Merrick",91,0.075,"LeftRoughTendencyRTPScore",2009
71,71,"George McNeill",82,0.078,"LeftRoughTendencyRTPScore",2009
72,72,"Ryan Moore",89,0.079,"LeftRoughTendencyRTPScore",2009
73,73,"Greg Chalmers",85,0.083,"LeftRoughTendencyRTPScore",2009
74,74,"Freddie Jacobson",83,0.085,"LeftRoughTendencyRTPScore",2009
74,74,"Jeff Klauk",97,0.085,"LeftRoughTendencyRTPScore",2009
74,74,"Vaughn Taylor",88,0.085,"LeftRoughTendencyRTPScore",2009
77,77,"Steve Flesch",77,0.088,"LeftRoughTendencyRTPScore",2009
