"ProximitytoHolefrom_RANKTHISWEEK_2007","ProximitytoHolefrom_RANKLASTWEEK_2007","ProximitytoHolefrom_PLAYERNAME_2007","ProximitytoHolefrom_ROUNDS_2007","ProximitytoHolefrom_AVGDTP_2007","ProximitytoHolefrom_TOTALDISTANCEFEET_2007","ProximitytoHolefrom_OFSHOTS_2007","ProximitytoHolefrom_SCRAMBLINGRANK_2007","stat_name","year"
101,101,"Bryce Molder",56,NA,313.25,83,134,"ProximitytoHolefrom",2007
101,101,"Jeff Quinney",95,NA,578.167,155,146,"ProximitytoHolefrom",2007
101,101,"Heath Slocum",101,NA,608.833,162,16,"ProximitytoHolefrom",2007
101,101,"DJ Trahan",99,NA,566.833,152,63,"ProximitytoHolefrom",2007
101,101,"Camilo Villegas",82,NA,505.167,136,98,"ProximitytoHolefrom",2007
101,101,"Steve Wheatcroft",73,NA,400.417,106,148,"ProximitytoHolefrom",2007
113,113,"Michael Allen",74,NA,395.75,103,153,"ProximitytoHolefrom",2007
113,113,"Woody Austin",95,NA,506.333,133,24,"ProximitytoHolefrom",2007
113,113,"Rich Beem",89,NA,442.917,115,170,"ProximitytoHolefrom",2007
113,113,"Robert Gamez",88,NA,507.583,132,191,"ProximitytoHolefrom",2007
113,113,"Richard Johnson",93,NA,390.583,103,118,"ProximitytoHolefrom",2007
113,113,"Craig Lile",77,NA,434.5,113,38,"ProximitytoHolefrom",2007
113,113,"John Merrick",92,NA,419.417,109,150,"ProximitytoHolefrom",2007
113,113,"Carl Pettersson",111,NA,614.917,159,93,"ProximitytoHolefrom",2007
113,113,"Tag Ridings",52,NA,295.25,77,94,"ProximitytoHolefrom",2007
113,113,"Bob Tway",103,NA,606,157,106,"ProximitytoHolefrom",2007
113,113,"Bubba Watson",80,NA,424.083,111,113,"ProximitytoHolefrom",2007
113,113,"Tiger Woods",63,NA,286.25,75,20,"ProximitytoHolefrom",2007
125,125,"Gavin Coles",87,NA,548.25,141,10,"ProximitytoHolefrom",2007
125,125,"Ernie Els",59,NA,336.083,86,37,"ProximitytoHolefrom",2007
125,125,"Todd Hamilton",76,NA,486.25,125,189,"ProximitytoHolefrom",2007
125,125,"Charley Hoffman",97,NA,710.167,182,175,"ProximitytoHolefrom",2007
