"AverageDistanceofBirdieputtsmade_RANKTHISWEEK_2009","AverageDistanceofBirdieputtsmade_RANKLASTWEEK_2009","AverageDistanceofBirdieputtsmade_PLAYERNAME_2009","AverageDistanceofBirdieputtsmade_ROUNDS_2009","AverageDistanceofBirdieputtsmade_AVG_2009","AverageDistanceofBirdieputtsmade_TOTDISTFT_2009","AverageDistanceofBirdieputtsmade_TOTBIRDIEPUTTSMADE_2009","AverageDistanceofBirdieputtsmade_LONGESTMADEFT_2009","AverageDistanceofBirdieputtsmade_SHORTESTMADEFT_2009","stat_name","year"
52,52,"John Merrick",91,NA,2143.75,214,65,NA,"AverageDistanceofBirdieputtsmade",2009
52,52,"Pat Perez",74,NA,2072.167,207,71,NA,"AverageDistanceofBirdieputtsmade",2009
56,56,"Lucas Glover",93,NA,2795.25,282,57,NA,"AverageDistanceofBirdieputtsmade",2009
56,56,"Bryce Molder",69,NA,1930.333,194,39,NA,"AverageDistanceofBirdieputtsmade",2009
56,56,"Kevin Sutherland",96,NA,2588.5,261,56,NA,"AverageDistanceofBirdieputtsmade",2009
56,56,"Gary Woodland",53,NA,1240,125,48,NA,"AverageDistanceofBirdieputtsmade",2009
60,60,"Derek Fathauer",63,NA,1500.25,152,34,NA,"AverageDistanceofBirdieputtsmade",2009
60,60,"JJ Henry",97,NA,2535.833,257,56,NA,"AverageDistanceofBirdieputtsmade",2009
60,60,"Freddie Jacobson",83,NA,2503.333,255,37,NA,"AverageDistanceofBirdieputtsmade",2009
60,60,"Marc Leishman",91,NA,2892,293,48,NA,"AverageDistanceofBirdieputtsmade",2009
60,60,"Mark Wilson",99,NA,2926.5,297,36,NA,"AverageDistanceofBirdieputtsmade",2009
65,65,"Rich Beem",77,NA,1869.5,192,42,NA,"AverageDistanceofBirdieputtsmade",2009
65,65,"Chris DiMarco",97,NA,2583.5,264,61,NA,"AverageDistanceofBirdieputtsmade",2009
65,65,"Joe Durant",62,NA,1668.167,171,43,NA,"AverageDistanceofBirdieputtsmade",2009
65,65,"Jim Furyk",86,NA,2401.25,246,44,NA,"AverageDistanceofBirdieputtsmade",2009
65,65,"Colt Knost",71,NA,1734.667,178,39,NA,"AverageDistanceofBirdieputtsmade",2009
65,65,"Martin Laird",72,NA,2259.833,232,72,NA,"AverageDistanceofBirdieputtsmade",2009
65,65,"Hunter Mahan",94,NA,2908.25,299,67,NA,"AverageDistanceofBirdieputtsmade",2009
65,65,"Joe Ogilvie",85,NA,2692.583,277,54,NA,"AverageDistanceofBirdieputtsmade",2009
65,65,"Kenny Perry",92,NA,2681.583,275,44,NA,"AverageDistanceofBirdieputtsmade",2009
65,65,"Jeff Quinney",78,NA,2340.5,241,47,NA,"AverageDistanceofBirdieputtsmade",2009
65,65,"Darron Stiles",52,NA,1372.917,141,45,NA,"AverageDistanceofBirdieputtsmade",2009
76,76,"Brian Bateman",55,NA,1329.917,138,57,NA,"AverageDistanceofBirdieputtsmade",2009
76,76,"Brendon de Jonge",90,NA,2706.5,280,45,NA,"AverageDistanceofBirdieputtsmade",2009
76,76,"Bob Estes",78,NA,2166.417,224,49,NA,"AverageDistanceofBirdieputtsmade",2009
76,76,"Bill Haas",91,NA,2714.75,282,52,NA,"AverageDistanceofBirdieputtsmade",2009
76,76,"Cliff Kresge",78,NA,2122.333,220,54,NA,"AverageDistanceofBirdieputtsmade",2009
76,76,"Troy Matteson",95,NA,2788.333,289,41,NA,"AverageDistanceofBirdieputtsmade",2009
76,76,"Scott McCarron",91,NA,2619.417,272,64,NA,"AverageDistanceofBirdieputtsmade",2009
76,76,"Jeff Overton",92,NA,2451,254,81,NA,"AverageDistanceofBirdieputtsmade",2009
76,76,"Tim Petrovic",97,NA,2900.917,301,50,NA,"AverageDistanceofBirdieputtsmade",2009
76,76,"Chez Reavie",81,NA,2005.167,207,41,NA,"AverageDistanceofBirdieputtsmade",2009
76,76,"Brandt Snedeker",81,NA,2304.5,239,53,NA,"AverageDistanceofBirdieputtsmade",2009
76,76,"Matt Weibring",65,NA,1900.917,196,34,NA,"AverageDistanceofBirdieputtsmade",2009
88,88,"Matt Bettencourt",98,NA,2932.167,306,52,NA,"AverageDistanceofBirdieputtsmade",2009
88,88,"Zach Johnson",94,NA,2801.583,293,45,NA,"AverageDistanceofBirdieputtsmade",2009
88,88,"Aron Price",89,NA,2296.417,239,52,NA,"AverageDistanceofBirdieputtsmade",2009
88,88,"John Senden",100,NA,3049.333,317,63,NA,"AverageDistanceofBirdieputtsmade",2009
88,88,"Scott Sterling",51,NA,1258.25,131,40,NA,"AverageDistanceofBirdieputtsmade",2009
88,88,"Chris Stroud",88,NA,2510.583,263,45,NA,"AverageDistanceofBirdieputtsmade",2009
88,88,"Mike Weir",85,NA,2305.833,240,55,NA,"AverageDistanceofBirdieputtsmade",2009
95,95,"Chad Campbell",90,NA,2329.583,245,42,NA,"AverageDistanceofBirdieputtsmade",2009
95,95,"Nathan Green",104,NA,2807.917,295,67,NA,"AverageDistanceofBirdieputtsmade",2009
95,95,"Michael Letzig",96,NA,2780.75,292,59,NA,"AverageDistanceofBirdieputtsmade",2009
95,95,"Jarrod Lyle",65,NA,1191.583,125,48,NA,"AverageDistanceofBirdieputtsmade",2009
95,95,"Tom Pernice Jr",82,NA,2179.583,230,43,NA,"AverageDistanceofBirdieputtsmade",2009
95,95,"Heath Slocum",95,NA,2549.667,269,73,NA,"AverageDistanceofBirdieputtsmade",2009
101,101,"Stephen Ames",77,NA,2132.417,226,57,NA,"AverageDistanceofBirdieputtsmade",2009
101,101,"Eric Axley",71,NA,1508.25,160,54,NA,"AverageDistanceofBirdieputtsmade",2009
101,101,"Justin Leonard",95,NA,2625.417,280,50,NA,"AverageDistanceofBirdieputtsmade",2009
101,101,"Steve Lowery",83,NA,2370.667,252,36,NA,"AverageDistanceofBirdieputtsmade",2009
101,101,"Steve Marino",98,NA,2811,299,57,NA,"AverageDistanceofBirdieputtsmade",2009
101,101,"Geoff Ogilvy",78,NA,2126.083,226,37,NA,"AverageDistanceofBirdieputtsmade",2009
101,101,"Leif Olson",51,NA,1269.75,135,46,NA,"AverageDistanceofBirdieputtsmade",2009
