"ScramblingRoughRTPScore_RANKTHISWEEK_2010","ScramblingRoughRTPScore_RANKLASTWEEK_2010","ScramblingRoughRTPScore_PLAYERNAME_2010","ScramblingRoughRTPScore_ROUNDS_2010","ScramblingRoughRTPScore_AVGRTP_2010","ScramblingRoughRTPScore_TOTALHOLES_2010","ScramblingRoughRTPScore_TOTALRTP_2010","stat_name","year"
50,50,"Heath Slocum",97,0.439,187,82,"ScramblingRoughRTPScore",2010
52,52,"Phil Mickelson",76,0.44,168,74,"ScramblingRoughRTPScore",2010
52,52,"Pat Perez",90,0.44,191,84,"ScramblingRoughRTPScore",2010
54,54,"Graham DeLaet",88,0.442,163,72,"ScramblingRoughRTPScore",2010
54,54,"Rickie Fowler",98,0.442,163,72,"ScramblingRoughRTPScore",2010
54,54,"Charlie Wi",95,0.442,206,91,"ScramblingRoughRTPScore",2010
57,57,"Jonathan Byrd",85,0.444,144,64,"ScramblingRoughRTPScore",2010
57,57,"Bryce Molder",84,0.444,180,80,"ScramblingRoughRTPScore",2010
57,57,"Jimmy Walker",82,0.444,196,87,"ScramblingRoughRTPScore",2010
60,60,"Stephen Ames",75,0.445,146,65,"ScramblingRoughRTPScore",2010
60,60,"Briny Baird",87,0.445,155,69,"ScramblingRoughRTPScore",2010
62,62,"Bill Haas",87,0.447,152,68,"ScramblingRoughRTPScore",2010
62,62,"Spencer Levin",110,0.447,197,88,"ScramblingRoughRTPScore",2010
62,62,"John Rollins",81,0.447,141,63,"ScramblingRoughRTPScore",2010
65,65,"Tim Herron",79,0.448,172,77,"ScramblingRoughRTPScore",2010
66,66,"Michael Bradley",77,0.449,138,62,"ScramblingRoughRTPScore",2010
67,67,"Ben Curtis",78,0.45,149,67,"ScramblingRoughRTPScore",2010
67,67,"Zach Johnson",93,0.45,191,86,"ScramblingRoughRTPScore",2010
69,69,"Cameron Beckman",68,0.451,144,65,"ScramblingRoughRTPScore",2010
69,69,"Matt Every",60,0.451,144,65,"ScramblingRoughRTPScore",2010
71,71,"JJ Henry",92,0.453,150,68,"ScramblingRoughRTPScore",2010
71,71,"Rod Pampling",77,0.453,190,86,"ScramblingRoughRTPScore",2010
73,73,"Woody Austin",93,0.455,176,80,"ScramblingRoughRTPScore",2010
73,73,"Davis Love III",79,0.455,154,70,"ScramblingRoughRTPScore",2010
73,73,"Chris Stroud",90,0.455,134,61,"ScramblingRoughRTPScore",2010
