"VictoryLeaders_RANKTHISWEEK_2012","VictoryLeaders_RANKLASTWEEK_2012","VictoryLeaders_PLAYERNAME_2012","VictoryLeaders_EVENTS_2012","VictoryLeaders_VICTORIES_2012","stat_name","year"
38,38,"Fred Couples",4,NA,"VictoryLeaders",2012
38,38,"Rob Couture",1,NA,"VictoryLeaders",2012
38,38,"Vince Covello",0,NA,"VictoryLeaders",2012
38,38,"Ben Crane",23,NA,"VictoryLeaders",2012
38,38,"Adam Crawford",0,NA,"VictoryLeaders",2012
38,38,"Ben Crenshaw",1,NA,"VictoryLeaders",2012
38,38,"Nick Cullen",1,NA,"VictoryLeaders",2012
38,38,"Jeff Curl",3,NA,"VictoryLeaders",2012
38,38,"Adilson da Silva",1,NA,"VictoryLeaders",2012
38,38,"John Daly",15,NA,"VictoryLeaders",2012
38,38,"David Damesworth",1,NA,"VictoryLeaders",2012
38,38,"Robert Damron",7,NA,"VictoryLeaders",2012
38,38,"Brian Davis",29,NA,"VictoryLeaders",2012
38,38,"Marco Dawson",22,NA,"VictoryLeaders",2012
38,38,"Glen Day",3,NA,"VictoryLeaders",2012
38,38,"Jason Day",17,NA,"VictoryLeaders",2012
38,38,"Brendon de Jonge",31,NA,"VictoryLeaders",2012
38,38,"Stuart Deane",1,NA,"VictoryLeaders",2012
38,38,"Graham DeLaet",23,NA,"VictoryLeaders",2012
38,38,"Todd Demsey",1,NA,"VictoryLeaders",2012
38,38,"Casey DeVoll",1,NA,"VictoryLeaders",2012
38,38,"Chris DiMarco",29,NA,"VictoryLeaders",2012
38,38,"Matt Dobyns",1,NA,"VictoryLeaders",2012
38,38,"Will Dodson",1,NA,"VictoryLeaders",2012
38,38,"Greg Doherty",1,NA,"VictoryLeaders",2012
38,38,"Jamie Donaldson",4,NA,"VictoryLeaders",2012
38,38,"Dennis Downs",1,NA,"VictoryLeaders",2012
38,38,"James Driscoll",27,NA,"VictoryLeaders",2012
38,38,"Eric Dugas",1,NA,"VictoryLeaders",2012
38,38,"Ken Duke",30,NA,"VictoryLeaders",2012
38,38,"Alan Dunbar",1,NA,"VictoryLeaders",2012
38,38,"Brian Duncan",0,NA,"VictoryLeaders",2012
38,38,"Scott Dunlap",20,NA,"VictoryLeaders",2012
38,38,"Joe Durant",14,NA,"VictoryLeaders",2012
38,38,"David Duval",17,NA,"VictoryLeaders",2012
38,38,"Simon Dyson",8,NA,"VictoryLeaders",2012
38,38,"Rafael Echenique",1,NA,"VictoryLeaders",2012
38,38,"Steve Elkington",2,NA,"VictoryLeaders",2012
38,38,"Danny Ellis",0,NA,"VictoryLeaders",2012
38,38,"Harris English",27,NA,"VictoryLeaders",2012
38,38,"Derek Ernst",1,NA,"VictoryLeaders",2012
38,38,"Bob Estes",23,NA,"VictoryLeaders",2012
38,38,"Joaquin Estevez",1,NA,"VictoryLeaders",2012
38,38,"Mitch Evanecz",0,NA,"VictoryLeaders",2012
38,38,"Matt Every",25,NA,"VictoryLeaders",2012
38,38,"Matt Fast",0,NA,"VictoryLeaders",2012
38,38,"Derek Fathauer",0,NA,"VictoryLeaders",2012
38,38,"Armando Favela",1,NA,"VictoryLeaders",2012
38,38,"Brad Faxon",1,NA,"VictoryLeaders",2012
38,38,"Gonzalo Fdez Castano",7,NA,"VictoryLeaders",2012
38,38,"Keith Fergus",1,NA,"VictoryLeaders",2012
38,38,"Ben Ferguson",1,NA,"VictoryLeaders",2012
38,38,"Jess Ferrell",1,NA,"VictoryLeaders",2012
38,38,"Dusty Fielding",0,NA,"VictoryLeaders",2012
38,38,"Edward Figueroa",1,NA,"VictoryLeaders",2012
38,38,"Richard Finch",1,NA,"VictoryLeaders",2012
38,38,"Ross Fisher",2,NA,"VictoryLeaders",2012
38,38,"Oliver Fisher",0,NA,"VictoryLeaders",2012
38,38,"Nick Flanagan",1,NA,"VictoryLeaders",2012
38,38,"Steve Flesch",12,NA,"VictoryLeaders",2012
38,38,"Martin Flores",30,NA,"VictoryLeaders",2012
38,38,"Erik Flores",0,NA,"VictoryLeaders",2012
38,38,"Jonathan Fly",1,NA,"VictoryLeaders",2012
38,38,"Marcus Fraser",3,NA,"VictoryLeaders",2012
38,38,"Oscar Fraustro",1,NA,"VictoryLeaders",2012
38,38,"Harrison Frazar",20,NA,"VictoryLeaders",2012
38,38,"Robin Freeman",1,NA,"VictoryLeaders",2012
38,38,"Brad Fritsch",1,NA,"VictoryLeaders",2012
38,38,"Michael Frye",1,NA,"VictoryLeaders",2012
38,38,"Tadd Fujikawa",1,NA,"VictoryLeaders",2012
38,38,"Yoshinori Fujimoto",2,NA,"VictoryLeaders",2012
38,38,"Hiroyuki Fujita",3,NA,"VictoryLeaders",2012
