"GIRPercentagefromFairway_RANKTHISWEEK_2015","GIRPercentagefromFairway_RANKLASTWEEK_2015","GIRPercentagefromFairway_PLAYERNAME_2015","GIRPercentagefromFairway_ROUNDS_2015","GIRPercentagefromFairway_Pct_2015","GIRPercentagefromFairway_GREENSHIT_2015","GIRPercentagefromFairway_OFHOLES_2015","stat_name","year"
156,156,"Scott Brown",97,73.94,627,848,"GIRPercentagefromFairway",2015
157,157,"Troy Merritt",91,73.87,588,796,"GIRPercentagefromFairway",2015
157,157,"Sean OHair",86,73.87,537,727,"GIRPercentagefromFairway",2015
159,159,"Gonzalo Fdez Castano",81,73.51,480,653,"GIRPercentagefromFairway",2015
160,160,"Robert Garrigus",70,73.41,381,519,"GIRPercentagefromFairway",2015
161,161,"Andres Romero",69,73.35,355,484,"GIRPercentagefromFairway",2015
162,162,"Billy Hurley III",83,73.31,530,723,"GIRPercentagefromFairway",2015
163,163,"Zac Blair",108,73.27,721,984,"GIRPercentagefromFairway",2015
164,164,"Retief Goosen",81,73.16,447,611,"GIRPercentagefromFairway",2015
165,165,"Sangmoon Bae",98,73.15,602,823,"GIRPercentagefromFairway",2015
166,166,"Jason Gore",76,73.13,490,670,"GIRPercentagefromFairway",2015
167,167,"Cameron Tringale",96,73.1,674,922,"GIRPercentagefromFairway",2015
168,168,"Carl Pettersson",106,73,638,874,"GIRPercentagefromFairway",2015
169,169,"Jerry Kelly",79,72.77,564,775,"GIRPercentagefromFairway",2015
170,170,"Ken Duke",93,72.74,611,840,"GIRPercentagefromFairway",2015
171,171,"Max Homa",78,72.51,422,582,"GIRPercentagefromFairway",2015
172,172,"Phil Mickelson",70,72.46,400,552,"GIRPercentagefromFairway",2015
173,173,"John Huh",102,72.31,705,975,"GIRPercentagefromFairway",2015
174,174,"Tim Wilkinson",73,72.28,451,624,"GIRPercentagefromFairway",2015
175,175,"Brian Davis",86,72.15,557,772,"GIRPercentagefromFairway",2015
176,176,"Oscar Fraustro",58,71.77,333,464,"GIRPercentagefromFairway",2015
177,177,"Brian Stuard",97,71.75,645,899,"GIRPercentagefromFairway",2015
178,178,"Heath Slocum",57,71.35,366,513,"GIRPercentagefromFairway",2015
179,179,"Eric Axley",57,71.13,303,426,"GIRPercentagefromFairway",2015
180,180,"Greg Chalmers",58,71.06,334,470,"GIRPercentagefromFairway",2015
180,180,"Matt Every",73,71.06,361,508,"GIRPercentagefromFairway",2015
182,182,"David Toms",62,70.93,427,602,"GIRPercentagefromFairway",2015
183,183,"Ben Crane",62,70.62,387,548,"GIRPercentagefromFairway",2015
184,184,"Justin Leonard",61,69.82,428,613,"GIRPercentagefromFairway",2015
