"DrivingPctAll_RANKTHISWEEK_2010","DrivingPctAll_RANKLASTWEEK_2010","DrivingPctAll_PLAYERNAME_2010","DrivingPctAll_ROUNDS_2010","DrivingPctAll_Pct_2010","DrivingPctAll_TOTALDRIVESFOR_2010","DrivingPctAll_TOTALDRIVESOVERALL_2010","DrivingPctAll_RELATIVETOPAR_2010","stat_name","year"
23,23,"David Duval",71,7.48,58,775,0.172,"DrivingPctAll",2010
24,24,"Sergio Garcia",58,7.4,37,500,0.189,"DrivingPctAll",2010
24,24,"Lee Janzen",77,7.4,72,973,0.139,"DrivingPctAll",2010
26,26,"Rod Pampling",77,7.39,72,974,0.139,"DrivingPctAll",2010
27,27,"Greg Chalmers",93,7.28,88,1208,0.193,"DrivingPctAll",2010
27,27,"Chad Collins",87,7.28,76,1044,0.158,"DrivingPctAll",2010
29,29,"Jerry Kelly",99,7.24,83,1146,0.036,"DrivingPctAll",2010
30,30,"Steve Elkington",74,6.99,57,816,0.105,"DrivingPctAll",2010
31,31,"Kris Blanks",91,6.89,71,1031,0.225,"DrivingPctAll",2010
31,31,"Johnson Wagner",85,6.89,71,1031,0.197,"DrivingPctAll",2010
33,33,"Paul Goydos",78,6.85,63,920,0.032,"DrivingPctAll",2010
34,34,"Jerod Turner",54,6.83,38,556,0.289,"DrivingPctAll",2010
35,35,"Paul Casey",64,6.8,42,618,-0.095,"DrivingPctAll",2010
36,36,"Steve Stricker",73,6.76,53,784,0.057,"DrivingPctAll",2010
37,37,"Stephen Ames",75,6.65,64,962,0.094,"DrivingPctAll",2010
38,38,"John Senden",103,6.6,80,1212,0.063,"DrivingPctAll",2010
39,39,"Brent Delahoussaye",57,6.57,43,654,0.186,"DrivingPctAll",2010
40,40,"Scott McCarron",90,6.5,75,1153,0.12,"DrivingPctAll",2010
41,41,"Pat Perez",90,6.47,75,1160,0.067,"DrivingPctAll",2010
42,42,"Briny Baird",87,6.46,71,1099,0.169,"DrivingPctAll",2010
42,42,"Jason Day",82,6.46,64,990,0.172,"DrivingPctAll",2010
44,44,"Brian Davis",101,6.38,79,1239,0.114,"DrivingPctAll",2010
45,45,"Jason Bohn",84,6.34,65,1026,-0.077,"DrivingPctAll",2010
46,46,"Charles Howell III",103,6.32,79,1250,0.076,"DrivingPctAll",2010
46,46,"Freddie Jacobson",83,6.32,68,1076,0.103,"DrivingPctAll",2010
48,48,"Scott Verplank",74,6.27,49,781,0.122,"DrivingPctAll",2010
49,49,"Steve Lowery",67,6.18,48,777,0.417,"DrivingPctAll",2010
50,50,"John Mallinger",78,6.17,56,907,0.25,"DrivingPctAll",2010
51,51,"Justin Rose",78,6.15,60,975,0.017,"DrivingPctAll",2010
52,52,"Blake Adams",84,6.14,64,1043,0.25,"DrivingPctAll",2010
53,53,"Cameron Beckman",68,6.08,50,823,0.18,"DrivingPctAll",2010
54,54,"Brandt Snedeker",89,6.05,63,1042,0.19,"DrivingPctAll",2010
55,55,"Vance Veazey",58,5.99,40,668,0.275,"DrivingPctAll",2010
56,56,"Ryuji Imada",90,5.97,70,1172,-0.014,"DrivingPctAll",2010
57,57,"Woody Austin",93,5.89,68,1155,0.279,"DrivingPctAll",2010
58,58,"Bill Haas",87,5.85,61,1042,-0.033,"DrivingPctAll",2010
58,58,"Skip Kendall",58,5.85,40,684,0.225,"DrivingPctAll",2010
60,60,"Justin Bolli",55,5.81,34,585,0.235,"DrivingPctAll",2010
61,61,"Tom Pernice Jr",74,5.8,47,810,-0.043,"DrivingPctAll",2010
62,62,"Webb Simpson",98,5.79,74,1278,0.162,"DrivingPctAll",2010
63,63,"Justin Leonard",89,5.78,58,1003,0.276,"DrivingPctAll",2010
64,64,"Chris DiMarco",88,5.73,62,1082,0.065,"DrivingPctAll",2010
65,65,"Geoff Ogilvy",62,5.71,40,700,0.1,"DrivingPctAll",2010
66,66,"Heath Slocum",97,5.68,58,1022,-0.052,"DrivingPctAll",2010
67,67,"KJ Choi",82,5.65,48,850,0.396,"DrivingPctAll",2010
68,68,"JJ Henry",92,5.64,62,1099,0.194,"DrivingPctAll",2010
68,68,"Camilo Villegas",78,5.64,44,780,0.227,"DrivingPctAll",2010
70,70,"Davis Love III",79,5.63,52,924,0.269,"DrivingPctAll",2010
71,71,"Henrik Bjornstad",72,5.6,46,822,0.152,"DrivingPctAll",2010
