"BirdieorBetterPercentage_RANKTHISWEEK_2005","BirdieorBetterPercentage_RANKLASTWEEK_2005","BirdieorBetterPercentage_PLAYERNAME_2005","BirdieorBetterPercentage_ROUNDS_2005","BirdieorBetterPercentage_Pct_2005","BirdieorBetterPercentage_TOTALBIRDIES_2005","BirdieorBetterPercentage_TOTALHOLES_2005","BirdieorBetterPercentage_GIRRANK_2005","stat_name","year"
57,57,"Kent Jones",99,20.79,363,1746,86,"BirdieorBetterPercentage",2005
58,58,"Brian Davis",75,20.74,280,1350,79,"BirdieorBetterPercentage",2005
59,59,"Patrick Sheehan",114,20.71,410,1980,144,"BirdieorBetterPercentage",2005
60,60,"Joey Sindelar",104,20.67,387,1872,19,"BirdieorBetterPercentage",2005
61,61,"Brad Faxon",75,20.66,264,1278,167,"BirdieorBetterPercentage",2005
62,62,"Brandt Jobe",96,20.65,342,1656,85,"BirdieorBetterPercentage",2005
63,63,"Robert Gamez",91,20.63,338,1638,119,"BirdieorBetterPercentage",2005
64,64,"Daniel Chopra",108,20.62,386,1872,133,"BirdieorBetterPercentage",2005
65,65,"DJ Trahan",81,20.56,285,1386,31,"BirdieorBetterPercentage",2005
66,66,"Jonathan Byrd",103,20.54,366,1782,115,"BirdieorBetterPercentage",2005
66,66,"Sean OHair",103,20.54,366,1782,41,"BirdieorBetterPercentage",2005
66,66,"John Senden",101,20.54,366,1782,30,"BirdieorBetterPercentage",2005
69,69,"John Rollins",97,20.53,351,1710,78,"BirdieorBetterPercentage",2005
70,70,"Mark Hensby",70,20.51,251,1224,149,"BirdieorBetterPercentage",2005
71,71,"Craig Barlow",81,20.49,284,1386,53,"BirdieorBetterPercentage",2005
72,72,"Carl Pettersson",109,20.48,387,1890,73,"BirdieorBetterPercentage",2005
73,73,"Scott Hend",75,20.47,269,1314,146,"BirdieorBetterPercentage",2005
74,74,"Neal Lancaster",95,20.41,349,1710,92,"BirdieorBetterPercentage",2005
75,75,"Briny Baird",98,20.37,352,1728,12,"BirdieorBetterPercentage",2005
76,76,"Cameron Beckman",96,20.35,337,1656,109,"BirdieorBetterPercentage",2005
76,76,"Brett Quigley",96,20.35,337,1656,112,"BirdieorBetterPercentage",2005
76,76,"Nick Watney",91,20.35,326,1602,68,"BirdieorBetterPercentage",2005
79,79,"Jose Maria Olazabal",55,20.34,194,954,89,"BirdieorBetterPercentage",2005
80,80,"Shigeki Maruyama",99,20.29,358,1764,88,"BirdieorBetterPercentage",2005
81,81,"Adam Scott",72,20.26,248,1224,40,"BirdieorBetterPercentage",2005
82,82,"Will Ma Kenzie",75,20.24,266,1314,93,"BirdieorBetterPercentage",2005
82,82,"Phillip Price",77,20.24,266,1314,98,"BirdieorBetterPercentage",2005
82,82,"Mark Wilson",74,20.24,255,1260,75,"BirdieorBetterPercentage",2005
85,85,"Ted Purdy",122,20.22,444,2196,98,"BirdieorBetterPercentage",2005
86,86,"Chad Campbell",95,20.17,334,1656,20,"BirdieorBetterPercentage",2005
87,87,"Hidemichi Tanaka",106,20.15,370,1836,48,"BirdieorBetterPercentage",2005
88,88,"Greg Owen",84,20.14,290,1440,43,"BirdieorBetterPercentage",2005
89,89,"Olin Browne",99,20.12,344,1710,15,"BirdieorBetterPercentage",2005
90,90,"Justin Leonard",78,20.07,271,1350,94,"BirdieorBetterPercentage",2005
91,91,"Brian Bateman",98,20.04,339,1692,117,"BirdieorBetterPercentage",2005
91,91,"Pat Perez",89,20.04,321,1602,139,"BirdieorBetterPercentage",2005
93,93,"Jason Bohn",91,20.02,328,1638,74,"BirdieorBetterPercentage",2005
93,93,"Mathias Gronberg",60,20.02,209,1044,103,"BirdieorBetterPercentage",2005
93,93,"JP Hayes",63,20.02,227,1134,155,"BirdieorBetterPercentage",2005
96,96,"Rory Sabbatini",81,20.01,281,1404,188,"BirdieorBetterPercentage",2005
97,97,"Paul Azinger",66,19.95,237,1188,190,"BirdieorBetterPercentage",2005
