"RightTendency_RANKTHISWEEK_2016","RightTendency_RANKLASTWEEK_2016","RightTendency_PLAYERNAME_2016","RightTendency_EVENTS_2016","RightTendency_Pct_2016","RightTendency_NUMBEROFTIMES_2016","RightTendency_ATTEMPTS_2016","RightTendency_AVGRTPSCORE_2016","stat_name","year"
31,36,"Brooks Koepka",11,46.5,74,159,0.14,"RightTendency",2016
31,23,"Kevin Streelman",15,46.5,72,155,0.69,"RightTendency",2016
31,53,"Johnson Wagner",14,46.5,86,185,1.4,"RightTendency",2016
34,31,"Henrik Stenson",8,46.6,34,73,-0.29,"RightTendency",2016
35,37,"Shane Bertsch",9,46.7,49,105,1.22,"RightTendency",2016
36,38,"Brice Garnett",9,46.8,29,62,0,"RightTendency",2016
36,38,"Pat Perez",11,46.8,51,109,1.18,"RightTendency",2016
38,40,"Matthew Fitzpatrick",7,46.9,23,49,2.17,"RightTendency",2016
38,47,"Davis Love III",11,46.9,68,145,1.32,"RightTendency",2016
40,32,"Steven Bowditch",14,47.1,89,189,3.15,"RightTendency",2016
41,33,"Michael Thompson",14,47.2,92,195,1.63,"RightTendency",2016
42,60,"Anirban Lahiri",13,47.3,79,167,1.39,"RightTendency",2016
42,86,"Carlos Ortiz",17,47.3,107,226,1.78,"RightTendency",2016
44,51,"Brendon de Jonge",19,47.4,100,211,2.1,"RightTendency",2016
45,51,"Jason Bohn",11,47.9,58,121,0.17,"RightTendency",2016
45,49,"Billy Horschel",12,47.9,90,188,0.33,"RightTendency",2016
45,63,"Cameron Tringale",14,47.9,105,219,1.24,"RightTendency",2016
48,25,"Jason Gore",15,48.1,90,187,1.56,"RightTendency",2016
49,41,"Jason Kokrak",17,48.2,118,245,1.36,"RightTendency",2016
49,82,"Brian Stuard",8,48.2,40,83,1.25,"RightTendency",2016
51,43,"Will Ma Kenzie",17,48.3,98,203,1.63,"RightTendency",2016
51,45,"Martin Piller",12,48.3,71,147,1.13,"RightTendency",2016
53,53,"Zach Johnson",12,48.4,74,153,2.16,"RightTendency",2016
54,63,"Justin Hicks",10,48.5,49,101,5.1,"RightTendency",2016
54,76,"Adam Scott",10,48.5,66,136,0.91,"RightTendency",2016
56,56,"Derek Fathauer",18,48.8,142,291,1.9,"RightTendency",2016
56,59,"Hudson Swafford",17,48.8,103,211,0.97,"RightTendency",2016
58,43,"Will Wilcox",16,48.9,109,223,2.39,"RightTendency",2016
58,100,"Tim Wilkinson",11,48.9,69,141,0,"RightTendency",2016
60,68,"Sam Saunders",15,49,71,145,-0.14,"RightTendency",2016
61,57,"Matt Every",14,49.1,79,161,3.29,"RightTendency",2016
62,76,"Brett Stegmaier",19,49.2,121,246,1.32,"RightTendency",2016
62,61,"DJ Trahan",7,49.2,29,59,2.07,"RightTendency",2016
64,53,"Rickie Fowler",12,49.3,74,150,0.68,"RightTendency",2016
64,76,"Ben Martin",14,49.3,106,215,1.98,"RightTendency",2016
64,62,"Chez Reavie",16,49.3,100,203,1.2,"RightTendency",2016
67,46,"Kevin Kisner",14,49.6,70,141,2.43,"RightTendency",2016
68,65,"Brandt Snedeker",14,49.7,94,189,0.21,"RightTendency",2016
69,57,"Daniel Berger",15,49.8,104,209,1.63,"RightTendency",2016
69,68,"Sung Kang",16,49.8,110,221,1.09,"RightTendency",2016
71,75,"Angel Cabrera",13,50,97,194,2.27,"RightTendency",2016
71,68,"Andrew Landry",9,50,23,46,0,"RightTendency",2016
71,99,"Henrik Norlander",13,50,72,144,1.25,"RightTendency",2016
71,68,"Scott Piercy",12,50,74,148,1.49,"RightTendency",2016
71,68,"Gary Woodland",12,50,112,224,0.71,"RightTendency",2016
76,84,"Jim Herman",17,50.3,91,181,3.3,"RightTendency",2016
77,107,"Adam Hadwin",16,50.4,121,240,1.24,"RightTendency",2016
78,76,"Jason Dufner",15,50.5,94,186,1.28,"RightTendency",2016
78,76,"Ken Duke",9,50.5,47,93,2.34,"RightTendency",2016
78,42,"Morgan Hoffmann",15,50.5,102,202,1.08,"RightTendency",2016
81,16,"Byeong Hun An",7,50.7,35,69,2.86,"RightTendency",2016
81,93,"Harris English",15,50.7,110,217,0.09,"RightTendency",2016
81,83,"Vijay Singh",13,50.7,105,207,0.76,"RightTendency",2016
84,68,"Hunter Mahan",14,50.8,97,191,1.24,"RightTendency",2016
84,65,"Brendon Todd",18,50.8,98,193,2.65,"RightTendency",2016
86,84,"Louis Oosthuizen",6,50.9,29,57,0.69,"RightTendency",2016
87,86,"Matt Kuchar",12,51,79,155,0.89,"RightTendency",2016
87,86,"Jimmy Walker",12,51,102,200,0.2,"RightTendency",2016
87,86,"Bubba Watson",8,51,50,98,-0.6,"RightTendency",2016
90,81,"Retief Goosen",10,51.1,94,184,2.23,"RightTendency",2016
90,67,"Tyrone Van Aswegen",20,51.1,163,319,1.35,"RightTendency",2016
92,122,"Dawie van der Walt",16,51.2,105,205,1.62,"RightTendency",2016
93,92,"Alex Cejka",15,51.3,79,154,2.53,"RightTendency",2016
93,111,"David Lingmerth",15,51.3,80,156,1.88,"RightTendency",2016
95,93,"Charlie Beljan",13,51.4,55,107,2.55,"RightTendency",2016
96,95,"Dustin Johnson",9,51.5,67,130,0.15,"RightTendency",2016
97,96,"Russell Knox",14,51.6,64,124,0.78,"RightTendency",2016
