"TenthTeeEarlyScoringAverage_RANKTHISWEEK_2016","TenthTeeEarlyScoringAverage_RANKLASTWEEK_2016","TenthTeeEarlyScoringAverage_PLAYERNAME_2016","TenthTeeEarlyScoringAverage_ROUNDS_2016","TenthTeeEarlyScoringAverage_AVG_2016","TenthTeeEarlyScoringAverage_TOTALSTROKES_2016","TenthTeeEarlyScoringAverage_TOTAL10THTEEEARLYRDS_2016","stat_name","year"
142,140,"Shane Lowry",35,71.63,573,8,"TenthTeeEarlyScoringAverage",2016
143,142,"Matthew Fitzpatrick",23,71.67,215,3,"TenthTeeEarlyScoringAverage",2016
143,142,"Retief Goosen",37,71.67,430,6,"TenthTeeEarlyScoringAverage",2016
143,142,"Troy Merritt",41,71.67,215,3,"TenthTeeEarlyScoringAverage",2016
143,142,"Ryan Palmer",46,71.67,430,6,"TenthTeeEarlyScoringAverage",2016
143,142,"Hudson Swafford",52,71.67,645,9,"TenthTeeEarlyScoringAverage",2016
148,149,"JJ Henry",44,71.7,717,10,"TenthTeeEarlyScoringAverage",2016
148,142,"Chris Stroud",52,71.7,717,10,"TenthTeeEarlyScoringAverage",2016
150,150,"Justin Leonard",28,71.71,502,7,"TenthTeeEarlyScoringAverage",2016
150,150,"Seung Yul Noh",54,71.71,1004,14,"TenthTeeEarlyScoringAverage",2016
150,150,"Camilo Villegas",50,71.71,502,7,"TenthTeeEarlyScoringAverage",2016
153,154,"Kelly Kraft",35,71.75,574,8,"TenthTeeEarlyScoringAverage",2016
154,154,"Thomas Aiken",42,71.77,933,13,"TenthTeeEarlyScoringAverage",2016
155,156,"Luke Guthrie",31,71.78,646,9,"TenthTeeEarlyScoringAverage",2016
156,157,"Brian Gay",22,71.83,431,6,"TenthTeeEarlyScoringAverage",2016
157,159,"Blayne Barber",44,71.86,503,7,"TenthTeeEarlyScoringAverage",2016
157,165,"Daniel Berger",52,71.86,1006,14,"TenthTeeEarlyScoringAverage",2016
157,159,"Branden Grace",31,71.86,503,7,"TenthTeeEarlyScoringAverage",2016
157,159,"Andrew Landry",24,71.86,503,7,"TenthTeeEarlyScoringAverage",2016
161,163,"Smylie Kaufman",57,71.91,791,11,"TenthTeeEarlyScoringAverage",2016
161,163,"Scott Pinckney",53,71.91,791,11,"TenthTeeEarlyScoringAverage",2016
163,165,"Cameron Smith",45,71.92,863,12,"TenthTeeEarlyScoringAverage",2016
164,167,"Abraham Ancer",26,72,504,7,"TenthTeeEarlyScoringAverage",2016
164,167,"Ernie Els",34,72,720,10,"TenthTeeEarlyScoringAverage",2016
164,157,"Bill Haas",42,72,504,7,"TenthTeeEarlyScoringAverage",2016
164,167,"Rory Sabbatini",40,72,576,8,"TenthTeeEarlyScoringAverage",2016
164,167,"Andy Sullivan",25,72,216,3,"TenthTeeEarlyScoringAverage",2016
164,167,"Cameron Tringale",47,72,288,4,"TenthTeeEarlyScoringAverage",2016
170,162,"Jim Herman",55,72.1,721,10,"TenthTeeEarlyScoringAverage",2016
171,174,"Rhein Gibson",36,72.13,577,8,"TenthTeeEarlyScoringAverage",2016
172,128,"Davis Love III",40,72.17,866,12,"TenthTeeEarlyScoringAverage",2016
172,167,"DA Points",32,72.17,433,6,"TenthTeeEarlyScoringAverage",2016
174,176,"Jason Bohn",37,72.2,361,5,"TenthTeeEarlyScoringAverage",2016
175,177,"Geoff Ogilvy",37,72.22,650,9,"TenthTeeEarlyScoringAverage",2016
176,179,"Charley Hoffman",49,72.29,506,7,"TenthTeeEarlyScoringAverage",2016
176,179,"Brooks Koepka",39,72.29,506,7,"TenthTeeEarlyScoringAverage",2016
178,177,"Sam Saunders",40,72.3,723,10,"TenthTeeEarlyScoringAverage",2016
179,181,"Bernd Wiesberger",23,72.33,217,3,"TenthTeeEarlyScoringAverage",2016
180,182,"Martin Piller",37,72.36,796,11,"TenthTeeEarlyScoringAverage",2016
181,182,"Darron Stiles",28,72.4,362,5,"TenthTeeEarlyScoringAverage",2016
182,184,"Hunter Mahan",43,72.42,869,12,"TenthTeeEarlyScoringAverage",2016
183,185,"Henrik Norlander",41,72.44,652,9,"TenthTeeEarlyScoringAverage",2016
184,173,"Tyler Aldridge",53,72.45,797,11,"TenthTeeEarlyScoringAverage",2016
185,185,"Patrick Reed",53,72.55,798,11,"TenthTeeEarlyScoringAverage",2016
186,175,"Will Wilcox",47,72.57,508,7,"TenthTeeEarlyScoringAverage",2016
187,185,"Steve Wheatcroft",53,72.62,944,13,"TenthTeeEarlyScoringAverage",2016
188,189,"Brice Garnett",29,72.67,218,3,"TenthTeeEarlyScoringAverage",2016
189,191,"Billy Hurley III",22,72.71,509,7,"TenthTeeEarlyScoringAverage",2016
190,194,"Robert Garrigus",34,72.75,582,8,"TenthTeeEarlyScoringAverage",2016
191,192,"Andres Romero",22,72.8,364,5,"TenthTeeEarlyScoringAverage",2016
192,193,"Russell Henley",42,72.83,437,6,"TenthTeeEarlyScoringAverage",2016
193,194,"Derek Ernst",36,73,365,5,"TenthTeeEarlyScoringAverage",2016
193,194,"Derek Fathauer",58,73,584,8,"TenthTeeEarlyScoringAverage",2016
193,199,"Andrew Loupe",50,73,803,11,"TenthTeeEarlyScoringAverage",2016
196,197,"Wes Roach",33,73.11,658,9,"TenthTeeEarlyScoringAverage",2016
197,198,"Brendon Todd",43,73.14,512,7,"TenthTeeEarlyScoringAverage",2016
198,199,"James Hahn",45,73.2,366,5,"TenthTeeEarlyScoringAverage",2016
199,201,"Charlie Beljan",26,73.3,733,10,"TenthTeeEarlyScoringAverage",2016
199,201,"Angel Cabrera",42,73.3,733,10,"TenthTeeEarlyScoringAverage",2016
201,204,"Andres Gonzales",46,73.5,882,12,"TenthTeeEarlyScoringAverage",2016
201,189,"Justin Hicks",26,73.5,294,4,"TenthTeeEarlyScoringAverage",2016
203,203,"Robert Allenby",35,73.56,662,9,"TenthTeeEarlyScoringAverage",2016
204,205,"Steven Bowditch",40,74.86,524,7,"TenthTeeEarlyScoringAverage",2016
205,207,"DH Lee",35,75.14,526,7,"TenthTeeEarlyScoringAverage",2016
206,206,"Matt Every",34,75.4,377,5,"TenthTeeEarlyScoringAverage",2016
207,208,"Ken Duke",26,76.67,230,3,"TenthTeeEarlyScoringAverage",2016
