"EaglesHolesper_RANKTHISWEEK_2005","EaglesHolesper_RANKLASTWEEK_2005","EaglesHolesper_PLAYERNAME_2005","EaglesHolesper_ROUNDS_2005","EaglesHolesper_FREQUENCY_2005","EaglesHolesper_OFHOLES_2005","EaglesHolesper_OFEAGLES_2005","stat_name","year"
170,170,"Jay Haas",54,459,918,2,"EaglesHolesper",2005
171,171,"Bradley Hughes",52,468,936,2,"EaglesHolesper",2005
172,172,"Stephen Ames",82,474,1422,3,"EaglesHolesper",2005
173,173,"Glen Hnatiuk",59,495,990,2,"EaglesHolesper",2005
174,174,"John Elliott",58,504,1008,2,"EaglesHolesper",2005
174,174,"Len Mattiace",86,504,1512,3,"EaglesHolesper",2005
174,174,"Rod Pampling",89,504,1512,3,"EaglesHolesper",2005
174,174,"Tjaart van der Walt",56,504,1008,2,"EaglesHolesper",2005
178,178,"Franklin Langham",91,522,1566,3,"EaglesHolesper",2005
178,178,"Kevin Sutherland",89,522,1566,3,"EaglesHolesper",2005
180,180,"Jim Carter",62,540,1080,2,"EaglesHolesper",2005
180,180,"Matt Kuchar",60,540,1080,2,"EaglesHolesper",2005
182,182,"Jeff Hart",63,549,1098,2,"EaglesHolesper",2005
183,183,"Olin Browne",99,570,1710,3,"EaglesHolesper",2005
184,184,"Kent Jones",99,582,1746,3,"EaglesHolesper",2005
185,185,"Mark OMeara",66,594,1188,2,"EaglesHolesper",2005
186,186,"Fred Funk",102,606,1818,3,"EaglesHolesper",2005
187,187,"John Cook",72,630,1260,2,"EaglesHolesper",2005
188,188,"Paul Gow",78,666,1332,2,"EaglesHolesper",2005
188,188,"Jeff Maggert",79,666,1332,2,"EaglesHolesper",2005
190,190,"Skip Kendall",80,702,1404,2,"EaglesHolesper",2005
191,191,"Zach Johnson",96,855,1710,2,"EaglesHolesper",2005
192,192,"Larry Mize",54,900,900,1,"EaglesHolesper",2005
193,193,"Joey Sindelar",104,936,1872,2,"EaglesHolesper",2005
193,193,"Kirk Triplett",55,936,936,1,"EaglesHolesper",2005
195,195,"Loren Roberts",54,954,954,1,"EaglesHolesper",2005
196,196,"Justin Bolli",65,1134,1134,1,"EaglesHolesper",2005
197,197,"Mike Weir",71,1188,1188,1,"EaglesHolesper",2005
198,198,"Steve Elkington",67,1206,1206,1,"EaglesHolesper",2005
199,199,"Danny Briggs",70,1224,1224,1,"EaglesHolesper",2005
200,200,"Doug Barron",70,1260,1260,1,"EaglesHolesper",2005
201,201,"Brett Quigley",96,1656,1656,1,"EaglesHolesper",2005
202,202,"Brian Gay",101,1782,1782,1,"EaglesHolesper",2005
