"AveragePuttingDistanceGIR1Putts_RANKTHISWEEK_2010","AveragePuttingDistanceGIR1Putts_RANKLASTWEEK_2010","AveragePuttingDistanceGIR1Putts_PLAYERNAME_2010","AveragePuttingDistanceGIR1Putts_ROUNDS_2010","AveragePuttingDistanceGIR1Putts_AVG_2010","AveragePuttingDistanceGIR1Putts_DISTANCEFEET_2010","AveragePuttingDistanceGIR1Putts_TOTALPUTTS_2010","stat_name","year"
134,134,"Roland Thatcher",72,NA,1836.083,180,"AveragePuttingDistanceGIR1Putts",2010
134,134,"Bo Van Pelt",104,NA,3012.417,296,"AveragePuttingDistanceGIR1Putts",2010
134,134,"Scott Verplank",74,NA,1822.833,179,"AveragePuttingDistanceGIR1Putts",2010
134,134,"Bubba Watson",77,NA,2159.583,212,"AveragePuttingDistanceGIR1Putts",2010
145,145,"Woody Austin",93,NA,2681.25,267,"AveragePuttingDistanceGIR1Putts",2010
145,145,"Justin Bolli",55,NA,1112.667,110,"AveragePuttingDistanceGIR1Putts",2010
145,145,"Steve Flesch",78,NA,1958.417,194,"AveragePuttingDistanceGIR1Putts",2010
145,145,"Brian Gay",101,NA,2691.667,266,"AveragePuttingDistanceGIR1Putts",2010
145,145,"Charley Hoffman",85,NA,2650.167,262,"AveragePuttingDistanceGIR1Putts",2010
145,145,"Spencer Levin",110,NA,3274.417,325,"AveragePuttingDistanceGIR1Putts",2010
145,145,"John Mallinger",78,NA,2053.083,204,"AveragePuttingDistanceGIR1Putts",2010
145,145,"Ryan Moore",80,NA,2013.583,200,"AveragePuttingDistanceGIR1Putts",2010
145,145,"Rod Pampling",77,NA,1782.583,177,"AveragePuttingDistanceGIR1Putts",2010
145,145,"Brenden Pappas",66,NA,1627.083,162,"AveragePuttingDistanceGIR1Putts",2010
145,145,"Kenny Perry",69,NA,1698.25,169,"AveragePuttingDistanceGIR1Putts",2010
145,145,"Jeff Quinney",91,NA,2701.083,267,"AveragePuttingDistanceGIR1Putts",2010
145,145,"Justin Rose",78,NA,2363.667,234,"AveragePuttingDistanceGIR1Putts",2010
145,145,"Kevin Streelman",90,NA,2642.083,261,"AveragePuttingDistanceGIR1Putts",2010
145,145,"Omar Uresti",74,NA,1607.083,159,"AveragePuttingDistanceGIR1Putts",2010
145,145,"Garrett Willis",82,NA,2375.5,235,"AveragePuttingDistanceGIR1Putts",2010
161,161,"Briny Baird",87,NA,2216.583,222,"AveragePuttingDistanceGIR1Putts",2010
161,161,"John Daly",63,NA,1461.833,146,"AveragePuttingDistanceGIR1Putts",2010
161,161,"Brendon de Jonge",114,NA,3043.667,305,"AveragePuttingDistanceGIR1Putts",2010
161,161,"Paul Goydos",78,NA,2248.667,225,"AveragePuttingDistanceGIR1Putts",2010
161,161,"Pat Perez",90,NA,2887.75,289,"AveragePuttingDistanceGIR1Putts",2010
161,161,"Ted Purdy",86,NA,2028.833,203,"AveragePuttingDistanceGIR1Putts",2010
161,161,"DJ Trahan",92,NA,2683.333,269,"AveragePuttingDistanceGIR1Putts",2010
168,168,"Angel Cabrera",64,NA,1581.667,159,"AveragePuttingDistanceGIR1Putts",2010
168,168,"Matt Kuchar",97,NA,2758.833,278,"AveragePuttingDistanceGIR1Putts",2010
168,168,"John Merrick",109,NA,2813.75,284,"AveragePuttingDistanceGIR1Putts",2010
171,171,"Greg Kraft",52,NA,930.917,95,"AveragePuttingDistanceGIR1Putts",2010
171,171,"Rory Sabbatini",79,NA,2336.417,238,"AveragePuttingDistanceGIR1Putts",2010
171,171,"Brandt Snedeker",89,NA,2562.917,260,"AveragePuttingDistanceGIR1Putts",2010
171,171,"Josh Teater",101,NA,2711.167,275,"AveragePuttingDistanceGIR1Putts",2010
175,175,"Ricky Barnes",103,NA,2643.083,271,"AveragePuttingDistanceGIR1Putts",2010
175,175,"Jarrod Lyle",54,NA,1237.083,127,"AveragePuttingDistanceGIR1Putts",2010
175,175,"Alex Prugh",88,NA,2457.667,251,"AveragePuttingDistanceGIR1Putts",2010
175,175,"Nicholas Thompson",88,NA,2283,234,"AveragePuttingDistanceGIR1Putts",2010
175,175,"Charles Warren",64,NA,1829.667,188,"AveragePuttingDistanceGIR1Putts",2010
175,175,"Nick Watney",91,NA,2395,246,"AveragePuttingDistanceGIR1Putts",2010
181,181,"Cliff Kresge",50,NA,1126.833,117,"AveragePuttingDistanceGIR1Putts",2010
182,182,"Sergio Garcia",58,NA,947.417,99,"AveragePuttingDistanceGIR1Putts",2010
182,182,"Phil Mickelson",76,NA,1738.25,181,"AveragePuttingDistanceGIR1Putts",2010
182,182,"Heath Slocum",97,NA,2225.333,232,"AveragePuttingDistanceGIR1Putts",2010
182,182,"Jimmy Walker",82,NA,2106.583,220,"AveragePuttingDistanceGIR1Putts",2010
186,186,"Padraig Harrington",57,NA,1287.667,137,"AveragePuttingDistanceGIR1Putts",2010
186,186,"Marc Leishman",87,NA,2199.667,234,"AveragePuttingDistanceGIR1Putts",2010
186,186,"Cameron Percy",73,NA,1693.167,180,"AveragePuttingDistanceGIR1Putts",2010
186,186,"Mike Weir",59,NA,1085,115,"AveragePuttingDistanceGIR1Putts",2010
190,190,"Chris Wilson",65,NA,1359.917,147,"AveragePuttingDistanceGIR1Putts",2010
191,191,"Martin Laird",91,NA,2277.083,251,"AveragePuttingDistanceGIR1Putts",2010
192,192,"Garth Mulroy",53,NA,1075.917,125,"AveragePuttingDistanceGIR1Putts",2010
