"Puttingfrom4_RANKTHISWEEK_2009","Puttingfrom4_RANKLASTWEEK_2009","Puttingfrom4_PLAYERNAME_2009","Puttingfrom4_ROUNDS_2009","Puttingfrom4_PctMADE_2009","Puttingfrom4_ATTEMPTS_2009","Puttingfrom4_PUTTSMADE_2009","stat_name","year"
73,73,"Steve Stricker",81,92.13,127,117,"Puttingfrom4",2009
74,74,"Glen Day",79,92.11,114,105,"Puttingfrom4",2009
75,75,"Corey Pavin",73,92.08,101,93,"Puttingfrom4",2009
76,76,"Webb Simpson",94,92.05,176,162,"Puttingfrom4",2009
77,77,"Stewart Cink",79,92.04,113,104,"Puttingfrom4",2009
78,78,"Hunter Mahan",94,92.02,163,150,"Puttingfrom4",2009
79,79,"Troy Matteson",95,91.98,162,149,"Puttingfrom4",2009
80,80,"Chris DiMarco",97,91.96,199,183,"Puttingfrom4",2009
81,81,"Heath Slocum",95,91.95,174,160,"Puttingfrom4",2009
82,82,"Aaron Baddeley",66,91.87,123,113,"Puttingfrom4",2009
83,83,"Camilo Villegas",76,91.82,110,101,"Puttingfrom4",2009
84,84,"Jarrod Lyle",65,91.75,97,89,"Puttingfrom4",2009
85,85,"Stuart Appleby",79,91.61,155,142,"Puttingfrom4",2009
85,85,"Jimmy Walker",74,91.61,143,131,"Puttingfrom4",2009
87,87,"Rod Pampling",72,91.59,107,98,"Puttingfrom4",2009
88,88,"Rory Sabbatini",81,91.55,142,130,"Puttingfrom4",2009
89,89,"Charlie Wi",92,91.53,177,162,"Puttingfrom4",2009
90,90,"Marc Leishman",91,91.52,165,151,"Puttingfrom4",2009
91,91,"Bob Estes",78,91.5,153,140,"Puttingfrom4",2009
92,92,"Lucas Glover",93,91.3,161,147,"Puttingfrom4",2009
93,93,"Tim Herron",87,91.28,195,178,"Puttingfrom4",2009
93,93,"Dustin Johnson",85,91.28,149,136,"Puttingfrom4",2009
93,93,"Brett Quigley",92,91.28,172,157,"Puttingfrom4",2009
96,96,"Robert Garrigus",83,91.26,183,167,"Puttingfrom4",2009
97,97,"Andres Romero",58,91.23,114,104,"Puttingfrom4",2009
98,98,"Carl Pettersson",86,91.22,148,135,"Puttingfrom4",2009
99,99,"Greg Owen",97,91.12,169,154,"Puttingfrom4",2009
100,100,"Leif Olson",51,91,100,91,"Puttingfrom4",2009
101,101,"Bryce Molder",69,90.99,111,101,"Puttingfrom4",2009
102,102,"Brandt Snedeker",81,90.98,133,121,"Puttingfrom4",2009
103,103,"Scott Sterling",51,90.91,77,70,"Puttingfrom4",2009
104,104,"JJ Henry",97,90.8,163,148,"Puttingfrom4",2009
105,105,"Fred Couples",54,90.79,76,69,"Puttingfrom4",2009
106,106,"Martin Laird",72,90.63,128,116,"Puttingfrom4",2009
107,107,"Sergio Garcia",59,90.59,85,77,"Puttingfrom4",2009
107,107,"Tag Ridings",50,90.59,85,77,"Puttingfrom4",2009
109,109,"Ted Purdy",101,90.56,180,163,"Puttingfrom4",2009
110,110,"Bill Lunde",83,90.51,158,143,"Puttingfrom4",2009
111,111,"Michael Letzig",96,90.45,157,142,"Puttingfrom4",2009
112,112,"Jason Bohn",88,90.42,167,151,"Puttingfrom4",2009
113,113,"Vaughn Taylor",88,90.36,166,150,"Puttingfrom4",2009
114,114,"Mark Brooks",55,90.28,72,65,"Puttingfrom4",2009
115,115,"Patrick Sheehan",51,90.14,71,64,"Puttingfrom4",2009
116,116,"Paul Goydos",79,90.07,141,127,"Puttingfrom4",2009
117,117,"John Mallinger",90,90,150,135,"Puttingfrom4",2009
118,118,"Aron Price",89,89.95,189,170,"Puttingfrom4",2009
119,119,"Cliff Kresge",78,89.94,159,143,"Puttingfrom4",2009
120,120,"Brad Adamonis",70,89.92,119,107,"Puttingfrom4",2009
120,120,"Matt Weibring",65,89.92,119,107,"Puttingfrom4",2009
122,122,"Steve Lowery",83,89.89,178,160,"Puttingfrom4",2009
123,123,"Jeff Quinney",78,89.78,186,167,"Puttingfrom4",2009
124,124,"Matt Bettencourt",98,89.69,223,200,"Puttingfrom4",2009
125,125,"Mark Wilson",99,89.6,173,155,"Puttingfrom4",2009
126,126,"KJ Choi",65,89.58,96,86,"Puttingfrom4",2009
127,127,"Ken Duke",87,89.53,172,154,"Puttingfrom4",2009
128,128,"Tom Pernice Jr",82,89.44,161,144,"Puttingfrom4",2009
129,129,"Gary Woodland",53,89.41,85,76,"Puttingfrom4",2009
130,130,"Rick Price",54,89.32,103,92,"Puttingfrom4",2009
131,131,"Todd Hamilton",83,89.17,120,107,"Puttingfrom4",2009
132,132,"Brian Vranesh",51,88.99,109,97,"Puttingfrom4",2009
133,133,"Chez Reavie",81,88.97,145,129,"Puttingfrom4",2009
134,134,"Alex Cejka",82,88.89,162,144,"Puttingfrom4",2009
134,134,"Sean OHair",80,88.89,126,112,"Puttingfrom4",2009
136,136,"Charles Howell III",99,88.82,152,135,"Puttingfrom4",2009
136,136,"Davis Love III",89,88.82,152,135,"Puttingfrom4",2009
136,136,"DA Points",99,88.82,170,151,"Puttingfrom4",2009
139,139,"John Rollins",92,88.77,187,166,"Puttingfrom4",2009
140,140,"Steve Flesch",77,88.73,142,126,"Puttingfrom4",2009
141,141,"Steve Elkington",70,88.7,115,102,"Puttingfrom4",2009
141,141,"Colt Knost",71,88.7,115,102,"Puttingfrom4",2009
143,143,"Scott Piercy",85,88.59,149,132,"Puttingfrom4",2009
144,144,"Jeff Maggert",79,88.54,157,139,"Puttingfrom4",2009
145,145,"Kevin Stadler",65,88.46,104,92,"Puttingfrom4",2009
146,146,"Cameron Beckman",87,88.3,171,151,"Puttingfrom4",2009
147,147,"Bob Heintz",59,88.24,85,75,"Puttingfrom4",2009
147,147,"John Merrick",91,88.24,119,105,"Puttingfrom4",2009
149,149,"Tom Lehman",55,88.16,76,67,"Puttingfrom4",2009
150,150,"Woody Austin",84,88.14,177,156,"Puttingfrom4",2009
151,151,"Marc Turnesa",77,88,150,132,"Puttingfrom4",2009
152,152,"Bubba Watson",73,87.83,115,101,"Puttingfrom4",2009
153,153,"Brian Davis",103,87.82,197,173,"Puttingfrom4",2009
154,154,"DJ Trahan",96,87.78,180,158,"Puttingfrom4",2009
155,155,"Chris Riley",77,87.77,139,122,"Puttingfrom4",2009
156,156,"Ernie Els",70,87.76,98,86,"Puttingfrom4",2009
157,157,"Brendon Todd",53,87.62,105,92,"Puttingfrom4",2009
158,158,"Jason Day",61,87.6,121,106,"Puttingfrom4",2009
159,159,"Jason Gore",74,87.59,145,127,"Puttingfrom4",2009
160,160,"Greg Kraft",51,87.5,88,77,"Puttingfrom4",2009
160,160,"Vijay Singh",71,87.5,112,98,"Puttingfrom4",2009
162,162,"Casey Wittenberg",71,87.4,127,111,"Puttingfrom4",2009
