"AveragePuttingDistanceGIR3PlusPutts_RANKTHISWEEK_2013","AveragePuttingDistanceGIR3PlusPutts_RANKLASTWEEK_2013","AveragePuttingDistanceGIR3PlusPutts_PLAYERNAME_2013","AveragePuttingDistanceGIR3PlusPutts_ROUNDS_2013","AveragePuttingDistanceGIR3PlusPutts_AVG_2013","AveragePuttingDistanceGIR3PlusPutts_DISTANCEFEET_2013","AveragePuttingDistanceGIR3PlusPutts_TOTALPUTTS_2013","stat_name","year"
31,31,"Ernie Els",63,NA,43,1,"AveragePuttingDistanceGIR3PlusPutts",2013
32,32,"Angel Cabrera",73,NA,42.583,1,"AveragePuttingDistanceGIR3PlusPutts",2013
33,33,"Josh Teater",86,NA,41.667,1,"AveragePuttingDistanceGIR3PlusPutts",2013
34,34,"Steven Bowditch",67,NA,81.833,2,"AveragePuttingDistanceGIR3PlusPutts",2013
35,35,"Luke Guthrie",82,NA,40.833,1,"AveragePuttingDistanceGIR3PlusPutts",2013
36,36,"Camilo Villegas",79,NA,40.5,1,"AveragePuttingDistanceGIR3PlusPutts",2013
37,37,"Charl Schwartzel",69,NA,39.917,1,"AveragePuttingDistanceGIR3PlusPutts",2013
38,38,"Ricky Barnes",74,NA,79.417,2,"AveragePuttingDistanceGIR3PlusPutts",2013
39,39,"Alistair Presnell",59,NA,37.083,1,"AveragePuttingDistanceGIR3PlusPutts",2013
40,40,"Scott Stallings",79,NA,36.417,1,"AveragePuttingDistanceGIR3PlusPutts",2013
40,40,"Lee Westwood",70,NA,72.75,2,"AveragePuttingDistanceGIR3PlusPutts",2013
42,42,"Bill Haas",85,NA,36,1,"AveragePuttingDistanceGIR3PlusPutts",2013
43,43,"Ryan Moore",72,NA,34.333,1,"AveragePuttingDistanceGIR3PlusPutts",2013
44,44,"Vaughn Taylor",50,NA,33.833,1,"AveragePuttingDistanceGIR3PlusPutts",2013
45,45,"Bob Estes",66,NA,32.75,1,"AveragePuttingDistanceGIR3PlusPutts",2013
46,46,"Brendon de Jonge",110,NA,31.917,1,"AveragePuttingDistanceGIR3PlusPutts",2013
47,47,"Nicholas Thompson",99,NA,124.667,4,"AveragePuttingDistanceGIR3PlusPutts",2013
48,48,"Michael Bradley",56,NA,30.917,1,"AveragePuttingDistanceGIR3PlusPutts",2013
49,49,"Sangmoon Bae",83,NA,30.833,1,"AveragePuttingDistanceGIR3PlusPutts",2013
50,50,"David Toms",49,NA,30.417,1,"AveragePuttingDistanceGIR3PlusPutts",2013
51,51,"Kyle Stanley",71,NA,90.5,3,"AveragePuttingDistanceGIR3PlusPutts",2013
52,52,"Greg Owen",73,NA,29.667,1,"AveragePuttingDistanceGIR3PlusPutts",2013
53,53,"Luke List",65,NA,28.667,1,"AveragePuttingDistanceGIR3PlusPutts",2013
54,54,"Harris English",95,NA,28,1,"AveragePuttingDistanceGIR3PlusPutts",2013
55,55,"Jonas Blixt",76,NA,55.083,2,"AveragePuttingDistanceGIR3PlusPutts",2013
56,56,"John Senden",79,NA,27.25,1,"AveragePuttingDistanceGIR3PlusPutts",2013
57,57,"Jordan Spieth",82,NA,26.417,1,"AveragePuttingDistanceGIR3PlusPutts",2013
58,58,"Peter Hanson",45,NA,26.25,1,"AveragePuttingDistanceGIR3PlusPutts",2013
59,59,"Billy Horschel",96,NA,25.75,1,"AveragePuttingDistanceGIR3PlusPutts",2013
60,60,"Brandt Jobe",62,NA,23.417,1,"AveragePuttingDistanceGIR3PlusPutts",2013
61,61,"Nicolas Colsaerts",50,NA,23.25,1,"AveragePuttingDistanceGIR3PlusPutts",2013
62,62,"Scott Gardiner",61,NA,42.833,2,"AveragePuttingDistanceGIR3PlusPutts",2013
63,63,"Scott Piercy",78,NA,18.583,1,"AveragePuttingDistanceGIR3PlusPutts",2013
64,64,"Cameron Percy",68,NA,15.833,1,"AveragePuttingDistanceGIR3PlusPutts",2013
65,65,"David Mathis",71,NA,7.417,1,"AveragePuttingDistanceGIR3PlusPutts",2013
66,66,"Andres Romero",63,NA,6.75,1,"AveragePuttingDistanceGIR3PlusPutts",2013
67,67,"Lucas Glover",65,NA,5.833,1,"AveragePuttingDistanceGIR3PlusPutts",2013
68,68,"Rod Pampling",46,NA,4.583,1,"AveragePuttingDistanceGIR3PlusPutts",2013
