"NonWGCFedExCupSeasonPointsforNonMembers_RANKTHISWEEK_2013","NonWGCFedExCupSeasonPointsforNonMembers_RANKLASTWEEK_2013","NonWGCFedExCupSeasonPointsforNonMembers_PLAYERNAME_2013","NonWGCFedExCupSeasonPointsforNonMembers_EVENTS_2013","NonWGCFedExCupSeasonPointsforNonMembers_POINTS_2013","stat_name","year"
50,50,"Ryan Blaum",3,23,"NonWGCFedExCupSeasonPointsforNonMembers",2013
50,50,"Scott Harrington",1,23,"NonWGCFedExCupSeasonPointsforNonMembers",2013
52,52,"Steven Alker",2,23,"NonWGCFedExCupSeasonPointsforNonMembers",2013
52,52,"Mark Brown",1,23,"NonWGCFedExCupSeasonPointsforNonMembers",2013
52,52,"Shingo Katayama",1,23,"NonWGCFedExCupSeasonPointsforNonMembers",2013
52,52,"Bio Kim",1,23,"NonWGCFedExCupSeasonPointsforNonMembers",2013
56,56,"John Kimbell",1,21,"NonWGCFedExCupSeasonPointsforNonMembers",2013
57,57,"Nate Smith",1,18,"NonWGCFedExCupSeasonPointsforNonMembers",2013
58,58,"Sam Saunders",1,17,"NonWGCFedExCupSeasonPointsforNonMembers",2013
59,59,"Mark Anderson",1,16,"NonWGCFedExCupSeasonPointsforNonMembers",2013
59,59,"Hideto Tanihara",1,16,"NonWGCFedExCupSeasonPointsforNonMembers",2013
61,61,"Roger Sloan",1,15,"NonWGCFedExCupSeasonPointsforNonMembers",2013
62,62,"Thomas Aiken",2,12,"NonWGCFedExCupSeasonPointsforNonMembers",2013
63,63,"Richie Ramsay",4,11,"NonWGCFedExCupSeasonPointsforNonMembers",2013
64,64,"Matt Weibring",1,9,"NonWGCFedExCupSeasonPointsforNonMembers",2013
65,65,"Sebastian Vazquez",1,8,"NonWGCFedExCupSeasonPointsforNonMembers",2013
66,66,"Peter Hedblom",1,6,"NonWGCFedExCupSeasonPointsforNonMembers",2013
66,66,"David Howell",1,6,"NonWGCFedExCupSeasonPointsforNonMembers",2013
68,68,"Gregory Bourdy",1,4,"NonWGCFedExCupSeasonPointsforNonMembers",2013
68,68,"Bernd Wiesberger",2,4,"NonWGCFedExCupSeasonPointsforNonMembers",2013
68,68,"Chris Wood",5,4,"NonWGCFedExCupSeasonPointsforNonMembers",2013
71,71,"Kevin Kisner",1,4,"NonWGCFedExCupSeasonPointsforNonMembers",2013
72,72,"Zack Fischer",4,3,"NonWGCFedExCupSeasonPointsforNonMembers",2013
73,73,"David Branshaw",1,2,"NonWGCFedExCupSeasonPointsforNonMembers",2013
74,74,"Brooks Koepka",2,1,"NonWGCFedExCupSeasonPointsforNonMembers",2013
75,75,"Gareth Wright",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2013
76,76,"Simon Khan",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2013
77,77,"Andrew Johnson",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2013
78,78,"Shiv Kapur",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2013
78,78,"KT Kim",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2013
80,80,"Rafael Campos",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2013
80,80,"Rod Perry",3,1,"NonWGCFedExCupSeasonPointsforNonMembers",2013
82,82,"Michael Block",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2013
83,83,"Mikko Ilonen",3,1,"NonWGCFedExCupSeasonPointsforNonMembers",2013
83,83,"Peter Senior",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2013
85,85,"Brad Adamonis",2,1,"NonWGCFedExCupSeasonPointsforNonMembers",2013
