"NonmemberEarnings_RANKTHISWEEK_2013","NonmemberEarnings_RANKLASTWEEK_2013","NonmemberEarnings_PLAYERNAME_2013","NonmemberEarnings_EVENTS_2013","NonmemberEarnings_MONEY_2013","NonmemberEarnings_TOTAL_2013","stat_name","year"
35,35,"Thongchai Jaidee",4,58126,104126,"NonmemberEarnings",2013
36,36,"Steven Tiley",1,56873,56873,"NonmemberEarnings",2013
37,37,"Jonathan Randolph",1,54000,54000,"NonmemberEarnings",2013
38,38,"Blayne Barber",3,52110,52110,"NonmemberEarnings",2013
39,39,"Scott Jamieson",3,48500,131500,"NonmemberEarnings",2013
40,40,"Edward Loar",2,47246,47246,"NonmemberEarnings",2013
41,41,"Hunter Haas",5,42929,42929,"NonmemberEarnings",2013
42,42,"Thomas Bjorn",4,41171,87171,"NonmemberEarnings",2013
43,43,"Marcus Fraser",6,39830,183330,"NonmemberEarnings",2013
44,44,"Kelly Kraft",2,39539,39539,"NonmemberEarnings",2013
45,45,"Chris Williams",5,39304,39304,"NonmemberEarnings",2013
46,46,"Oliver Fisher",1,39251,39251,"NonmemberEarnings",2013
47,47,"Todd Baek",1,35960,35960,"NonmemberEarnings",2013
48,48,"Steven Alker",2,28961,28961,"NonmemberEarnings",2013
48,48,"Bio Kim",1,28961,28961,"NonmemberEarnings",2013
50,50,"Jon Curran",3,28350,28350,"NonmemberEarnings",2013
51,51,"Mark Brown",1,24641,24641,"NonmemberEarnings",2013
51,51,"Shingo Katayama",1,24641,24641,"NonmemberEarnings",2013
53,53,"Jeremiah Wooding",1,23760,23760,"NonmemberEarnings",2013
54,54,"Ryan Blaum",3,20417,20417,"NonmemberEarnings",2013
55,55,"Richie Ramsay",4,20077,119077,"NonmemberEarnings",2013
56,56,"Matt Weibring",1,19406,19406,"NonmemberEarnings",2013
57,57,"Gregory Bourdy",1,19085,19085,"NonmemberEarnings",2013
57,57,"Bernd Wiesberger",2,19085,19085,"NonmemberEarnings",2013
57,57,"Chris Wood",5,19085,330585,"NonmemberEarnings",2013
60,60,"Peter Hedblom",1,18926,18926,"NonmemberEarnings",2013
60,60,"David Howell",1,18926,18926,"NonmemberEarnings",2013
62,62,"Gareth Wright",1,18398,18398,"NonmemberEarnings",2013
63,63,"Scott Harrington",1,18295,18295,"NonmemberEarnings",2013
64,64,"Shiv Kapur",1,17864,17864,"NonmemberEarnings",2013
64,64,"KT Kim",1,17864,17864,"NonmemberEarnings",2013
66,66,"Mikko Ilonen",3,17253,60053,"NonmemberEarnings",2013
66,66,"Peter Senior",1,17253,17253,"NonmemberEarnings",2013
68,68,"Simon Khan",1,16844,16844,"NonmemberEarnings",2013
69,69,"Nate Smith",1,15829,15829,"NonmemberEarnings",2013
70,70,"Sam Saunders",1,15184,15184,"NonmemberEarnings",2013
71,71,"Brooks Koepka",2,14950,14950,"NonmemberEarnings",2013
72,72,"Zack Fischer",4,13601,13601,"NonmemberEarnings",2013
73,73,"Mark Anderson",1,12824,12824,"NonmemberEarnings",2013
73,73,"Hideto Tanihara",1,12824,12824,"NonmemberEarnings",2013
75,75,"Roger Sloan",1,12805,12805,"NonmemberEarnings",2013
76,76,"David Branshaw",1,12444,12444,"NonmemberEarnings",2013
77,77,"Michael Block",1,12342,12342,"NonmemberEarnings",2013
78,78,"John Kimbell",1,12162,12162,"NonmemberEarnings",2013
79,79,"Rod Perry",3,11656,11656,"NonmemberEarnings",2013
80,80,"Brad Adamonis",2,11340,11340,"NonmemberEarnings",2013
81,81,"Sebastian Vazquez",1,7700,7700,"NonmemberEarnings",2013
82,82,"Thomas Aiken",2,7104,7104,"NonmemberEarnings",2013
83,83,"Rafael Campos",1,6650,6650,"NonmemberEarnings",2013
84,84,"Kevin Kisner",1,6180,6180,"NonmemberEarnings",2013
85,85,"Andrew Johnson",1,5850,5850,"NonmemberEarnings",2013
