"FedExCupSeasonPointsforNonMembers_RANKTHISWEEK_2015","FedExCupSeasonPointsforNonMembers_RANKLASTWEEK_2015","FedExCupSeasonPointsforNonMembers_PLAYERNAME_2015","FedExCupSeasonPointsforNonMembers_EVENTS_2015","FedExCupSeasonPointsforNonMembers_POINTS_2015","FedExCupSeasonPointsforNonMembers_WGCPOINTS_2015","stat_name","year"
24,24,"Rafa Cabrera Bello",4,87,NA,"FedExCupSeasonPointsforNonMembers",2015
25,25,"Jamie Lovemark",2,86,NA,"FedExCupSeasonPointsforNonMembers",2015
26,26,"Pablo Larrazabal",4,76,76,"FedExCupSeasonPointsforNonMembers",2015
27,27,"Prom Meesawat",1,75,NA,"FedExCupSeasonPointsforNonMembers",2015
27,27,"Angelo Que",1,75,NA,"FedExCupSeasonPointsforNonMembers",2015
29,29,"Mark Anderson",7,69,NA,"FedExCupSeasonPointsforNonMembers",2015
30,30,"Peter Uihlein",4,68,NA,"FedExCupSeasonPointsforNonMembers",2015
31,31,"Soren Kjeldsen",3,65,65,"FedExCupSeasonPointsforNonMembers",2015
32,32,"Anthony Wall",1,64,NA,"FedExCupSeasonPointsforNonMembers",2015
33,33,"Brandon Hagy",8,63,NA,"FedExCupSeasonPointsforNonMembers",2015
34,34,"Byeong Hun An",5,62,13,"FedExCupSeasonPointsforNonMembers",2015
35,35,"Wu Ashun",1,56,56,"FedExCupSeasonPointsforNonMembers",2015
36,36,"Marcus Fraser",2,51,NA,"FedExCupSeasonPointsforNonMembers",2015
37,37,"Thomas Bjorn",7,51,30,"FedExCupSeasonPointsforNonMembers",2015
38,38,"James Morrison",2,47,NA,"FedExCupSeasonPointsforNonMembers",2015
39,39,"Hyung Sung Kim",2,46,8,"FedExCupSeasonPointsforNonMembers",2015
40,40,"Ross Fisher",3,46,45,"FedExCupSeasonPointsforNonMembers",2015
41,41,"Tyrrell Hatton",2,44,NA,"FedExCupSeasonPointsforNonMembers",2015
41,41,"Cheng Tsung Pan",2,44,NA,"FedExCupSeasonPointsforNonMembers",2015
43,43,"Cory Whitsett",2,43,NA,"FedExCupSeasonPointsforNonMembers",2015
44,44,"Jimmy Gunn",1,39,NA,"FedExCupSeasonPointsforNonMembers",2015
45,45,"Garrett Osborn",4,38,NA,"FedExCupSeasonPointsforNonMembers",2015
46,46,"DH Lee",2,37,NA,"FedExCupSeasonPointsforNonMembers",2015
47,47,"Cameron Wilson",3,37,NA,"FedExCupSeasonPointsforNonMembers",2015
48,48,"Adam Svensson",1,34,NA,"FedExCupSeasonPointsforNonMembers",2015
49,49,"Hao Tong Li",1,34,34,"FedExCupSeasonPointsforNonMembers",2015
50,50,"David Lipsky",5,33,22,"FedExCupSeasonPointsforNonMembers",2015
51,51,"Michael Smith",1,32,NA,"FedExCupSeasonPointsforNonMembers",2015
52,52,"Wes Homan",4,32,NA,"FedExCupSeasonPointsforNonMembers",2015
53,53,"Miguel Angel Jimenez",6,29,29,"FedExCupSeasonPointsforNonMembers",2015
54,54,"Rikard Karlberg",2,29,NA,"FedExCupSeasonPointsforNonMembers",2015
55,55,"Dawie van der Walt",1,28,28,"FedExCupSeasonPointsforNonMembers",2015
56,56,"Koumei Oda",4,28,27,"FedExCupSeasonPointsforNonMembers",2015
57,57,"WC Liang",5,28,22,"FedExCupSeasonPointsforNonMembers",2015
58,58,"Martin Piller",1,28,NA,"FedExCupSeasonPointsforNonMembers",2015
59,59,"Scott Arnold",1,27,NA,"FedExCupSeasonPointsforNonMembers",2015
59,59,"Paul Lawrie",1,27,NA,"FedExCupSeasonPointsforNonMembers",2015
59,59,"JJ Spaun",1,27,NA,"FedExCupSeasonPointsforNonMembers",2015
62,62,"Cody Gribble",4,26,NA,"FedExCupSeasonPointsforNonMembers",2015
63,63,"Wes Roach",1,26,NA,"FedExCupSeasonPointsforNonMembers",2015
64,64,"Jason Allred",3,26,NA,"FedExCupSeasonPointsforNonMembers",2015
65,65,"Kelvin Day",2,26,NA,"FedExCupSeasonPointsforNonMembers",2015
66,66,"Jason Knutzon",2,25,1,"FedExCupSeasonPointsforNonMembers",2015
67,67,"Brad Fritsch",3,24,NA,"FedExCupSeasonPointsforNonMembers",2015
68,68,"Steve Lewton",1,23,NA,"FedExCupSeasonPointsforNonMembers",2015
69,69,"Fabrizio Zanotti",1,22,NA,"FedExCupSeasonPointsforNonMembers",2015
70,70,"Felipe Aguilar",1,21,21,"FedExCupSeasonPointsforNonMembers",2015
71,71,"Chris Naegel",2,19,NA,"FedExCupSeasonPointsforNonMembers",2015
72,72,"Sebastian Cappelen",2,19,NA,"FedExCupSeasonPointsforNonMembers",2015
73,73,"Darren Clarke",6,19,NA,"FedExCupSeasonPointsforNonMembers",2015
74,74,"Ryan Fox",1,18,NA,"FedExCupSeasonPointsforNonMembers",2015
74,74,"David Howell",2,18,NA,"FedExCupSeasonPointsforNonMembers",2015
74,74,"Eddie Pepperell",2,18,NA,"FedExCupSeasonPointsforNonMembers",2015
77,77,"Hennie Otto",1,17,17,"FedExCupSeasonPointsforNonMembers",2015
78,78,"Doug LaBelle II",1,17,NA,"FedExCupSeasonPointsforNonMembers",2015
78,78,"Kevin Tway",1,17,NA,"FedExCupSeasonPointsforNonMembers",2015
80,80,"Tom Johnson",2,16,NA,"FedExCupSeasonPointsforNonMembers",2015
81,81,"Mark Silvers",2,16,NA,"FedExCupSeasonPointsforNonMembers",2015
82,82,"Alexandre Rocha",1,15,NA,"FedExCupSeasonPointsforNonMembers",2015
83,83,"Patton Kizzire",2,13,NA,"FedExCupSeasonPointsforNonMembers",2015
83,83,"Alexander Noren",2,13,13,"FedExCupSeasonPointsforNonMembers",2015
85,85,"Alex Kang",1,13,NA,"FedExCupSeasonPointsforNonMembers",2015
86,86,"Brad Elder",1,11,NA,"FedExCupSeasonPointsforNonMembers",2015
86,86,"Mu Hu",1,11,11,"FedExCupSeasonPointsforNonMembers",2015
88,88,"Darren Fichardt",1,9,9,"FedExCupSeasonPointsforNonMembers",2015
88,88,"Cory Renfrew",1,9,NA,"FedExCupSeasonPointsforNonMembers",2015
90,90,"Robert Karlsson",2,9,NA,"FedExCupSeasonPointsforNonMembers",2015
90,90,"Oliver Wilson",2,9,9,"FedExCupSeasonPointsforNonMembers",2015
92,92,"Steven Jeffress",1,8,8,"FedExCupSeasonPointsforNonMembers",2015
93,93,"Andy Pope",2,8,NA,"FedExCupSeasonPointsforNonMembers",2015
94,94,"Gary Stal",2,8,8,"FedExCupSeasonPointsforNonMembers",2015
95,95,"Andrew Dodt",1,7,7,"FedExCupSeasonPointsforNonMembers",2015
96,96,"Mike Hendry",1,5,5,"FedExCupSeasonPointsforNonMembers",2015
96,96,"Lian Wei Zhang",1,5,5,"FedExCupSeasonPointsforNonMembers",2015
98,98,"Scott Gutschewski",1,5,NA,"FedExCupSeasonPointsforNonMembers",2015
98,98,"Colin Montgomerie",2,5,NA,"FedExCupSeasonPointsforNonMembers",2015
98,98,"Danie van Tonder",1,5,5,"FedExCupSeasonPointsforNonMembers",2015
101,101,"Danny Chia",1,4,NA,"FedExCupSeasonPointsforNonMembers",2015
101,101,"Nicholas Fung",1,4,NA,"FedExCupSeasonPointsforNonMembers",2015
103,103,"Smylie Kaufman",2,3,NA,"FedExCupSeasonPointsforNonMembers",2015
104,104,"Antonio Lascuna",2,2,2,"FedExCupSeasonPointsforNonMembers",2015
105,105,"Michael Block",6,2,NA,"FedExCupSeasonPointsforNonMembers",2015
106,106,"John Chin",1,2,NA,"FedExCupSeasonPointsforNonMembers",2015
107,107,"Alvaro Quiros",2,2,NA,"FedExCupSeasonPointsforNonMembers",2015
108,108,"Zecheng Dou",1,2,2,"FedExCupSeasonPointsforNonMembers",2015
108,108,"Jay Woodson",1,2,NA,"FedExCupSeasonPointsforNonMembers",2015
110,110,"Richie Ramsay",2,1,NA,"FedExCupSeasonPointsforNonMembers",2015
111,111,"Brian Gaffney",1,1,NA,"FedExCupSeasonPointsforNonMembers",2015
111,111,"Bobby Wyatt",2,1,NA,"FedExCupSeasonPointsforNonMembers",2015
113,113,"Daniel Miernicki",1,1,NA,"FedExCupSeasonPointsforNonMembers",2015
114,114,"Thomas Birdsey",1,1,NA,"FedExCupSeasonPointsforNonMembers",2015
114,114,"John Parry",1,1,NA,"FedExCupSeasonPointsforNonMembers",2015
116,116,"Hiroyuki Fujita",3,1,1,"FedExCupSeasonPointsforNonMembers",2015
116,116,"Michael McCabe",1,1,NA,"FedExCupSeasonPointsforNonMembers",2015
118,118,"Richy Werenski",1,1,NA,"FedExCupSeasonPointsforNonMembers",2015
119,119,"James Driscoll",1,1,NA,"FedExCupSeasonPointsforNonMembers",2015
119,119,"Yoshitaka Takeya",1,1,1,"FedExCupSeasonPointsforNonMembers",2015
119,119,"Jaco Van Zyl",2,1,1,"FedExCupSeasonPointsforNonMembers",2015
122,122,"Nick Cullen",1,1,1,"FedExCupSeasonPointsforNonMembers",2015
122,122,"Brett Rumford",1,1,NA,"FedExCupSeasonPointsforNonMembers",2015
124,124,"Jin Jeong",1,1,1,"FedExCupSeasonPointsforNonMembers",2015
125,125,"Seukhyun Baek",2,1,NA,"FedExCupSeasonPointsforNonMembers",2015
126,126,"Marcelo Rozo",1,1,NA,"FedExCupSeasonPointsforNonMembers",2015
