"FedExCupPlayoffsPoints_RANKTHISWEEK_2015","FedExCupPlayoffsPoints_RANKLASTWEEK_2015","FedExCupPlayoffsPoints_PLAYERNAME_2015","FedExCupPlayoffsPoints_EVENTS_2015","FedExCupPlayoffsPoints_POINTS_2015","FedExCupPlayoffsPoints_OFWINS_2015","FedExCupPlayoffsPoints_OFTOP10S_2015","FedExCupPlayoffsPoints_POINTSBEHINDLEAD_2015","FedExCupPlayoffsPoints_RESETPOINTS_2015","stat_name","year"
16,16,"Jimmy Walker",24,558,2,6,3242,352,"FedExCupPlayoffsPoints",2015
18,18,"Robert Streb",30,542,1,9,3258,336,"FedExCupPlayoffsPoints",2015
19,19,"Matt Kuchar",25,530,NA,7,3270,240,"FedExCupPlayoffsPoints",2015
20,20,"Steven Bowditch",32,454,1,2,3346,216,"FedExCupPlayoffsPoints",2015
21,21,"Kevin Kisner",30,444,NA,6,3356,272,"FedExCupPlayoffsPoints",2015
22,22,"Scott Piercy",28,432,1,5,3368,248,"FedExCupPlayoffsPoints",2015
23,23,"Brandt Snedeker",27,416,1,8,3384,224,"FedExCupPlayoffsPoints",2015
24,24,"Brooks Koepka",23,414,1,8,3386,208,"FedExCupPlayoffsPoints",2015
25,25,"Kevin Na",27,410,NA,7,3390,192,"FedExCupPlayoffsPoints",2015
26,26,"Sangmoon Bae",30,390,1,5,3410,184,"FedExCupPlayoffsPoints",2015
27,27,"Bill Haas",25,380,1,5,3420,200,"FedExCupPlayoffsPoints",2015
28,28,"Harris English",29,360,NA,3,3440,168,"FedExCupPlayoffsPoints",2015
29,29,"Jim Furyk",19,304,1,7,3496,304,"FedExCupPlayoffsPoints",2015
30,30,"Louis Oosthuizen",20,176,NA,6,3624,176,"FedExCupPlayoffsPoints",2015
31,31,"Daniel Summerhays",29,1501,NA,5,5179,NA,"FedExCupPlayoffsPoints",2015
32,32,"Justin Thomas",30,1498,NA,7,5182,NA,"FedExCupPlayoffsPoints",2015
33,33,"Matt Jones",25,1445,NA,4,5235,NA,"FedExCupPlayoffsPoints",2015
34,34,"Russell Knox",28,1435,NA,3,5245,NA,"FedExCupPlayoffsPoints",2015
35,35,"Ben Martin",27,1417,1,5,5263,NA,"FedExCupPlayoffsPoints",2015
36,36,"Cameron Tringale",28,1390,NA,3,5290,NA,"FedExCupPlayoffsPoints",2015
37,37,"David Lingmerth",28,1387,1,4,5293,NA,"FedExCupPlayoffsPoints",2015
38,38,"Ryan Palmer",22,1386,NA,5,5294,NA,"FedExCupPlayoffsPoints",2015
39,39,"Ryan Moore",24,1374,1,4,5306,NA,"FedExCupPlayoffsPoints",2015
40,40,"Jason Bohn",27,1373,NA,6,5307,NA,"FedExCupPlayoffsPoints",2015
41,41,"Gary Woodland",24,1300,NA,4,5380,NA,"FedExCupPlayoffsPoints",2015
42,42,"Sean OHair",26,1293,NA,3,5387,NA,"FedExCupPlayoffsPoints",2015
43,43,"Tony Finau",31,1293,NA,5,5387,NA,"FedExCupPlayoffsPoints",2015
44,44,"Chris Kirk",21,1291,1,3,5389,NA,"FedExCupPlayoffsPoints",2015
45,45,"Pat Perez",26,1287,NA,2,5393,NA,"FedExCupPlayoffsPoints",2015
46,46,"Brendon Todd",27,1279,NA,4,5401,NA,"FedExCupPlayoffsPoints",2015
47,47,"Brendon de Jonge",31,1228,NA,3,5452,NA,"FedExCupPlayoffsPoints",2015
48,48,"Webb Simpson",22,1213,NA,5,5467,NA,"FedExCupPlayoffsPoints",2015
49,49,"Hunter Mahan",24,1208,NA,4,5472,NA,"FedExCupPlayoffsPoints",2015
50,50,"Brendan Steele",24,1204,NA,4,5476,NA,"FedExCupPlayoffsPoints",2015
51,51,"James Hahn",28,1202,1,2,5478,NA,"FedExCupPlayoffsPoints",2015
52,52,"Kevin Chappell",26,1186,NA,2,5494,NA,"FedExCupPlayoffsPoints",2015
53,53,"Sergio Garcia",15,1177,NA,4,5503,NA,"FedExCupPlayoffsPoints",2015
54,54,"Shawn Stefani",26,1171,NA,3,5509,NA,"FedExCupPlayoffsPoints",2015
55,55,"David Hearn",30,1152,NA,4,5528,NA,"FedExCupPlayoffsPoints",2015
56,56,"Troy Merritt",29,1148,1,3,5532,NA,"FedExCupPlayoffsPoints",2015
57,57,"Brian Harman",29,1135,NA,3,5545,NA,"FedExCupPlayoffsPoints",2015
58,58,"Nick Watney",28,1135,NA,3,5545,NA,"FedExCupPlayoffsPoints",2015
59,59,"Zac Blair",34,1126,NA,2,5554,NA,"FedExCupPlayoffsPoints",2015
60,60,"Keegan Bradley",24,1103,NA,3,5577,NA,"FedExCupPlayoffsPoints",2015
61,61,"Phil Mickelson",19,1091,NA,3,5589,NA,"FedExCupPlayoffsPoints",2015
62,62,"George McNeill",27,1086,NA,1,5594,NA,"FedExCupPlayoffsPoints",2015
63,63,"Russell Henley",24,1072,NA,4,5608,NA,"FedExCupPlayoffsPoints",2015
64,64,"Fabian Gomez",26,1069,1,2,5611,NA,"FedExCupPlayoffsPoints",2015
65,65,"Rory Sabbatini",25,1064,NA,4,5616,NA,"FedExCupPlayoffsPoints",2015
66,66,"Billy Horschel",28,1051,NA,2,5629,NA,"FedExCupPlayoffsPoints",2015
67,67,"Ian Poulter",19,981,NA,4,5699,NA,"FedExCupPlayoffsPoints",2015
68,68,"Jerry Kelly",24,966,NA,4,5714,NA,"FedExCupPlayoffsPoints",2015
69,69,"William McGirt",30,955,NA,1,5725,NA,"FedExCupPlayoffsPoints",2015
70,70,"Bryce Molder",26,875,NA,2,5805,NA,"FedExCupPlayoffsPoints",2015
71,71,"Alex Cejka",30,859,1,1,5821,NA,"FedExCupPlayoffsPoints",2015
72,72,"Marc Leishman",23,854,NA,4,5826,NA,"FedExCupPlayoffsPoints",2015
73,73,"John Senden",24,848,NA,3,5832,NA,"FedExCupPlayoffsPoints",2015
74,74,"Jim Herman",27,840,NA,2,5840,NA,"FedExCupPlayoffsPoints",2015
75,75,"Kevin Streelman",27,840,NA,2,5840,NA,"FedExCupPlayoffsPoints",2015
76,76,"Boo Weekley",24,830,NA,6,5850,NA,"FedExCupPlayoffsPoints",2015
77,77,"Carl Pettersson",32,809,NA,3,5871,NA,"FedExCupPlayoffsPoints",2015
78,78,"Kyle Reifers",31,804,NA,2,5876,NA,"FedExCupPlayoffsPoints",2015
79,79,"Charles Howell III",30,792,NA,3,5888,NA,"FedExCupPlayoffsPoints",2015
80,80,"Luke Donald",20,782,NA,2,5898,NA,"FedExCupPlayoffsPoints",2015
81,81,"Hudson Swafford",30,776,NA,1,5904,NA,"FedExCupPlayoffsPoints",2015
82,82,"Spencer Levin",31,764,NA,1,5916,NA,"FedExCupPlayoffsPoints",2015
83,83,"Scott Pinckney",27,761,NA,3,5919,NA,"FedExCupPlayoffsPoints",2015
84,84,"Camilo Villegas",27,757,NA,NA,5923,NA,"FedExCupPlayoffsPoints",2015
85,85,"Morgan Hoffmann",26,749,NA,2,5931,NA,"FedExCupPlayoffsPoints",2015
86,86,"Davis Love III",18,735,1,2,5945,NA,"FedExCupPlayoffsPoints",2015
87,87,"Johnson Wagner",23,733,NA,3,5947,NA,"FedExCupPlayoffsPoints",2015
88,88,"Jason Dufner",21,730,NA,2,5950,NA,"FedExCupPlayoffsPoints",2015
89,89,"Matt Every",26,727,1,1,5953,NA,"FedExCupPlayoffsPoints",2015
90,90,"JJ Henry",30,716,1,1,5964,NA,"FedExCupPlayoffsPoints",2015
91,91,"Colt Knost",29,714,NA,4,5966,NA,"FedExCupPlayoffsPoints",2015
92,92,"Jason Gore",26,712,NA,2,5968,NA,"FedExCupPlayoffsPoints",2015
93,93,"Carlos Ortiz",30,711,NA,1,5969,NA,"FedExCupPlayoffsPoints",2015
94,94,"Scott Brown",30,696,NA,3,5984,NA,"FedExCupPlayoffsPoints",2015
95,95,"Mark Wilson",28,681,NA,3,5999,NA,"FedExCupPlayoffsPoints",2015
96,96,"Chad Campbell",30,670,NA,2,6010,NA,"FedExCupPlayoffsPoints",2015
97,97,"Will Wilcox",17,649,NA,4,6031,NA,"FedExCupPlayoffsPoints",2015
98,98,"Chesson Hadley",30,630,NA,3,6050,NA,"FedExCupPlayoffsPoints",2015
99,99,"Martin Laird",24,628,NA,3,6052,NA,"FedExCupPlayoffsPoints",2015
100,100,"Jason Kokrak",28,614,NA,2,6066,NA,"FedExCupPlayoffsPoints",2015
101,101,"Nick Taylor",28,613,1,1,6067,NA,"FedExCupPlayoffsPoints",2015
102,102,"Stewart Cink",23,612,NA,1,6068,NA,"FedExCupPlayoffsPoints",2015
103,103,"Padraig Harrington",21,610,1,1,6070,NA,"FedExCupPlayoffsPoints",2015
104,104,"Greg Owen",19,608,NA,2,6072,NA,"FedExCupPlayoffsPoints",2015
105,105,"John Peterson",25,588,NA,NA,6092,NA,"FedExCupPlayoffsPoints",2015
106,106,"Adam Scott",15,585,NA,3,6095,NA,"FedExCupPlayoffsPoints",2015
107,107,"Adam Hadwin",30,584,NA,3,6096,NA,"FedExCupPlayoffsPoints",2015
108,108,"Charl Schwartzel",19,584,NA,3,6096,NA,"FedExCupPlayoffsPoints",2015
109,109,"Lee Westwood",15,576,NA,1,6104,NA,"FedExCupPlayoffsPoints",2015
110,110,"John Huh",31,565,NA,NA,6115,NA,"FedExCupPlayoffsPoints",2015
111,111,"Francesco Molinari",16,558,NA,2,6122,NA,"FedExCupPlayoffsPoints",2015
112,112,"Graham DeLaet",22,545,NA,3,6135,NA,"FedExCupPlayoffsPoints",2015
113,113,"Jon Curran",28,540,NA,5,6140,NA,"FedExCupPlayoffsPoints",2015
114,114,"Steve Wheatcroft",28,536,NA,2,6144,NA,"FedExCupPlayoffsPoints",2015
115,115,"Andres Gonzales",28,531,NA,3,6149,NA,"FedExCupPlayoffsPoints",2015
116,116,"Chris Stroud",28,531,NA,2,6149,NA,"FedExCupPlayoffsPoints",2015
117,117,"Ken Duke",30,523,NA,3,6157,NA,"FedExCupPlayoffsPoints",2015
118,118,"Retief Goosen",25,519,NA,3,6161,NA,"FedExCupPlayoffsPoints",2015
119,119,"Vijay Singh",23,508,NA,1,6172,NA,"FedExCupPlayoffsPoints",2015
120,120,"Chad Collins",24,504,NA,1,6176,NA,"FedExCupPlayoffsPoints",2015
121,121,"Tim Clark",13,481,NA,1,6199,NA,"FedExCupPlayoffsPoints",2015
122,122,"Ryo Ishikawa",28,476,NA,2,6204,NA,"FedExCupPlayoffsPoints",2015
123,123,"Jonas Blixt",26,471,NA,1,6209,NA,"FedExCupPlayoffsPoints",2015
124,124,"Erik Compton",28,471,NA,1,6209,NA,"FedExCupPlayoffsPoints",2015
125,125,"Jeff Overton",30,464,NA,1,6216,NA,"FedExCupPlayoffsPoints",2015
126,126,"Will Ma Kenzie",16,458,NA,3,6222,NA,"FedExCupPlayoffsPoints",2015
127,127,"Scott Langley",28,448,NA,NA,6232,NA,"FedExCupPlayoffsPoints",2015
128,128,"Brian Stuard",31,447,NA,1,6233,NA,"FedExCupPlayoffsPoints",2015
129,129,"Scott Stallings",19,447,NA,1,6233,NA,"FedExCupPlayoffsPoints",2015
130,130,"Jamie Donaldson",16,447,NA,2,6233,NA,"FedExCupPlayoffsPoints",2015
131,131,"Nicholas Thompson",31,442,NA,1,6238,NA,"FedExCupPlayoffsPoints",2015
132,132,"Tom Hoge",26,441,NA,2,6239,NA,"FedExCupPlayoffsPoints",2015
133,133,"Alex Prugh",27,433,NA,2,6247,NA,"FedExCupPlayoffsPoints",2015
134,134,"Seung Yul Noh",21,432,NA,1,6248,NA,"FedExCupPlayoffsPoints",2015
135,135,"SJ Park",27,426,NA,1,6254,NA,"FedExCupPlayoffsPoints",2015
136,136,"Billy Hurley III",28,420,NA,1,6260,NA,"FedExCupPlayoffsPoints",2015
137,137,"Sam Saunders",28,413,NA,1,6267,NA,"FedExCupPlayoffsPoints",2015
138,138,"Michael Putnam",28,407,NA,NA,6273,NA,"FedExCupPlayoffsPoints",2015
139,139,"Martin Kaymer",13,406,NA,1,6274,NA,"FedExCupPlayoffsPoints",2015
140,140,"Brice Garnett",29,398,NA,1,6282,NA,"FedExCupPlayoffsPoints",2015
141,141,"Whee Kim",23,393,NA,2,6287,NA,"FedExCupPlayoffsPoints",2015
142,142,"Tom Gillis",16,391,NA,1,6289,NA,"FedExCupPlayoffsPoints",2015
143,143,"Brian Davis",31,387,NA,2,6293,NA,"FedExCupPlayoffsPoints",2015
144,144,"David Toms",21,383,NA,2,6297,NA,"FedExCupPlayoffsPoints",2015
145,145,"Blayne Barber",26,380,NA,4,6300,NA,"FedExCupPlayoffsPoints",2015
146,146,"Michael Thompson",27,378,NA,1,6302,NA,"FedExCupPlayoffsPoints",2015
147,147,"Lucas Glover",26,375,NA,NA,6305,NA,"FedExCupPlayoffsPoints",2015
148,148,"Luke Guthrie",27,373,NA,1,6307,NA,"FedExCupPlayoffsPoints",2015
149,149,"Charlie Beljan",27,369,NA,1,6311,NA,"FedExCupPlayoffsPoints",2015
150,150,"Cameron Percy",23,361,NA,1,6319,NA,"FedExCupPlayoffsPoints",2015
