"BirdieorBetterPercentageRightRough_RANKTHISWEEK_2012","BirdieorBetterPercentageRightRough_RANKLASTWEEK_2012","BirdieorBetterPercentageRightRough_PLAYERNAME_2012","BirdieorBetterPercentageRightRough_ROUNDS_2012","BirdieorBetterPercentageRightRough_Pct_2012","BirdieorBetterPercentageRightRough_TOTALBIRDIES_2012","BirdieorBetterPercentageRightRough_TOTALHOLES_2012","stat_name","year"
60,60,"Blake Adams",107,15.63,25,160,"BirdieorBetterPercentageRightRough",2012
60,60,"Daniel Chopra",55,15.63,20,128,"BirdieorBetterPercentageRightRough",2012
62,62,"Charles Howell III",98,15.61,32,205,"BirdieorBetterPercentageRightRough",2012
63,63,"Justin Rose",69,15.6,17,109,"BirdieorBetterPercentageRightRough",2012
64,64,"Danny Lee",74,15.57,19,122,"BirdieorBetterPercentageRightRough",2012
64,64,"Michael Thompson",80,15.57,19,122,"BirdieorBetterPercentageRightRough",2012
66,66,"Rory McIlroy",60,15.53,16,103,"BirdieorBetterPercentageRightRough",2012
67,67,"Ernie Els",80,15.44,21,136,"BirdieorBetterPercentageRightRough",2012
68,68,"Zach Johnson",95,15.38,18,117,"BirdieorBetterPercentageRightRough",2012
69,69,"Ian Poulter",57,15.25,9,59,"BirdieorBetterPercentageRightRough",2012
69,69,"Brendan Steele",77,15.25,18,118,"BirdieorBetterPercentageRightRough",2012
71,71,"Scott Stallings",78,15.22,21,138,"BirdieorBetterPercentageRightRough",2012
72,72,"Charlie Wi",86,15.17,22,145,"BirdieorBetterPercentageRightRough",2012
73,73,"Steve Wheatcroft",56,15.07,11,73,"BirdieorBetterPercentageRightRough",2012
74,74,"Bryce Molder",83,15,24,160,"BirdieorBetterPercentageRightRough",2012
75,75,"Troy Kelly",68,14.95,16,107,"BirdieorBetterPercentageRightRough",2012
76,76,"Mark Anderson",75,14.91,24,161,"BirdieorBetterPercentageRightRough",2012
77,77,"Charl Schwartzel",56,14.86,11,74,"BirdieorBetterPercentageRightRough",2012
78,78,"Jason Kokrak",79,14.81,24,162,"BirdieorBetterPercentageRightRough",2012
79,79,"Bill Lunde",83,14.79,21,142,"BirdieorBetterPercentageRightRough",2012
80,80,"Jonas Blixt",72,14.75,18,122,"BirdieorBetterPercentageRightRough",2012
81,81,"Brian Davis",91,14.29,18,126,"BirdieorBetterPercentageRightRough",2012
81,81,"Luke Donald",63,14.29,13,91,"BirdieorBetterPercentageRightRough",2012
81,81,"Martin Laird",77,14.29,17,119,"BirdieorBetterPercentageRightRough",2012
84,84,"Marc Leishman",84,14.08,29,206,"BirdieorBetterPercentageRightRough",2012
85,85,"Pat Perez",81,14.02,15,107,"BirdieorBetterPercentageRightRough",2012
86,86,"Jim Furyk",85,13.98,13,93,"BirdieorBetterPercentageRightRough",2012
87,87,"Freddie Jacobson",61,13.95,12,86,"BirdieorBetterPercentageRightRough",2012
88,88,"David Toms",60,13.85,9,65,"BirdieorBetterPercentageRightRough",2012
89,89,"Arjun Atwal",79,13.82,17,123,"BirdieorBetterPercentageRightRough",2012
90,90,"Sung Kang",75,13.74,18,131,"BirdieorBetterPercentageRightRough",2012
91,91,"Kevin Stadler",85,13.73,14,102,"BirdieorBetterPercentageRightRough",2012
92,92,"Ryo Ishikawa",54,13.54,13,96,"BirdieorBetterPercentageRightRough",2012
93,93,"Boo Weekley",74,13.46,14,104,"BirdieorBetterPercentageRightRough",2012
94,94,"Robert Allenby",76,13.39,15,112,"BirdieorBetterPercentageRightRough",2012
95,95,"KJ Choi",71,13.33,12,90,"BirdieorBetterPercentageRightRough",2012
95,95,"Martin Flores",95,13.33,22,165,"BirdieorBetterPercentageRightRough",2012
95,95,"David Mathis",83,13.33,18,135,"BirdieorBetterPercentageRightRough",2012
95,95,"Billy Mayfair",90,13.33,18,135,"BirdieorBetterPercentageRightRough",2012
99,99,"Geoff Ogilvy",73,13.27,13,98,"BirdieorBetterPercentageRightRough",2012
100,100,"John Rollins",81,13.19,19,144,"BirdieorBetterPercentageRightRough",2012
101,101,"Brendon Todd",78,13.16,15,114,"BirdieorBetterPercentageRightRough",2012
102,102,"Nick Watney",97,13.14,23,175,"BirdieorBetterPercentageRightRough",2012
103,103,"Kevin Chappell",91,13.1,22,168,"BirdieorBetterPercentageRightRough",2012
104,104,"Bob Estes",78,13.08,17,130,"BirdieorBetterPercentageRightRough",2012
105,105,"Lee Westwood",60,13.04,9,69,"BirdieorBetterPercentageRightRough",2012
106,106,"John Senden",81,12.96,14,108,"BirdieorBetterPercentageRightRough",2012
107,107,"Hunter Mahan",88,12.93,15,116,"BirdieorBetterPercentageRightRough",2012
108,108,"Charley Hoffman",88,12.86,18,140,"BirdieorBetterPercentageRightRough",2012
109,109,"John Mallinger",74,12.73,14,110,"BirdieorBetterPercentageRightRough",2012
110,110,"Bill Haas",79,12.7,16,126,"BirdieorBetterPercentageRightRough",2012
110,110,"Derek Lamely",64,12.7,16,126,"BirdieorBetterPercentageRightRough",2012
112,112,"Ted Potter Jr",77,12.61,14,111,"BirdieorBetterPercentageRightRough",2012
113,113,"Chris DiMarco",83,12.5,16,128,"BirdieorBetterPercentageRightRough",2012
114,114,"Kyle Reifers",86,12.38,13,105,"BirdieorBetterPercentageRightRough",2012
115,115,"Jason Bohn",81,12.37,12,97,"BirdieorBetterPercentageRightRough",2012
116,116,"Rory Sabbatini",84,12.27,20,163,"BirdieorBetterPercentageRightRough",2012
117,117,"Davis Love III",64,12.26,13,106,"BirdieorBetterPercentageRightRough",2012
118,118,"Camilo Villegas",79,12.21,16,131,"BirdieorBetterPercentageRightRough",2012
119,119,"YE Yang",64,12.2,10,82,"BirdieorBetterPercentageRightRough",2012
120,120,"Roberto Castro",92,12.1,15,124,"BirdieorBetterPercentageRightRough",2012
121,121,"Bobby Gates",87,12.05,20,166,"BirdieorBetterPercentageRightRough",2012
122,122,"Nick OHern",78,12.04,13,108,"BirdieorBetterPercentageRightRough",2012
123,123,"Heath Slocum",93,12,12,100,"BirdieorBetterPercentageRightRough",2012
124,124,"Harrison Frazar",56,11.96,11,92,"BirdieorBetterPercentageRightRough",2012
125,125,"Rod Pampling",88,11.86,14,118,"BirdieorBetterPercentageRightRough",2012
126,126,"Jimmy Walker",101,11.85,25,211,"BirdieorBetterPercentageRightRough",2012
127,127,"Edward Loar",59,11.84,9,76,"BirdieorBetterPercentageRightRough",2012
128,128,"Brian Gay",91,11.81,15,127,"BirdieorBetterPercentageRightRough",2012
129,129,"David Hearn",95,11.73,21,179,"BirdieorBetterPercentageRightRough",2012
130,130,"JJ Killeen",101,11.68,25,214,"BirdieorBetterPercentageRightRough",2012
131,131,"Stuart Appleby",75,11.65,12,103,"BirdieorBetterPercentageRightRough",2012
132,132,"Matt Bettencourt",80,11.63,15,129,"BirdieorBetterPercentageRightRough",2012
133,133,"Ryan Palmer",81,11.51,16,139,"BirdieorBetterPercentageRightRough",2012
134,134,"Kyle Thompson",51,11.43,8,70,"BirdieorBetterPercentageRightRough",2012
135,135,"Miguel Angel Carballo",73,11.4,13,114,"BirdieorBetterPercentageRightRough",2012
136,136,"James Driscoll",83,11.39,18,158,"BirdieorBetterPercentageRightRough",2012
136,136,"Troy Matteson",100,11.39,23,202,"BirdieorBetterPercentageRightRough",2012
138,138,"Padraig Harrington",67,11.34,11,97,"BirdieorBetterPercentageRightRough",2012
139,139,"Michael Bradley",63,11.3,13,115,"BirdieorBetterPercentageRightRough",2012
140,140,"Russell Knox",72,11.22,11,98,"BirdieorBetterPercentageRightRough",2012
141,141,"Mark Wilson",84,11.21,13,116,"BirdieorBetterPercentageRightRough",2012
142,142,"Trevor Immelman",76,11.2,14,125,"BirdieorBetterPercentageRightRough",2012
143,143,"John Merrick",83,11.19,15,134,"BirdieorBetterPercentageRightRough",2012
144,144,"Vaughn Taylor",81,11.11,12,108,"BirdieorBetterPercentageRightRough",2012
145,145,"Justin Leonard",79,11.01,12,109,"BirdieorBetterPercentageRightRough",2012
146,146,"Brendon de Jonge",115,10.99,20,182,"BirdieorBetterPercentageRightRough",2012
147,147,"Dicky Pride",62,10.98,9,82,"BirdieorBetterPercentageRightRough",2012
148,148,"Tiger Woods",69,10.96,8,73,"BirdieorBetterPercentageRightRough",2012
149,149,"Chad Campbell",84,10.95,15,137,"BirdieorBetterPercentageRightRough",2012
150,150,"Jeff Maggert",83,10.91,12,110,"BirdieorBetterPercentageRightRough",2012
151,151,"Josh Teater",97,10.81,20,185,"BirdieorBetterPercentageRightRough",2012
152,152,"Colt Knost",79,10.78,11,102,"BirdieorBetterPercentageRightRough",2012
153,153,"Carl Pettersson",92,10.69,14,131,"BirdieorBetterPercentageRightRough",2012
154,154,"Graeme McDowell",55,10.64,5,47,"BirdieorBetterPercentageRightRough",2012
155,155,"Tim Clark",60,10.61,7,66,"BirdieorBetterPercentageRightRough",2012
156,156,"Alexandre Rocha",62,10.58,11,104,"BirdieorBetterPercentageRightRough",2012
157,157,"George McNeill",85,10.49,15,143,"BirdieorBetterPercentageRightRough",2012
158,158,"Matt Jones",53,10.47,9,86,"BirdieorBetterPercentageRightRough",2012
159,159,"Kevin Streelman",89,10.45,14,134,"BirdieorBetterPercentageRightRough",2012
160,160,"Gary Woodland",70,10.42,10,96,"BirdieorBetterPercentageRightRough",2012
161,161,"Ricky Barnes",92,10.38,19,183,"BirdieorBetterPercentageRightRough",2012
161,161,"Tommy Biershenk",74,10.38,11,106,"BirdieorBetterPercentageRightRough",2012
163,163,"Ken Duke",104,10.27,19,185,"BirdieorBetterPercentageRightRough",2012
164,164,"Kevin Kisner",69,10.19,11,108,"BirdieorBetterPercentageRightRough",2012
165,165,"Brandt Snedeker",81,10.16,13,128,"BirdieorBetterPercentageRightRough",2012
166,166,"Kris Blanks",65,10.11,9,89,"BirdieorBetterPercentageRightRough",2012
167,167,"Cameron Tringale",88,10.08,12,119,"BirdieorBetterPercentageRightRough",2012
168,168,"Stephen Gangluff",57,10,12,120,"BirdieorBetterPercentageRightRough",2012
169,169,"Henrik Stenson",51,9.86,7,71,"BirdieorBetterPercentageRightRough",2012
170,170,"Billy Hurley III",70,9.78,9,92,"BirdieorBetterPercentageRightRough",2012
171,171,"Chez Reavie",83,9.68,9,93,"BirdieorBetterPercentageRightRough",2012
172,172,"Billy Horschel",63,9.64,8,83,"BirdieorBetterPercentageRightRough",2012
173,173,"Ryuji Imada",78,9.52,12,126,"BirdieorBetterPercentageRightRough",2012
174,174,"Matt Kuchar",86,9.43,10,106,"BirdieorBetterPercentageRightRough",2012
175,175,"Daniel Summerhays",81,9.4,11,117,"BirdieorBetterPercentageRightRough",2012
176,176,"Spencer Levin",81,9.38,12,128,"BirdieorBetterPercentageRightRough",2012
177,177,"Jason Dufner",83,9.35,10,107,"BirdieorBetterPercentageRightRough",2012
177,177,"Hunter Haas",69,9.35,10,107,"BirdieorBetterPercentageRightRough",2012
177,177,"DJ Trahan",73,9.35,10,107,"BirdieorBetterPercentageRightRough",2012
180,180,"Brian Harman",101,9.29,13,140,"BirdieorBetterPercentageRightRough",2012
181,181,"Richard Lee",71,9.28,9,97,"BirdieorBetterPercentageRightRough",2012
182,182,"Nathan Green",73,9.09,10,110,"BirdieorBetterPercentageRightRough",2012
183,183,"Vijay Singh",99,8.98,15,167,"BirdieorBetterPercentageRightRough",2012
184,184,"Mathew Goggin",65,8.33,10,120,"BirdieorBetterPercentageRightRough",2012
185,185,"Tom Pernice Jr",62,8.26,9,109,"BirdieorBetterPercentageRightRough",2012
186,186,"JJ Henry",93,7.92,8,101,"BirdieorBetterPercentageRightRough",2012
187,187,"Jerry Kelly",84,7.84,8,102,"BirdieorBetterPercentageRightRough",2012
188,188,"Tom Gillis",75,7.78,7,90,"BirdieorBetterPercentageRightRough",2012
189,189,"Rocco Mediate",70,7.21,8,111,"BirdieorBetterPercentageRightRough",2012
190,190,"Stephen Ames",54,5.33,4,75,"BirdieorBetterPercentageRightRough",2012
191,191,"Gary Christian",91,3.94,5,127,"BirdieorBetterPercentageRightRough",2012
